# B10 + He3 > N13 + g   [B10_He3__N13_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.4442e+11 beta=1.5 gamma=-251.08  Q=21.6364
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   9.995943e-36   1.000000e+02
1.037605e-03   9.992244e-36   1.000000e+02
1.056935e-03   9.988891e-36   1.000000e+02
1.076624e-03   9.985874e-36   1.000000e+02
1.096681e-03   9.983179e-36   1.000000e+02
1.117111e-03   9.980796e-36   1.000000e+02
1.137921e-03   9.978713e-36   1.000000e+02
1.159120e-03   9.976919e-36   1.000000e+02
1.180713e-03   9.975401e-36   1.000000e+02
1.202708e-03   9.974149e-36   1.000000e+02
1.225114e-03   9.973150e-36   1.000000e+02
1.247936e-03   9.972395e-36   1.000000e+02
1.271184e-03   9.971870e-36   1.000000e+02
1.294865e-03   9.971565e-36   1.000000e+02
1.318987e-03   9.971468e-36   1.000000e+02
1.343558e-03   9.971569e-36   1.000000e+02
1.368587e-03   9.971855e-36   1.000000e+02
1.394083e-03   9.972315e-36   1.000000e+02
1.420053e-03   9.972939e-36   1.000000e+02
1.446507e-03   9.973714e-36   1.000000e+02
1.473454e-03   9.974629e-36   1.000000e+02
1.500903e-03   9.975674e-36   1.000000e+02
1.528864e-03   9.976836e-36   1.000000e+02
1.557345e-03   9.978105e-36   1.000000e+02
1.586357e-03   9.979469e-36   1.000000e+02
1.615909e-03   9.980916e-36   1.000000e+02
1.646012e-03   9.982436e-36   1.000000e+02
1.676675e-03   9.984017e-36   1.000000e+02
1.707910e-03   9.985648e-36   1.000000e+02
1.739726e-03   9.987318e-36   1.000000e+02
1.772136e-03   9.989014e-36   1.000000e+02
1.805149e-03   9.990726e-36   1.000000e+02
1.838777e-03   9.992443e-36   1.000000e+02
1.873032e-03   9.994152e-36   1.000000e+02
1.907924e-03   9.995844e-36   1.000000e+02
1.943467e-03   9.997505e-36   1.000000e+02
1.979672e-03   9.999125e-36   1.000000e+02
2.016551e-03   1.000069e-35   1.000000e+02
2.054117e-03   1.000220e-35   1.000000e+02
2.092383e-03   1.000362e-35   1.000000e+02
2.131362e-03   1.000497e-35   1.000000e+02
2.171068e-03   1.000621e-35   1.000000e+02
2.211512e-03   1.000734e-35   1.000000e+02
2.252711e-03   1.000836e-35   1.000000e+02
2.294676e-03   1.000924e-35   1.000000e+02
2.337424e-03   1.000997e-35   1.000000e+02
2.380968e-03   1.001055e-35   1.000000e+02
2.425323e-03   1.001097e-35   1.000000e+02
2.470504e-03   1.001120e-35   1.000000e+02
2.516527e-03   1.001125e-35   1.000000e+02
