# B10 + t > B12 + p   [B10_t__B12_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=9.1907 beta=0 gamma=-73.6031  Q=6.3426
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.027093e-35   1.000000e+02
1.037605e-03   1.052595e-35   1.000000e+02
1.056935e-03   1.076481e-35   1.000000e+02
1.076624e-03   1.098741e-35   1.000000e+02
1.096681e-03   1.119386e-35   1.000000e+02
1.117111e-03   1.138441e-35   1.000000e+02
1.137921e-03   1.155950e-35   1.000000e+02
1.159120e-03   1.171968e-35   1.000000e+02
1.180713e-03   1.186567e-35   1.000000e+02
1.202708e-03   1.199829e-35   1.000000e+02
1.225114e-03   1.211848e-35   1.000000e+02
1.247936e-03   1.222728e-35   1.000000e+02
1.271184e-03   1.232581e-35   1.000000e+02
1.294865e-03   1.241527e-35   1.000000e+02
1.318987e-03   1.249691e-35   1.000000e+02
1.343558e-03   1.257206e-35   1.000000e+02
1.368587e-03   1.264208e-35   1.000000e+02
1.394083e-03   1.270836e-35   1.000000e+02
1.420053e-03   1.277236e-35   1.000000e+02
1.446507e-03   1.283554e-35   1.000000e+02
1.473454e-03   1.289941e-35   1.000000e+02
1.500903e-03   1.296549e-35   1.000000e+02
1.528864e-03   1.303535e-35   1.000000e+02
1.557345e-03   1.311059e-35   1.000000e+02
1.586357e-03   1.319284e-35   1.000000e+02
1.615909e-03   1.328381e-35   1.000000e+02
1.646012e-03   1.338523e-35   1.000000e+02
1.676675e-03   1.349891e-35   1.000000e+02
1.707910e-03   1.362677e-35   1.000000e+02
1.739726e-03   1.377081e-35   1.000000e+02
1.772136e-03   1.393314e-35   1.000000e+02
1.805149e-03   1.411605e-35   1.000000e+02
1.838777e-03   1.432196e-35   1.000000e+02
1.873032e-03   1.455353e-35   1.000000e+02
1.907924e-03   1.481363e-35   1.000000e+02
1.943467e-03   1.510545e-35   1.000000e+02
1.979672e-03   1.543246e-35   1.000000e+02
2.016551e-03   1.579856e-35   1.000000e+02
2.054117e-03   1.620809e-35   1.000000e+02
2.092383e-03   1.666591e-35   1.000000e+02
2.131362e-03   1.717751e-35   1.000000e+02
2.171068e-03   1.774911e-35   1.000000e+02
2.211512e-03   1.838776e-35   1.000000e+02
2.252711e-03   1.910154e-35   1.000000e+02
2.294676e-03   1.989969e-35   1.000000e+02
2.337424e-03   2.079283e-35   1.000000e+02
2.380968e-03   2.179321e-35   1.000000e+02
2.425323e-03   2.291502e-35   1.000000e+02
2.470504e-03   2.417475e-35   1.000000e+02
2.516527e-03   2.559160e-35   1.000000e+02
2.563407e-03   2.718802e-35   1.000000e+02
2.611161e-03   2.899036e-35   1.000000e+02
2.659804e-03   3.102961e-35   1.000000e+02
2.709354e-03   3.334242e-35   1.000000e+02
2.759826e-03   3.597220e-35   1.000000e+02
2.811239e-03   3.897058e-35   1.000000e+02
2.863610e-03   4.239923e-35   1.000000e+02
2.916956e-03   4.633203e-35   1.000000e+02
2.971296e-03   5.085785e-35   1.000000e+02
3.026648e-03   5.608375e-35   1.000000e+02
3.083031e-03   6.213242e-35   1.000000e+02
3.140465e-03   6.914310e-35   1.000000e+02
3.198969e-03   7.728116e-35   1.000000e+02
3.258562e-03   8.674362e-35   1.000000e+02
3.319266e-03   9.776543e-35   1.000000e+02
3.381101e-03   1.106272e-34   1.000000e+02
3.444087e-03   1.256643e-34   1.000000e+02
3.508247e-03   1.432783e-34   1.000000e+02
3.573602e-03   1.639502e-34   1.000000e+02
3.640175e-03   1.882572e-34   1.000000e+02
3.707988e-03   2.168923e-34   1.000000e+02
3.777064e-03   2.506885e-34   1.000000e+02
3.847427e-03   2.906479e-34   1.000000e+02
3.919100e-03   3.379772e-34   1.000000e+02
3.992109e-03   3.941302e-34   1.000000e+02
4.066478e-03   4.610012e-34   1.000000e+02
4.142232e-03   5.418596e-34   1.000000e+02
4.219398e-03   6.415915e-34   1.000000e+02
4.298001e-03   7.671537e-34   1.000000e+02
4.378069e-03   9.285881e-34   1.000000e+02
4.459628e-03   1.140633e-33   1.000000e+02
4.542706e-03   1.425329e-33   1.000000e+02
4.627332e-03   1.816337e-33   1.000000e+02
4.713535e-03   2.366217e-33   1.000000e+02
4.801343e-03   3.159033e-33   1.000000e+02
4.890787e-03   4.332719e-33   1.000000e+02
