# B11 + t > Be10 + a   [B11_t__Be10_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.0324 beta=0 gamma=-99.6373  Q=8.5861
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.031883e-35   1.000000e+02
1.037605e-03   1.063332e-35   1.000000e+02
1.056935e-03   1.094362e-35   1.000000e+02
1.076624e-03   1.125000e-35   1.000000e+02
1.096681e-03   1.155284e-35   1.000000e+02
1.117111e-03   1.185267e-35   1.000000e+02
1.137921e-03   1.215011e-35   1.000000e+02
1.159120e-03   1.244592e-35   1.000000e+02
1.180713e-03   1.274094e-35   1.000000e+02
1.202708e-03   1.303618e-35   1.000000e+02
1.225114e-03   1.333272e-35   1.000000e+02
1.247936e-03   1.363179e-35   1.000000e+02
1.271184e-03   1.393472e-35   1.000000e+02
1.294865e-03   1.424298e-35   1.000000e+02
1.318987e-03   1.455814e-35   1.000000e+02
1.343558e-03   1.488195e-35   1.000000e+02
1.368587e-03   1.521627e-35   1.000000e+02
1.394083e-03   1.556312e-35   1.000000e+02
1.420053e-03   1.592470e-35   1.000000e+02
1.446507e-03   1.630337e-35   1.000000e+02
1.473454e-03   1.670171e-35   1.000000e+02
1.500903e-03   1.712253e-35   1.000000e+02
1.528864e-03   1.756887e-35   1.000000e+02
1.557345e-03   1.804407e-35   1.000000e+02
1.586357e-03   1.855179e-35   1.000000e+02
1.615909e-03   1.909605e-35   1.000000e+02
1.646012e-03   1.968127e-35   1.000000e+02
1.676675e-03   2.031238e-35   1.000000e+02
1.707910e-03   2.099482e-35   1.000000e+02
1.739726e-03   2.173466e-35   1.000000e+02
1.772136e-03   2.253870e-35   1.000000e+02
1.805149e-03   2.341455e-35   1.000000e+02
1.838777e-03   2.437078e-35   1.000000e+02
1.873032e-03   2.541708e-35   1.000000e+02
1.907924e-03   2.656440e-35   1.000000e+02
1.943467e-03   2.782522e-35   1.000000e+02
1.979672e-03   2.921373e-35   1.000000e+02
2.016551e-03   3.074616e-35   1.000000e+02
2.054117e-03   3.244115e-35   1.000000e+02
2.092383e-03   3.432012e-35   1.000000e+02
2.131362e-03   3.640778e-35   1.000000e+02
2.171068e-03   3.873275e-35   1.000000e+02
2.211512e-03   4.132824e-35   1.000000e+02
2.252711e-03   4.423293e-35   1.000000e+02
2.294676e-03   4.749201e-35   1.000000e+02
2.337424e-03   5.115842e-35   1.000000e+02
2.380968e-03   5.529442e-35   1.000000e+02
2.425323e-03   5.997342e-35   1.000000e+02
2.470504e-03   6.528229e-35   1.000000e+02
