# B8 + n > a + a + p   [B8_n__a_a_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.6007e-10 beta=-1.5 gamma=-218.792  Q=18.854
# T9                 rate                error
1.000000e-03   8.201100e+08   1.000000e+02
1.018629e-03   8.196399e+08   1.000000e+02
1.037605e-03   8.191754e+08   1.000000e+02
1.056935e-03   8.187163e+08   1.000000e+02
1.076624e-03   8.182628e+08   1.000000e+02
1.096681e-03   8.178149e+08   1.000000e+02
1.117111e-03   8.173727e+08   1.000000e+02
1.137921e-03   8.169363e+08   1.000000e+02
1.159120e-03   8.165057e+08   1.000000e+02
1.180713e-03   8.160809e+08   1.000000e+02
1.202708e-03   8.156621e+08   1.000000e+02
1.225114e-03   8.152493e+08   1.000000e+02
1.247936e-03   8.148425e+08   1.000000e+02
1.271184e-03   8.144418e+08   1.000000e+02
1.294865e-03   8.140473e+08   1.000000e+02
1.318987e-03   8.136589e+08   1.000000e+02
1.343558e-03   8.132769e+08   1.000000e+02
1.368587e-03   8.129012e+08   1.000000e+02
1.394083e-03   8.125319e+08   1.000000e+02
1.420053e-03   8.121690e+08   1.000000e+02
1.446507e-03   8.118127e+08   1.000000e+02
1.473454e-03   8.114629e+08   1.000000e+02
1.500903e-03   8.111197e+08   1.000000e+02
1.528864e-03   8.107833e+08   1.000000e+02
1.557345e-03   8.104535e+08   1.000000e+02
1.586357e-03   8.101306e+08   1.000000e+02
1.615909e-03   8.098146e+08   1.000000e+02
1.646012e-03   8.095054e+08   1.000000e+02
1.676675e-03   8.092033e+08   1.000000e+02
1.707910e-03   8.089082e+08   1.000000e+02
1.739726e-03   8.086201e+08   1.000000e+02
1.772136e-03   8.083393e+08   1.000000e+02
1.805149e-03   8.080656e+08   1.000000e+02
1.838777e-03   8.077993e+08   1.000000e+02
1.873032e-03   8.075402e+08   1.000000e+02
1.907924e-03   8.072886e+08   1.000000e+02
1.943467e-03   8.070444e+08   1.000000e+02
1.979672e-03   8.068077e+08   1.000000e+02
2.016551e-03   8.065786e+08   1.000000e+02
2.054117e-03   8.063572e+08   1.000000e+02
2.092383e-03   8.061434e+08   1.000000e+02
2.131362e-03   8.059374e+08   1.000000e+02
2.171068e-03   8.057392e+08   1.000000e+02
2.211512e-03   8.055489e+08   1.000000e+02
2.252711e-03   8.053666e+08   1.000000e+02
2.294676e-03   8.051922e+08   1.000000e+02
2.337424e-03   8.050259e+08   1.000000e+02
2.380968e-03   8.048677e+08   1.000000e+02
2.425323e-03   8.047177e+08   1.000000e+02
2.470504e-03   8.045759e+08   1.000000e+02
2.516527e-03   8.044425e+08   1.000000e+02
2.563407e-03   8.043174e+08   1.000000e+02
2.611161e-03   8.042007e+08   1.000000e+02
2.659804e-03   8.040926e+08   1.000000e+02
2.709354e-03   8.039930e+08   1.000000e+02
2.759826e-03   8.039020e+08   1.000000e+02
2.811239e-03   8.038197e+08   1.000000e+02
2.863610e-03   8.037461e+08   1.000000e+02
2.916956e-03   8.036814e+08   1.000000e+02
2.971296e-03   8.036256e+08   1.000000e+02
3.026648e-03   8.035788e+08   1.000000e+02
3.083031e-03   8.035465e+08   1.000000e+02
3.140465e-03   8.035390e+08   1.000000e+02
3.198969e-03   8.035671e+08   1.000000e+02
3.258562e-03   8.036415e+08   1.000000e+02
3.319266e-03   8.037731e+08   1.000000e+02
3.381101e-03   8.039724e+08   1.000000e+02
3.444087e-03   8.042505e+08   1.000000e+02
3.508247e-03   8.046180e+08   1.000000e+02
3.573602e-03   8.050859e+08   1.000000e+02
3.640175e-03   8.056652e+08   1.000000e+02
