# C11 + d > C12 + p   [C11_d__C12_p]   ref=Coc et al. 2012
# detailed balance: alpha=14.9 beta=0 gamma=-191.44  Q=16.4971
# T9                 rate                error
1.000000e-03   1.440000e-59   1.226500e+00
1.018629e-03   3.970426e-59   1.226520e+00
1.037605e-03   1.088001e-58   1.226528e+00
1.056935e-03   2.963142e-58   1.226525e+00
1.076624e-03   8.020843e-58   1.226512e+00
1.096681e-03   2.157969e-57   1.226489e+00
1.117111e-03   5.770870e-57   1.226457e+00
1.137921e-03   1.533987e-56   1.226415e+00
1.159120e-03   4.053216e-56   1.226364e+00
1.180713e-03   1.064606e-55   1.226306e+00
1.202708e-03   2.779726e-55   1.226239e+00
1.225114e-03   7.215275e-55   1.226165e+00
1.247936e-03   1.861893e-54   1.226085e+00
1.271184e-03   4.776620e-54   1.225998e+00
1.294865e-03   1.218328e-53   1.225905e+00
1.318987e-03   3.089576e-53   1.225806e+00
1.343558e-03   7.790002e-53   1.225703e+00
1.368587e-03   1.952962e-52   1.225595e+00
1.394083e-03   4.868342e-52   1.225482e+00
1.420053e-03   1.206736e-51   1.225366e+00
1.446507e-03   2.974414e-51   1.225247e+00
1.473454e-03   7.290564e-51   1.225125e+00
1.500903e-03   1.777072e-50   1.225000e+00
1.528864e-03   4.307711e-50   1.224874e+00
1.557345e-03   1.038482e-49   1.224746e+00
1.586357e-03   2.489863e-49   1.224617e+00
1.615909e-03   5.937305e-49   1.224488e+00
1.646012e-03   1.408167e-48   1.224359e+00
1.676675e-03   3.321874e-48   1.224229e+00
1.707910e-03   7.794523e-48   1.224101e+00
1.739726e-03   1.819226e-47   1.223974e+00
1.772136e-03   4.223652e-47   1.223849e+00
1.805149e-03   9.754542e-47   1.223725e+00
1.838777e-03   2.241075e-46   1.223605e+00
1.873032e-03   5.122124e-46   1.223487e+00
1.907924e-03   1.164666e-45   1.223373e+00
1.943467e-03   2.634651e-45   1.223262e+00
1.979672e-03   5.929650e-45   1.223157e+00
2.016551e-03   1.327799e-44   1.223056e+00
2.054117e-03   2.958329e-44   1.222960e+00
2.092383e-03   6.558199e-44   1.222870e+00
2.131362e-03   1.446639e-43   1.222786e+00
2.171068e-03   3.175312e-43   1.222708e+00
2.211512e-03   6.935482e-43   1.222638e+00
2.252711e-03   1.507455e-42   1.222576e+00
2.294676e-03   3.260639e-42   1.222521e+00
2.337424e-03   7.018835e-42   1.222474e+00
2.380968e-03   1.503643e-41   1.222437e+00
2.425323e-03   3.205938e-41   1.222409e+00
2.470504e-03   6.803142e-41   1.222390e+00
2.516527e-03   1.436882e-40   1.222382e+00
2.563407e-03   3.020672e-40   1.222384e+00
