# F17 + n > N14 + a   [F17_n__N14_a]   ref=NACRE, Angulo et al. 1999
# forward[T9] = (1.38*^8*T9^0.053*Exp[-(55.0-54.943)/T9]* (1.+.039*Exp[-.012/T9+.217*T9])/1.478 )   uncertainty factor f = 1.05
# T9                 rate                error
1.000000e-03   1.138726e-17   1.050000e+00
1.018629e-03   3.232712e-17   1.050000e+00
1.037605e-03   9.003996e-17   1.050000e+00
1.056935e-03   2.461362e-16   1.050000e+00
1.076624e-03   6.605962e-16   1.050000e+00
1.096681e-03   1.741258e-15   1.050000e+00
1.117111e-03   4.509207e-15   1.050000e+00
1.137921e-03   1.147592e-14   1.050000e+00
1.159120e-03   2.871198e-14   1.050000e+00
1.180713e-03   7.064198e-14   1.050000e+00
1.202708e-03   1.709699e-13   1.050000e+00
1.225114e-03   4.071592e-13   1.050000e+00
1.247936e-03   9.543874e-13   1.050000e+00
1.271184e-03   2.202556e-12   1.050000e+00
1.294865e-03   5.006046e-12   1.050000e+00
1.318987e-03   1.120855e-11   1.050000e+00
1.343558e-03   2.472919e-11   1.050000e+00
1.368587e-03   5.377660e-11   1.050000e+00
1.394083e-03   1.152960e-10   1.050000e+00
1.420053e-03   2.437731e-10   1.050000e+00
1.446507e-03   5.084149e-10   1.050000e+00
1.473454e-03   1.046214e-09   1.050000e+00
1.500903e-03   2.124705e-09   1.050000e+00
1.528864e-03   4.259495e-09   1.050000e+00
1.557345e-03   8.431429e-09   1.050000e+00
1.586357e-03   1.648272e-08   1.050000e+00
1.615909e-03   3.183028e-08   1.050000e+00
1.646012e-03   6.073414e-08   1.050000e+00
1.676675e-03   1.145254e-07   1.050000e+00
1.707910e-03   2.134719e-07   1.050000e+00
1.739726e-03   3.934068e-07   1.050000e+00
1.772136e-03   7.169610e-07   1.050000e+00
1.805149e-03   1.292380e-06   1.050000e+00
1.838777e-03   2.304694e-06   1.050000e+00
1.873032e-03   4.066774e-06   1.050000e+00
1.907924e-03   7.102060e-06   1.050000e+00
1.943467e-03   1.227718e-05   1.050000e+00
1.979672e-03   2.101230e-05   1.050000e+00
2.016551e-03   3.561139e-05   1.050000e+00
2.054117e-03   5.977540e-05   1.050000e+00
2.092383e-03   9.939182e-05   1.050000e+00
2.131362e-03   1.637377e-04   1.050000e+00
2.171068e-03   2.672946e-04   1.050000e+00
2.211512e-03   4.324617e-04   1.050000e+00
2.252711e-03   6.935729e-04   1.050000e+00
2.294676e-03   1.102792e-03   1.050000e+00
2.337424e-03   1.738682e-03   1.050000e+00
2.380968e-03   2.718563e-03   1.050000e+00
2.425323e-03   4.216161e-03   1.050000e+00
2.470504e-03   6.486620e-03   1.050000e+00
2.516527e-03   9.901631e-03   1.050000e+00
2.563407e-03   1.499839e-02   1.050000e+00
2.611161e-03   2.254723e-02   1.050000e+00
2.659804e-03   3.364442e-02   1.050000e+00
2.709354e-03   4.983827e-02   1.050000e+00
2.759826e-03   7.329952e-02   1.050000e+00
