# F18 + a > Ne21 + p   [F18_a__Ne21_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.3565 beta=0 gamma=-20.2084  Q=1.7414
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   9.999320e-36   1.000000e+02
1.037605e-03   9.998699e-36   1.000000e+02
1.056935e-03   9.998137e-36   1.000000e+02
1.076624e-03   9.997631e-36   1.000000e+02
1.096681e-03   9.997179e-36   1.000000e+02
1.117111e-03   9.996779e-36   1.000000e+02
1.137921e-03   9.996429e-36   1.000000e+02
1.159120e-03   9.996127e-36   1.000000e+02
1.180713e-03   9.995873e-36   1.000000e+02
1.202708e-03   9.995662e-36   1.000000e+02
1.225114e-03   9.995494e-36   1.000000e+02
1.247936e-03   9.995367e-36   1.000000e+02
1.271184e-03   9.995279e-36   1.000000e+02
1.294865e-03   9.995228e-36   1.000000e+02
1.318987e-03   9.995212e-36   1.000000e+02
1.343558e-03   9.995229e-36   1.000000e+02
1.368587e-03   9.995277e-36   1.000000e+02
1.394083e-03   9.995354e-36   1.000000e+02
1.420053e-03   9.995459e-36   1.000000e+02
1.446507e-03   9.995589e-36   1.000000e+02
1.473454e-03   9.995743e-36   1.000000e+02
1.500903e-03   9.995918e-36   1.000000e+02
1.528864e-03   9.996114e-36   1.000000e+02
1.557345e-03   9.996327e-36   1.000000e+02
1.586357e-03   9.996556e-36   1.000000e+02
1.615909e-03   9.996799e-36   1.000000e+02
1.646012e-03   9.997054e-36   1.000000e+02
1.676675e-03   9.997319e-36   1.000000e+02
1.707910e-03   9.997593e-36   1.000000e+02
1.739726e-03   9.997873e-36   1.000000e+02
1.772136e-03   9.998158e-36   1.000000e+02
1.805149e-03   9.998445e-36   1.000000e+02
1.838777e-03   9.998733e-36   1.000000e+02
1.873032e-03   9.999020e-36   1.000000e+02
1.907924e-03   9.999303e-36   1.000000e+02
1.943467e-03   9.999582e-36   1.000000e+02
1.979672e-03   9.999853e-36   1.000000e+02
2.016551e-03   1.000012e-35   1.000000e+02
2.054117e-03   1.000037e-35   1.000000e+02
2.092383e-03   1.000061e-35   1.000000e+02
2.131362e-03   1.000083e-35   1.000000e+02
2.171068e-03   1.000104e-35   1.000000e+02
2.211512e-03   1.000123e-35   1.000000e+02
2.252711e-03   1.000140e-35   1.000000e+02
2.294676e-03   1.000155e-35   1.000000e+02
2.337424e-03   1.000167e-35   1.000000e+02
2.380968e-03   1.000177e-35   1.000000e+02
