# He3 + He3 > a + p + p   [He3_He3__a_p_p]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=3.3915e-10 beta=-1.5 gamma=-149.229  Q=12.8596
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   1.493765e-36   9.959144e-01
1.037605e-03   2.579184e-37   9.921648e-01
1.056935e-03   5.129832e-38   9.887393e-01
1.076624e-03   1.171246e-38   9.856266e-01
1.096681e-03   3.059286e-39   9.828155e-01
1.117111e-03   9.110089e-40   9.802956e-01
1.137921e-03   3.082185e-40   9.780566e-01
1.159120e-03   1.180678e-40   9.760884e-01
1.180713e-03   5.103219e-41   9.743814e-01
1.202708e-03   2.480276e-41   9.729262e-01
1.225114e-03   1.350835e-41   9.717137e-01
1.247936e-03   8.215875e-42   9.707350e-01
1.271184e-03   5.561066e-42   9.699813e-01
1.294865e-03   4.174631e-42   9.694442e-01
1.318987e-03   3.463675e-42   9.691152e-01
1.343558e-03   3.165325e-42   9.689862e-01
1.368587e-03   3.175155e-42   9.690490e-01
1.394083e-03   3.484015e-42   9.692958e-01
1.420053e-03   4.167415e-42   9.697185e-01
1.446507e-03   5.415373e-42   9.703096e-01
1.473454e-03   7.618476e-42   9.710611e-01
1.500903e-03   1.156349e-41   9.719656e-01
1.528864e-03   1.887098e-41   9.730154e-01
1.557345e-03   3.299798e-41   9.742028e-01
1.586357e-03   6.161281e-41   9.755204e-01
1.615909e-03   1.224190e-40   9.769606e-01
1.646012e-03   2.579428e-40   9.785159e-01
1.676675e-03   5.743789e-40   9.801787e-01
1.707910e-03   1.347029e-39   9.819415e-01
1.739726e-03   3.315601e-39   9.837966e-01
1.772136e-03   8.536055e-39   9.857365e-01
1.805149e-03   2.290684e-38   9.877534e-01
1.838777e-03   6.385419e-38   9.898396e-01
1.873032e-03   1.842608e-37   9.919874e-01
1.907924e-03   5.485284e-37   9.941890e-01
1.943467e-03   1.678769e-36   9.964364e-01
1.979672e-03   5.263948e-36   9.987217e-01
2.016551e-03   1.685250e-35   1.001037e+00
2.054117e-03   5.489748e-35   1.003374e+00
2.092383e-03   1.813338e-34   1.005724e+00
2.131362e-03   6.052669e-34   1.008080e+00
2.171068e-03   2.034510e-33   1.010433e+00
2.211512e-03   6.863103e-33   1.012775e+00
2.252711e-03   2.315434e-32   1.015096e+00
2.294676e-03   7.785718e-32   1.017390e+00
2.337424e-03   2.600294e-31   1.019646e+00
2.380968e-03   8.596205e-31   1.021856e+00
2.425323e-03   2.803206e-30   1.024012e+00
2.470504e-03   8.986079e-30   1.026104e+00
2.516527e-03   2.821991e-29   1.028124e+00
2.563407e-03   8.651960e-29   1.030063e+00
2.611161e-03   2.580773e-28   1.031911e+00
2.659804e-03   7.463885e-28   1.033660e+00
2.709354e-03   2.085753e-27   1.035301e+00
2.759826e-03   5.612380e-27   1.036825e+00
2.811239e-03   1.449174e-26   1.038222e+00
2.863610e-03   3.578378e-26   1.039483e+00
2.916956e-03   8.420688e-26   1.040600e+00
2.971296e-03   1.881949e-25   1.041562e+00
3.026648e-03   3.981375e-25   1.042363e+00
3.083031e-03   7.976204e-25   1.043003e+00
3.140465e-03   1.519728e-24   1.043497e+00
3.198969e-03   2.766252e-24   1.043859e+00
