# He3 + n > t + p   [He3_n__t_p]   ref=Descouvemont et al. 2004
# detailed balance: alpha=1.00178 beta=0 gamma=-8.863  Q=0.763754
# T9                 rate                error
1.000000e-03   6.799300e+08   1.013400e+00
1.018629e-03   6.798473e+08   1.013409e+00
1.037605e-03   6.797636e+08   1.013418e+00
1.056935e-03   6.796790e+08   1.013425e+00
1.076624e-03   6.795933e+08   1.013432e+00
1.096681e-03   6.795066e+08   1.013437e+00
1.117111e-03   6.794189e+08   1.013442e+00
1.137921e-03   6.793302e+08   1.013446e+00
1.159120e-03   6.792404e+08   1.013450e+00
1.180713e-03   6.791496e+08   1.013452e+00
1.202708e-03   6.790577e+08   1.013454e+00
1.225114e-03   6.789648e+08   1.013455e+00
1.247936e-03   6.788707e+08   1.013456e+00
1.271184e-03   6.787755e+08   1.013455e+00
1.294865e-03   6.786792e+08   1.013454e+00
1.318987e-03   6.785818e+08   1.013453e+00
1.343558e-03   6.784833e+08   1.013451e+00
1.368587e-03   6.783836e+08   1.013448e+00
1.394083e-03   6.782827e+08   1.013445e+00
1.420053e-03   6.781807e+08   1.013441e+00
1.446507e-03   6.780775e+08   1.013437e+00
1.473454e-03   6.779730e+08   1.013432e+00
1.500903e-03   6.778674e+08   1.013426e+00
1.528864e-03   6.777606e+08   1.013421e+00
1.557345e-03   6.776525e+08   1.013414e+00
1.586357e-03   6.775431e+08   1.013408e+00
1.615909e-03   6.774326e+08   1.013401e+00
1.646012e-03   6.773207e+08   1.013394e+00
1.676675e-03   6.772076e+08   1.013386e+00
1.707910e-03   6.770931e+08   1.013378e+00
1.739726e-03   6.769774e+08   1.013370e+00
1.772136e-03   6.768604e+08   1.013361e+00
1.805149e-03   6.767420e+08   1.013352e+00
1.838777e-03   6.766223e+08   1.013343e+00
1.873032e-03   6.765012e+08   1.013334e+00
1.907924e-03   6.763788e+08   1.013325e+00
1.943467e-03   6.762550e+08   1.013315e+00
1.979672e-03   6.761299e+08   1.013305e+00
2.016551e-03   6.760033e+08   1.013296e+00
2.054117e-03   6.758753e+08   1.013286e+00
2.092383e-03   6.757460e+08   1.013276e+00
2.131362e-03   6.756151e+08   1.013266e+00
2.171068e-03   6.754829e+08   1.013256e+00
2.211512e-03   6.753492e+08   1.013246e+00
2.252711e-03   6.752140e+08   1.013236e+00
2.294676e-03   6.750774e+08   1.013226e+00
2.337424e-03   6.749392e+08   1.013216e+00
2.380968e-03   6.747996e+08   1.013206e+00
2.425323e-03   6.746585e+08   1.013196e+00
2.470504e-03   6.745158e+08   1.013187e+00
2.516527e-03   6.743716e+08   1.013177e+00
2.563407e-03   6.742259e+08   1.013168e+00
2.611161e-03   6.740786e+08   1.013159e+00
2.659804e-03   6.739298e+08   1.013150e+00
2.709354e-03   6.737793e+08   1.013142e+00
2.759826e-03   6.736273e+08   1.013133e+00
2.811239e-03   6.734737e+08   1.013126e+00
2.863610e-03   6.733185e+08   1.013118e+00
2.916956e-03   6.731617e+08   1.013110e+00
2.971296e-03   6.730032e+08   1.013103e+00
3.026648e-03   6.728431e+08   1.013097e+00
3.083031e-03   6.726813e+08   1.013091e+00
3.140465e-03   6.725179e+08   1.013085e+00
3.198969e-03   6.723528e+08   1.013079e+00
3.258562e-03   6.721861e+08   1.013073e+00
3.319266e-03   6.720177e+08   1.013068e+00
3.381101e-03   6.718476e+08   1.013062e+00
3.444087e-03   6.716758e+08   1.013057e+00
3.508247e-03   6.715023e+08   1.013051e+00
3.573602e-03   6.713271e+08   1.013045e+00
3.640175e-03   6.711502e+08   1.013039e+00
3.707988e-03   6.709716e+08   1.013032e+00
3.777064e-03   6.707913e+08   1.013025e+00
3.847427e-03   6.706092e+08   1.013018e+00
3.919100e-03   6.704255e+08   1.013010e+00
3.992109e-03   6.702399e+08   1.013001e+00
4.066478e-03   6.700527e+08   1.012992e+00
4.142232e-03   6.698637e+08   1.012982e+00
4.219398e-03   6.696729e+08   1.012972e+00
4.298001e-03   6.694803e+08   1.012961e+00
4.378069e-03   6.692858e+08   1.012951e+00
4.459628e-03   6.690895e+08   1.012941e+00
4.542706e-03   6.688913e+08   1.012932e+00
4.627332e-03   6.686912e+08   1.012923e+00
4.713535e-03   6.684891e+08   1.012916e+00
4.801343e-03   6.682851e+08   1.012909e+00
4.890787e-03   6.680791e+08   1.012904e+00
4.981898e-03   6.678711e+08   1.012900e+00
5.074705e-03   6.676611e+08   1.012899e+00
5.169242e-03   6.674490e+08   1.012898e+00
5.265540e-03   6.672349e+08   1.012899e+00
5.363631e-03   6.670187e+08   1.012901e+00
5.463550e-03   6.668004e+08   1.012903e+00
5.565331e-03   6.665800e+08   1.012904e+00
5.669007e-03   6.663575e+08   1.012905e+00
5.774615e-03   6.661328e+08   1.012905e+00
5.882190e-03   6.659060e+08   1.012904e+00
5.991770e-03   6.656771e+08   1.012900e+00
6.103390e-03   6.654460e+08   1.012895e+00
6.217090e-03   6.652127e+08   1.012887e+00
6.332908e-03   6.649772e+08   1.012878e+00
6.450884e-03   6.647395e+08   1.012866e+00
6.571058e-03   6.644995e+08   1.012854e+00
6.693470e-03   6.642573e+08   1.012839e+00
6.818162e-03   6.640127e+08   1.012824e+00
6.945178e-03   6.637659e+08   1.012807e+00
7.074559e-03   6.635167e+08   1.012790e+00
7.206351e-03   6.632651e+08   1.012772e+00
7.340598e-03   6.630113e+08   1.012755e+00
7.477346e-03   6.627553e+08   1.012739e+00
7.616642e-03   6.624971e+08   1.012724e+00
7.758532e-03   6.622368e+08   1.012712e+00
7.903066e-03   6.619744e+08   1.012704e+00
8.050292e-03   6.617100e+08   1.012699e+00
8.200261e-03   6.614435e+08   1.012698e+00
8.353023e-03   6.611748e+08   1.012700e+00
8.508632e-03   6.609034e+08   1.012702e+00
8.667139e-03   6.606293e+08   1.012704e+00
8.828599e-03   6.603522e+08   1.012704e+00
8.993067e-03   6.600718e+08   1.012700e+00
9.160598e-03   6.597879e+08   1.012692e+00
9.331251e-03   6.595009e+08   1.012678e+00
9.505083e-03   6.592108e+08   1.012661e+00
9.682153e-03   6.589180e+08   1.012641e+00
9.862522e-03   6.586228e+08   1.012618e+00
1.004625e-02   6.583255e+08   1.012594e+00
1.023340e-02   6.580261e+08   1.012568e+00
1.042404e-02   6.577244e+08   1.012544e+00
1.061823e-02   6.574202e+08   1.012523e+00
1.081604e-02   6.571132e+08   1.012508e+00
1.101753e-02   6.568031e+08   1.012500e+00
1.122277e-02   6.564899e+08   1.012500e+00
1.143184e-02   6.561736e+08   1.012504e+00
1.164481e-02   6.558546e+08   1.012507e+00
1.186174e-02   6.555330e+08   1.012506e+00
1.208271e-02   6.552093e+08   1.012494e+00
1.230780e-02   6.548832e+08   1.012473e+00
1.253708e-02   6.545546e+08   1.012446e+00
1.277063e-02   6.542230e+08   1.012420e+00
1.300854e-02   6.538880e+08   1.012399e+00
