# Li6 + d > Li7 + p   [Li6_d__Li7_p]   ref=Malaney& Fowler 1989
# forward[T9] = With[{T923=T9^(2/3),T913=T9^(1/3)}, 1.48*^12/T923*Exp[-10.135/T913]]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   1.427302e-30   3.000000e+00
1.018629e-03   2.625118e-30   3.000000e+00
1.037605e-03   4.809787e-30   3.000000e+00
1.056935e-03   8.779241e-30   3.000000e+00
1.076624e-03   1.596439e-29   3.000000e+00
1.096681e-03   2.892160e-29   3.000000e+00
1.117111e-03   5.220071e-29   3.000000e+00
1.137921e-03   9.386955e-29   3.000000e+00
1.159120e-03   1.681811e-28   3.000000e+00
1.180713e-03   3.002226e-28   3.000000e+00
1.202708e-03   5.339902e-28   3.000000e+00
1.225114e-03   9.463602e-28   3.000000e+00
1.247936e-03   1.671177e-27   3.000000e+00
1.271184e-03   2.940633e-27   3.000000e+00
1.294865e-03   5.156099e-27   3.000000e+00
1.318987e-03   9.008923e-27   3.000000e+00
1.343558e-03   1.568575e-26   3.000000e+00
1.368587e-03   2.721622e-26   3.000000e+00
1.394083e-03   4.705974e-26   3.000000e+00
1.420053e-03   8.109233e-26   3.000000e+00
1.446507e-03   1.392604e-25   3.000000e+00
1.473454e-03   2.383430e-25   3.000000e+00
1.500903e-03   4.065489e-25   3.000000e+00
1.528864e-03   6.911431e-25   3.000000e+00
1.557345e-03   1.171054e-24   3.000000e+00
1.586357e-03   1.977645e-24   3.000000e+00
1.615909e-03   3.328827e-24   3.000000e+00
1.646012e-03   5.584884e-24   3.000000e+00
1.676675e-03   9.339552e-24   3.000000e+00
1.707910e-03   1.556809e-23   3.000000e+00
1.739726e-03   2.586728e-23   3.000000e+00
1.772136e-03   4.284310e-23   3.000000e+00
1.805149e-03   7.073498e-23   3.000000e+00
1.838777e-03   1.164177e-22   3.000000e+00
1.873032e-03   1.910046e-22   3.000000e+00
1.907924e-03   3.124044e-22   3.000000e+00
1.943467e-03   5.093859e-22   3.000000e+00
1.979672e-03   8.280216e-22   3.000000e+00
2.016551e-03   1.341867e-21   3.000000e+00
2.054117e-03   2.167995e-21   3.000000e+00
2.092383e-03   3.492179e-21   3.000000e+00
2.131362e-03   5.608311e-21   3.000000e+00
2.171068e-03   8.979930e-21   3.000000e+00
2.211512e-03   1.433597e-20   3.000000e+00
2.252711e-03   2.281930e-20   3.000000e+00
2.294676e-03   3.621651e-20   3.000000e+00
2.337424e-03   5.731227e-20   3.000000e+00
2.380968e-03   9.043430e-20   3.000000e+00
2.425323e-03   1.422889e-19   3.000000e+00
2.470504e-03   2.232383e-19   3.000000e+00
2.516527e-03   3.492480e-19   3.000000e+00
2.563407e-03   5.448465e-19   3.000000e+00
2.611161e-03   8.476117e-19   3.000000e+00
2.659804e-03   1.314952e-18   3.000000e+00
2.709354e-03   2.034324e-18   3.000000e+00
2.759826e-03   3.138595e-18   3.000000e+00
2.811239e-03   4.829059e-18   3.000000e+00
2.863610e-03   7.409848e-18   3.000000e+00
2.916956e-03   1.133921e-17   3.000000e+00
2.971296e-03   1.730574e-17   3.000000e+00
3.026648e-03   2.634138e-17   3.000000e+00
