# Li6 + t > Li7 + d   [Li6_t__Li7_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.72734 beta=0 gamma=-11.5332  Q=0.9927
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.098203e-35   1.000000e+02
1.037605e-03   1.213679e-35   1.000000e+02
1.056935e-03   1.349831e-35   1.000000e+02
1.076624e-03   1.510866e-35   1.000000e+02
1.096681e-03   1.701999e-35   1.000000e+02
1.117111e-03   1.929726e-35   1.000000e+02
1.137921e-03   2.202174e-35   1.000000e+02
1.159120e-03   2.529550e-35   1.000000e+02
1.180713e-03   2.924736e-35   1.000000e+02
1.202708e-03   3.404067e-35   1.000000e+02
1.225114e-03   3.988356e-35   1.000000e+02
1.247936e-03   4.704249e-35   1.000000e+02
1.271184e-03   5.586032e-35   1.000000e+02
1.294865e-03   6.678047e-35   1.000000e+02
1.318987e-03   8.037940e-35   1.000000e+02
1.343558e-03   9.741043e-35   1.000000e+02
1.368587e-03   1.188633e-34   1.000000e+02
1.394083e-03   1.460454e-34   1.000000e+02
1.420053e-03   1.806934e-34   1.000000e+02
1.446507e-03   2.251267e-34   1.000000e+02
1.473454e-03   2.824608e-34   1.000000e+02
1.500903e-03   3.569045e-34   1.000000e+02
1.528864e-03   4.541768e-34   1.000000e+02
1.557345e-03   5.820940e-34   1.000000e+02
1.586357e-03   7.514026e-34   1.000000e+02
1.615909e-03   9.769670e-34   1.000000e+02
1.646012e-03   1.279473e-33   1.000000e+02
1.676675e-03   1.687882e-33   1.000000e+02
1.707910e-03   2.243002e-33   1.000000e+02
1.739726e-03   3.002685e-33   1.000000e+02
1.772136e-03   4.049475e-33   1.000000e+02
1.805149e-03   5.501898e-33   1.000000e+02
1.838777e-03   7.531259e-33   1.000000e+02
1.873032e-03   1.038676e-32   1.000000e+02
1.907924e-03   1.443332e-32   1.000000e+02
1.943467e-03   2.020889e-32   1.000000e+02
1.979672e-03   2.851179e-32   1.000000e+02
2.016551e-03   4.053490e-32   1.000000e+02
2.054117e-03   5.807272e-32   1.000000e+02
2.092383e-03   8.384362e-32   1.000000e+02
2.131362e-03   1.219941e-31   1.000000e+02
2.171068e-03   1.788937e-31   1.000000e+02
2.211512e-03   2.643958e-31   1.000000e+02
2.252711e-03   3.938527e-31   1.000000e+02
2.294676e-03   5.913559e-31   1.000000e+02
2.337424e-03   8.949859e-31   1.000000e+02
2.380968e-03   1.365374e-30   1.000000e+02
2.425323e-03   2.099771e-30   1.000000e+02
2.470504e-03   3.255314e-30   1.000000e+02
2.516527e-03   5.087810e-30   1.000000e+02
2.563407e-03   8.016820e-30   1.000000e+02
2.611161e-03   1.273570e-29   1.000000e+02
2.659804e-03   2.039901e-29   1.000000e+02
2.709354e-03   3.294409e-29   1.000000e+02
2.759826e-03   5.364681e-29   1.000000e+02
2.811239e-03   8.808960e-29   1.000000e+02
2.863610e-03   1.458599e-28   1.000000e+02
2.916956e-03   2.435534e-28   1.000000e+02
2.971296e-03   4.101241e-28   1.000000e+02
3.026648e-03   6.965288e-28   1.000000e+02
3.083031e-03   1.194807e-27   1.000000e+02
3.140465e-03   2.076107e-27   1.000000e+02
3.198969e-03   3.665080e-27   1.000000e+02
3.258562e-03   6.593063e-27   1.000000e+02
3.319266e-03   1.212130e-26   1.000000e+02
3.381101e-03   2.284327e-26   1.000000e+02
3.444087e-03   4.425906e-26   1.000000e+02
3.508247e-03   8.842389e-26   1.000000e+02
3.573602e-03   1.827043e-25   1.000000e+02
3.640175e-03   3.915869e-25   1.000000e+02
3.707988e-03   8.731643e-25   1.000000e+02
3.777064e-03   2.031612e-24   1.000000e+02
3.847427e-03   4.947099e-24   1.000000e+02
3.919100e-03   1.264486e-23   1.000000e+02
3.992109e-03   3.402666e-23   1.000000e+02
4.066478e-03   9.650625e-23   1.000000e+02
4.142232e-03   2.858861e-22   1.000000e+02
4.219398e-03   8.735460e-22   1.000000e+02
4.298001e-03   2.718852e-21   1.000000e+02
4.378069e-03   8.512250e-21   1.000000e+02
4.459628e-03   2.647368e-20   1.000000e+02
4.542706e-03   8.076953e-20   1.000000e+02
4.627332e-03   2.387239e-19   1.000000e+02
4.713535e-03   6.750123e-19   1.000000e+02
4.801343e-03   1.803212e-18   1.000000e+02
4.890787e-03   4.494207e-18   1.000000e+02
4.981898e-03   1.032007e-17   1.000000e+02
5.074705e-03   2.160886e-17   1.000000e+02
5.169242e-03   4.148527e-17   1.000000e+02
5.265540e-03   7.394757e-17   1.000000e+02
5.363631e-03   1.239341e-16   1.000000e+02
5.463550e-03   1.977716e-16   1.000000e+02
5.565331e-03   3.043069e-16   1.000000e+02
5.669007e-03   4.571972e-16   1.000000e+02
5.774615e-03   6.792161e-16   1.000000e+02
5.882190e-03   1.010402e-15   1.000000e+02
5.991770e-03   1.524161e-15   1.000000e+02
6.103390e-03   2.355444e-15   1.000000e+02
6.217090e-03   3.723919e-15   1.000000e+02
6.332908e-03   5.992514e-15   1.000000e+02
