# Li7 + d > Be9 + g   [Li7_d__Be9_g]   ref=Coc et al. 2012
# detailed balance: alpha=5.8128e+10 beta=1.5 gamma=-193.752  Q=16.6963
# T9                 rate                error
1.000000e-03   3.510000e-37   3.162300e+00
1.018629e-03   6.500927e-37   3.162300e+00
1.037605e-03   1.199502e-36   3.162300e+00
1.056935e-03   2.204918e-36   3.162300e+00
1.076624e-03   4.037921e-36   3.162300e+00
1.096681e-03   7.367249e-36   3.162300e+00
1.117111e-03   1.339193e-35   3.162300e+00
1.137921e-03   2.425378e-35   3.162300e+00
1.159120e-03   4.376456e-35   3.162300e+00
1.180713e-03   7.868293e-35   3.162300e+00
1.202708e-03   1.409489e-34   3.162300e+00
1.225114e-03   2.515788e-34   3.162300e+00
1.247936e-03   4.474310e-34   3.162300e+00
1.271184e-03   7.929133e-34   3.162300e+00
1.294865e-03   1.400172e-33   3.162300e+00
1.318987e-03   2.463775e-33   3.162300e+00
1.343558e-03   4.320093e-33   3.162300e+00
1.368587e-03   7.548587e-33   3.162300e+00
1.394083e-03   1.314398e-32   3.162300e+00
1.420053e-03   2.280789e-32   3.162300e+00
1.446507e-03   3.944105e-32   3.162300e+00
1.473454e-03   6.797123e-32   3.162300e+00
1.500903e-03   1.167410e-31   3.162300e+00
1.528864e-03   1.998256e-31   3.162300e+00
1.557345e-03   3.408922e-31   3.162300e+00
1.586357e-03   5.796008e-31   3.162300e+00
1.615909e-03   9.821894e-31   3.162300e+00
1.646012e-03   1.658914e-30   3.162300e+00
1.676675e-03   2.792695e-30   3.162300e+00
1.707910e-03   4.685996e-30   3.162300e+00
1.739726e-03   7.837317e-30   3.162300e+00
1.772136e-03   1.306557e-29   3.162300e+00
1.805149e-03   2.171164e-29   3.162300e+00
1.838777e-03   3.596406e-29   3.162300e+00
1.873032e-03   5.938335e-29   3.162300e+00
1.907924e-03   9.774371e-29   3.162300e+00
1.943467e-03   1.603797e-28   3.162300e+00
1.979672e-03   2.623338e-28   3.162300e+00
2.016551e-03   4.277715e-28   3.162300e+00
2.054117e-03   6.953933e-28   3.162300e+00
2.092383e-03   1.126985e-27   3.162300e+00
2.131362e-03   1.820888e-27   3.162300e+00
2.171068e-03   2.933146e-27   3.162300e+00
2.211512e-03   4.710619e-27   3.162300e+00
2.252711e-03   7.542653e-27   3.162300e+00
2.294676e-03   1.204149e-26   3.162300e+00
2.337424e-03   1.916704e-26   3.162300e+00
2.380968e-03   3.041978e-26   3.162300e+00
2.425323e-03   4.813843e-26   3.162300e+00
2.470504e-03   7.595750e-26   3.162300e+00
2.516527e-03   1.195090e-25   3.162300e+00
2.563407e-03   1.874950e-25   3.162300e+00
2.611161e-03   2.933231e-25   3.162300e+00
2.659804e-03   4.575923e-25   3.162300e+00
2.709354e-03   7.118606e-25   3.162300e+00
2.759826e-03   1.104341e-24   3.162300e+00
2.811239e-03   1.708489e-24   3.162300e+00
2.863610e-03   2.635902e-24   3.162300e+00
2.916956e-03   4.055676e-24   3.162300e+00
2.971296e-03   6.223320e-24   3.162300e+00
3.026648e-03   9.523883e-24   3.162300e+00
3.083031e-03   1.453603e-23   3.162300e+00
3.140465e-03   2.212703e-23   3.162300e+00
3.198969e-03   3.359321e-23   3.162300e+00
3.258562e-03   5.086699e-23   3.162300e+00
3.319266e-03   7.682146e-23   3.162300e+00
3.381101e-03   1.157168e-22   3.162300e+00
3.444087e-03   1.738533e-22   3.162300e+00
3.508247e-03   2.605240e-22   3.162300e+00
3.573602e-03   3.894004e-22   3.162300e+00
3.640175e-03   5.805426e-22   3.162300e+00
3.707988e-03   8.633094e-22   3.162300e+00
3.777064e-03   1.280557e-21   3.162300e+00
3.847427e-03   1.894685e-21   3.162300e+00
3.919100e-03   2.796315e-21   3.162300e+00
3.992109e-03   4.116723e-21   3.162300e+00
4.066478e-03   6.045606e-21   3.162300e+00
4.142232e-03   8.856473e-21   3.162300e+00
4.219398e-03   1.294273e-20   3.162300e+00
4.298001e-03   1.886890e-20   3.162300e+00
4.378069e-03   2.744318e-20   3.162300e+00
4.459628e-03   3.981993e-20   3.162300e+00
4.542706e-03   5.764431e-20   3.162300e+00
4.627332e-03   8.325564e-20   3.162300e+00
4.713535e-03   1.199730e-19   3.162300e+00
4.801343e-03   1.724954e-19   3.162300e+00
4.890787e-03   2.474611e-19   3.162300e+00
4.981898e-03   3.542284e-19   3.162300e+00
5.074705e-03   5.059600e-19   3.162300e+00
5.169242e-03   7.211088e-19   3.162300e+00
5.265540e-03   1.025479e-18   3.162300e+00
5.363631e-03   1.455066e-18   3.162300e+00
5.463550e-03   2.059956e-18   3.162300e+00
5.565331e-03   2.909659e-18   3.162300e+00
5.669007e-03   4.100379e-18   3.162300e+00
5.774615e-03   5.764915e-18   3.162300e+00
5.882190e-03   8.086080e-18   3.162300e+00
5.991770e-03   1.131484e-17   3.162300e+00
6.103390e-03   1.579502e-17   3.162300e+00
6.217090e-03   2.199802e-17   3.162300e+00
6.332908e-03   3.056885e-17   3.162300e+00
6.450884e-03   4.238844e-17   3.162300e+00
6.571058e-03   5.865831e-17   3.162300e+00
6.693470e-03   8.101511e-17   3.162300e+00
6.818162e-03   1.116857e-16   3.162300e+00
6.945178e-03   1.536969e-16   3.162300e+00
7.074559e-03   2.111575e-16   3.162300e+00
7.206351e-03   2.896123e-16   3.162300e+00
7.340598e-03   3.965111e-16   3.162300e+00
7.477346e-03   5.418513e-16   3.162300e+00
7.616642e-03   7.390081e-16   3.162300e+00
7.758532e-03   1.005821e-15   3.162300e+00
7.903066e-03   1.366008e-15   3.162300e+00
8.050292e-03   1.850994e-15   3.162300e+00
8.200261e-03   2.502473e-15   3.162300e+00
8.353023e-03   3.375913e-15   3.162300e+00
8.508632e-03   4.544858e-15   3.162300e+00
8.667139e-03   6.106694e-15   3.162300e+00
8.828599e-03   8.190272e-15   3.162300e+00
8.993067e-03   1.096595e-14   3.162300e+00
9.160598e-03   1.465844e-14   3.162300e+00
9.331251e-03   1.956165e-14   3.162300e+00
9.505083e-03   2.605957e-14   3.162300e+00
9.682153e-03   3.465296e-14   3.162300e+00
9.862522e-03   4.599308e-14   3.162300e+00
1.004625e-02   6.092442e-14   3.162300e+00
1.023340e-02   8.054292e-14   3.162300e+00
1.042404e-02   1.062759e-13   3.162300e+00
1.061823e-02   1.399757e-13   3.162300e+00
1.081604e-02   1.840435e-13   3.162300e+00
1.101753e-02   2.415892e-13   3.162300e+00
1.122277e-02   3.166281e-13   3.162300e+00
1.143184e-02   4.143044e-13   3.162300e+00
1.164481e-02   5.412060e-13   3.162300e+00
1.186174e-02   7.057546e-13   3.162300e+00
1.208271e-02   9.186890e-13   3.162300e+00
1.230780e-02   1.193739e-12   3.162300e+00
1.253708e-02   1.548515e-12   3.162300e+00
1.277063e-02   2.005532e-12   3.162300e+00
1.300854e-02   2.593546e-12   3.162300e+00
1.325087e-02   3.349092e-12   3.162300e+00
1.349772e-02   4.317781e-12   3.162300e+00
1.374917e-02   5.556577e-12   3.162300e+00
1.400531e-02   7.136409e-12   3.162300e+00
1.426621e-02   9.146037e-12   3.162300e+00
1.453198e-02   1.169990e-11   3.162300e+00
1.480269e-02   1.494444e-11   3.162300e+00
1.507845e-02   1.906680e-11   3.162300e+00
1.535935e-02   2.430224e-11   3.162300e+00
1.564548e-02   3.093923e-11   3.162300e+00
1.593694e-02   3.933477e-11   3.162300e+00
1.623382e-02   4.993031e-11   3.162300e+00
1.653624e-02   6.327670e-11   3.162300e+00
1.684430e-02   8.005942e-11   3.162300e+00
1.715809e-02   1.011270e-10   3.162300e+00
1.747773e-02   1.275280e-10   3.162300e+00
1.780332e-02   1.605553e-10   3.162300e+00
1.813498e-02   2.018003e-10   3.162300e+00
1.847281e-02   2.532248e-10   3.162300e+00
1.881694e-02   3.172497e-10   3.162300e+00
1.916748e-02   3.968542e-10   3.162300e+00
1.952456e-02   4.957013e-10   3.162300e+00
1.988828e-02   6.182907e-10   3.162300e+00
2.025878e-02   7.701442e-10   3.162300e+00
2.063618e-02   9.580026e-10   3.162300e+00
2.102061e-02   1.190082e-09   3.162300e+00
2.141220e-02   1.476394e-09   3.162300e+00
2.181109e-02   1.829125e-09   3.162300e+00
2.221741e-02   2.263080e-09   3.162300e+00
2.263130e-02   2.796225e-09   3.162300e+00
2.305289e-02   3.450323e-09   3.162300e+00
2.348235e-02   4.251705e-09   3.162300e+00
2.391980e-02   5.232173e-09   3.162300e+00
2.436540e-02   6.430086e-09   3.162300e+00
2.481930e-02   7.891638e-09   3.162300e+00
2.528166e-02   9.672380e-09   3.162300e+00
2.575263e-02   1.183906e-08   3.162300e+00
2.623238e-02   1.447176e-08   3.162300e+00
2.672106e-02   1.766645e-08   3.162300e+00
2.721885e-02   2.153791e-08   3.162300e+00
2.772591e-02   2.622331e-08   3.162300e+00
2.824241e-02   3.188627e-08   3.162300e+00
2.876854e-02   3.872179e-08   3.162300e+00
2.930447e-02   4.696189e-08   3.162300e+00
2.985038e-02   5.688230e-08   3.162300e+00
3.040646e-02   6.881026e-08   3.162300e+00
3.097291e-02   8.313403e-08   3.162300e+00
3.154990e-02   1.003136e-07   3.162300e+00
3.213764e-02   1.208932e-07   3.162300e+00
3.273634e-02   1.455162e-07   3.162300e+00
3.334618e-02   1.749418e-07   3.162300e+00
3.396739e-02   2.100655e-07   3.162300e+00
3.460016e-02   2.519421e-07   3.162300e+00
3.524473e-02   3.018125e-07   3.162300e+00
3.590130e-02   3.611356e-07   3.162300e+00
3.657011e-02   4.316241e-07   3.162300e+00
3.725137e-02   5.152872e-07   3.162300e+00
3.794533e-02   6.144792e-07   3.162300e+00
3.865221e-02   7.319560e-07   3.162300e+00
3.937226e-02   8.709409e-07   3.162300e+00
4.010573e-02   1.035200e-06   3.162300e+00
4.085286e-02   1.229123e-06   3.162300e+00
4.161391e-02   1.457811e-06   3.162300e+00
4.238913e-02   1.727189e-06   3.162300e+00
4.317880e-02   2.044135e-06   3.162300e+00
4.398317e-02   2.416620e-06   3.162300e+00
4.480254e-02   2.853872e-06   3.162300e+00
4.563716e-02   3.366556e-06   3.162300e+00
4.648734e-02   3.966987e-06   3.162300e+00
4.735335e-02   4.669360e-06   3.162300e+00
4.823549e-02   5.490019e-06   3.162300e+00
4.913407e-02   6.447750e-06   3.162300e+00
5.004939e-02   7.564125e-06   3.162300e+00
5.098176e-02   8.863903e-06   3.162300e+00
5.193150e-02   1.037558e-05   3.162300e+00
5.289893e-02   1.213186e-05   3.162300e+00
5.388438e-02   1.417021e-05   3.162300e+00
5.488820e-02   1.653353e-05   3.162300e+00
5.591071e-02   1.927088e-05   3.162300e+00
5.695227e-02   2.243835e-05   3.162300e+00
5.801323e-02   2.609996e-05   3.162300e+00
5.909396e-02   3.032877e-05   3.162300e+00
6.019482e-02   3.520807e-05   3.162300e+00
6.131619e-02   4.083263e-05   3.162300e+00
6.245845e-02   4.730997e-05   3.162300e+00
6.362198e-02   5.476212e-05   3.162300e+00
6.480720e-02   6.332745e-05   3.162300e+00
6.601449e-02   7.316276e-05   3.162300e+00
6.724427e-02   8.444550e-05   3.162300e+00
6.849697e-02   9.737631e-05   3.162300e+00
6.977300e-02   1.121818e-04   3.162300e+00
7.107280e-02   1.291177e-04   3.162300e+00
7.239681e-02   1.484716e-04   3.162300e+00
7.374549e-02   1.705668e-04   3.162300e+00
7.511929e-02   1.957664e-04   3.162300e+00
7.651869e-02   2.244780e-04   3.162300e+00
7.794416e-02   2.571584e-04   3.162300e+00
7.939618e-02   2.943189e-04   3.162300e+00
8.087525e-02   3.365315e-04   3.162300e+00
8.238187e-02   3.844430e-04   3.162300e+00
8.391656e-02   4.387849e-04   3.162300e+00
8.547985e-02   5.003803e-04   3.162300e+00
8.707225e-02   5.701546e-04   3.162300e+00
8.869432e-02   6.491487e-04   3.162300e+00
9.034660e-02   7.385331e-04   3.162300e+00
9.202967e-02   8.396045e-04   3.162300e+00
9.374409e-02   9.537645e-04   3.162300e+00
9.549045e-02   1.082551e-03   3.162300e+00
9.726934e-02   1.227655e-03   3.162300e+00
9.908137e-02   1.390927e-03   3.162300e+00
1.009272e-01   1.574389e-03   3.162300e+00
1.028073e-01   1.780295e-03   3.162300e+00
1.047225e-01   2.011168e-03   3.162300e+00
1.066734e-01   2.269792e-03   3.162300e+00
1.086606e-01   2.559232e-03   3.162300e+00
1.106848e-01   2.882865e-03   3.162300e+00
1.127468e-01   3.244503e-03   3.162300e+00
1.148472e-01   3.648546e-03   3.162300e+00
1.169866e-01   4.099961e-03   3.162300e+00
1.191660e-01   4.604344e-03   3.162300e+00
1.213859e-01   5.167982e-03   3.162300e+00
