# Li7 + t > Be9 + n   [Li7_t__Be9_n]   ref=Coc et al. 2012
# detailed balance: alpha=3.5516 beta=0 gamma=-121.14  Q=10.439
# T9                 rate                error
1.000000e-03   1.640000e-36   2.233300e+00
1.018629e-03   2.763841e-36   2.234690e+00
1.037605e-03   4.695698e-36   2.235971e+00
1.056935e-03   8.040223e-36   2.237147e+00
1.076624e-03   1.387010e-35   2.238220e+00
1.096681e-03   2.409890e-35   2.239193e+00
1.117111e-03   4.215837e-35   2.240069e+00
1.137921e-03   7.423389e-35   2.240852e+00
1.159120e-03   1.315271e-34   2.241545e+00
1.180713e-03   2.344150e-34   2.242150e+00
1.202708e-03   4.201222e-34   2.242671e+00
1.225114e-03   7.569178e-34   2.243110e+00
1.247936e-03   1.370463e-33   2.243472e+00
1.271184e-03   2.492839e-33   2.243758e+00
1.294865e-03   4.553992e-33   2.243973e+00
1.318987e-03   8.352648e-33   2.244119e+00
1.343558e-03   1.537633e-32   2.244200e+00
1.368587e-03   2.840144e-32   2.244218e+00
1.394083e-03   5.261993e-32   2.244178e+00
1.420053e-03   9.775637e-32   2.244081e+00
1.446507e-03   1.820486e-31   2.243932e+00
1.473454e-03   3.397349e-31   2.243733e+00
1.500903e-03   6.351351e-31   2.243487e+00
1.528864e-03   1.189126e-30   2.243199e+00
1.557345e-03   2.228889e-30   2.242870e+00
1.586357e-03   4.181290e-30   2.242505e+00
1.615909e-03   7.847952e-30   2.242106e+00
1.646012e-03   1.473294e-29   2.241676e+00
1.676675e-03   2.765489e-29   2.241219e+00
1.707910e-03   5.188802e-29   2.240739e+00
1.739726e-03   9.728311e-29   2.240237e+00
1.772136e-03   1.821989e-28   2.239717e+00
1.805149e-03   3.407648e-28   2.239184e+00
1.838777e-03   6.362492e-28   2.238638e+00
1.873032e-03   1.185567e-27   2.238085e+00
1.907924e-03   2.204011e-27   2.237527e+00
1.943467e-03   4.086516e-27   2.236966e+00
1.979672e-03   7.554526e-27   2.236408e+00
2.016551e-03   1.391998e-26   2.235853e+00
2.054117e-03   2.555699e-26   2.235307e+00
2.092383e-03   4.673948e-26   2.234771e+00
2.131362e-03   8.511841e-26   2.234249e+00
2.171068e-03   1.543091e-25   2.233744e+00
2.211512e-03   2.783879e-25   2.233260e+00
2.252711e-03   4.996470e-25   2.232799e+00
2.294676e-03   8.918517e-25   2.232364e+00
2.337424e-03   1.582710e-24   2.231959e+00
2.380968e-03   2.791594e-24   2.231588e+00
2.425323e-03   4.892241e-24   2.231252e+00
2.470504e-03   8.515912e-24   2.230955e+00
2.516527e-03   1.471922e-23   2.230700e+00
2.563407e-03   2.525408e-23   2.230491e+00
2.611161e-03   4.299662e-23   2.230331e+00
2.659804e-03   7.261990e-23   2.230222e+00
2.709354e-03   1.216349e-22   2.230168e+00
2.759826e-03   2.019785e-22   2.230172e+00
2.811239e-03   3.323985e-22   2.230237e+00
2.863610e-03   5.419791e-22   2.230367e+00
2.916956e-03   8.752627e-22   2.230564e+00
2.971296e-03   1.399554e-21   2.230832e+00
3.026648e-03   2.215175e-21   2.231173e+00
3.083031e-03   3.471399e-21   2.231582e+00
3.140465e-03   5.390659e-21   2.232044e+00
3.198969e-03   8.302230e-21   2.232546e+00
3.258562e-03   1.269223e-20   2.233071e+00
3.319266e-03   1.927731e-20   2.233604e+00
3.381101e-03   2.911352e-20   2.234132e+00
3.444087e-03   4.375802e-20   2.234638e+00
3.508247e-03   6.551037e-20   2.235108e+00
3.573602e-03   9.777475e-20   2.235527e+00
3.640175e-03   1.456070e-19   2.235880e+00
3.707988e-03   2.165468e-19   2.236152e+00
3.777064e-03   3.218916e-19   2.236328e+00
3.847427e-03   4.786642e-19   2.236393e+00
3.919100e-03   7.126730e-19   2.236332e+00
