# Li9 + d > Li8 + t   [Li9_d__Li8_t]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.7816 beta=0 gamma=-25.453  Q=2.1934
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.099864e-35   1.000000e+02
1.037605e-03   1.217250e-35   1.000000e+02
1.056935e-03   1.355632e-35   1.000000e+02
1.076624e-03   1.519298e-35   1.000000e+02
1.096681e-03   1.713572e-35   1.000000e+02
1.117111e-03   1.945084e-35   1.000000e+02
1.137921e-03   2.222130e-35   1.000000e+02
1.159120e-03   2.555139e-35   1.000000e+02
1.180713e-03   2.957277e-35   1.000000e+02
1.202708e-03   3.445248e-35   1.000000e+02
1.225114e-03   4.040347e-35   1.000000e+02
1.247936e-03   4.769854e-35   1.000000e+02
1.271184e-03   5.668894e-35   1.000000e+02
1.294865e-03   6.782927e-35   1.000000e+02
1.318987e-03   8.171090e-35   1.000000e+02
1.343558e-03   9.910728e-35   1.000000e+02
1.368587e-03   1.210354e-34   1.000000e+02
1.394083e-03   1.488398e-34   1.000000e+02
1.420053e-03   1.843081e-34   1.000000e+02
1.446507e-03   2.298300e-34   1.000000e+02
1.473454e-03   2.886189e-34   1.000000e+02
1.500903e-03   3.650203e-34   1.000000e+02
1.528864e-03   4.649458e-34   1.000000e+02
1.557345e-03   5.964845e-34   1.000000e+02
1.586357e-03   7.707723e-34   1.000000e+02
1.615909e-03   1.003233e-33   1.000000e+02
1.646012e-03   1.315361e-33   1.000000e+02
1.676675e-03   1.737296e-33   1.000000e+02
1.707910e-03   2.311571e-33   1.000000e+02
1.739726e-03   3.098589e-33   1.000000e+02
1.772136e-03   4.184682e-33   1.000000e+02
1.805149e-03   5.694050e-33   1.000000e+02
1.838777e-03   7.806549e-33   1.000000e+02
1.873032e-03   1.078436e-32   1.000000e+02
1.907924e-03   1.501226e-32   1.000000e+02
1.943467e-03   2.105874e-32   1.000000e+02
1.979672e-03   2.976954e-32   1.000000e+02
2.016551e-03   4.241153e-32   1.000000e+02
2.054117e-03   6.089566e-32   1.000000e+02
2.092383e-03   8.812476e-32   1.000000e+02
2.131362e-03   1.285397e-31   1.000000e+02
2.171068e-03   1.889832e-31   1.000000e+02
2.211512e-03   2.800748e-31   1.000000e+02
2.252711e-03   4.184163e-31   1.000000e+02
2.294676e-03   6.301520e-31   1.000000e+02
2.337424e-03   9.567597e-31   1.000000e+02
2.380968e-03   1.464536e-30   1.000000e+02
