# Li9 + p > Be10 + g   [Li9_p__Be10_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.8365e+10 beta=1.5 gamma=-227.873  Q=19.6366
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.096354e-35   1.000000e+02
1.037605e-03   1.208987e-35   1.000000e+02
1.056935e-03   1.341012e-35   1.000000e+02
1.076624e-03   1.496250e-35   1.000000e+02
1.096681e-03   1.679409e-35   1.000000e+02
1.117111e-03   1.896315e-35   1.000000e+02
1.137921e-03   2.154202e-35   1.000000e+02
1.159120e-03   2.462093e-35   1.000000e+02
1.180713e-03   2.831295e-35   1.000000e+02
1.202708e-03   3.276037e-35   1.000000e+02
1.225114e-03   3.814310e-35   1.000000e+02
1.247936e-03   4.468965e-35   1.000000e+02
1.271184e-03   5.269170e-35   1.000000e+02
1.294865e-03   6.252333e-35   1.000000e+02
1.318987e-03   7.466671e-35   1.000000e+02
1.343558e-03   8.974649e-35   1.000000e+02
1.368587e-03   1.085760e-34   1.000000e+02
1.394083e-03   1.322197e-34   1.000000e+02
1.420053e-03   1.620785e-34   1.000000e+02
1.446507e-03   2.000054e-34   1.000000e+02
1.473454e-03   2.484652e-34   1.000000e+02
1.500903e-03   3.107543e-34   1.000000e+02
1.528864e-03   3.913065e-34   1.000000e+02
1.557345e-03   4.961188e-34   1.000000e+02
1.586357e-03   6.333494e-34   1.000000e+02
1.615909e-03   8.141615e-34   1.000000e+02
1.646012e-03   1.053920e-33   1.000000e+02
1.676675e-03   1.373900e-33   1.000000e+02
1.707910e-03   1.803737e-33   1.000000e+02
1.739726e-03   2.384967e-33   1.000000e+02
1.772136e-03   3.176165e-33   1.000000e+02
1.805149e-03   4.260452e-33   1.000000e+02
1.838777e-03   5.756528e-33   1.000000e+02
1.873032e-03   7.834987e-33   1.000000e+02
1.907924e-03   1.074259e-32   1.000000e+02
1.943467e-03   1.483862e-32   1.000000e+02
1.979672e-03   2.064960e-32   1.000000e+02
2.016551e-03   2.895238e-32   1.000000e+02
2.054117e-03   4.090077e-32   1.000000e+02
2.092383e-03   5.822024e-32   1.000000e+02
2.131362e-03   8.350875e-32   1.000000e+02
2.171068e-03   1.207052e-31   1.000000e+02
2.211512e-03   1.758232e-31   1.000000e+02
2.252711e-03   2.581091e-31   1.000000e+02
2.294676e-03   3.818806e-31   1.000000e+02
2.337424e-03   5.694680e-31   1.000000e+02
2.380968e-03   8.559514e-31   1.000000e+02
2.425323e-03   1.296842e-30   1.000000e+02
2.470504e-03   1.980633e-30   1.000000e+02
2.516527e-03   3.049441e-30   1.000000e+02
2.563407e-03   4.733211e-30   1.000000e+02
2.611161e-03   7.406815e-30   1.000000e+02
2.659804e-03   1.168604e-29   1.000000e+02
2.709354e-03   1.859021e-29   1.000000e+02
2.759826e-03   2.981964e-29   1.000000e+02
2.811239e-03   4.823274e-29   1.000000e+02
2.863610e-03   7.867261e-29   1.000000e+02
2.916956e-03   1.294099e-28   1.000000e+02
2.971296e-03   2.146814e-28   1.000000e+02
3.026648e-03   3.592084e-28   1.000000e+02
3.083031e-03   6.070533e-28   1.000000e+02
3.140465e-03   1.039036e-27   1.000000e+02
3.198969e-03   1.806264e-27   1.000000e+02
3.258562e-03   3.198173e-27   1.000000e+02
3.319266e-03   5.783840e-27   1.000000e+02
3.381101e-03   1.071390e-26   1.000000e+02
3.444087e-03   2.038540e-26   1.000000e+02
3.508247e-03   3.995347e-26   1.000000e+02
3.573602e-03   8.088668e-26   1.000000e+02
3.640175e-03   1.696329e-25   1.000000e+02
3.707988e-03   3.695532e-25   1.000000e+02
3.777064e-03   8.386894e-25   1.000000e+02
3.847427e-03   1.988411e-24   1.000000e+02
3.919100e-03   4.938728e-24   1.000000e+02
3.992109e-03   1.288699e-23   1.000000e+02
4.066478e-03   3.536627e-23   1.000000e+02
4.142232e-03   1.012183e-22   1.000000e+02
4.219398e-03   2.985859e-22   1.000000e+02
4.298001e-03   8.972774e-22   1.000000e+02
4.378069e-03   2.714802e-21   1.000000e+02
4.459628e-03   8.173548e-21   1.000000e+02
4.542706e-03   2.420197e-20   1.000000e+02
4.627332e-03   6.965713e-20   1.000000e+02
4.713535e-03   1.926025e-19   1.000000e+02
4.801343e-03   5.056460e-19   1.000000e+02
4.890787e-03   1.245737e-18   1.000000e+02
4.981898e-03   2.846481e-18   1.000000e+02
5.074705e-03   5.974213e-18   1.000000e+02
5.169242e-03   1.157646e-17   1.000000e+02
5.265540e-03   2.095488e-17   1.000000e+02
5.363631e-03   3.585200e-17   1.000000e+02
5.463550e-03   5.866317e-17   1.000000e+02
5.565331e-03   9.288509e-17   1.000000e+02
5.669007e-03   1.439990e-16   1.000000e+02
5.774615e-03   2.211622e-16   1.000000e+02
5.882190e-03   3.404904e-16   1.000000e+02
5.991770e-03   5.316746e-16   1.000000e+02
6.103390e-03   8.501534e-16   1.000000e+02
6.217090e-03   1.390309e-15   1.000000e+02
6.332908e-03   2.314566e-15   1.000000e+02
6.450884e-03   3.904397e-15   1.000000e+02
6.571058e-03   6.642715e-15   1.000000e+02
6.693470e-03   1.134556e-14   1.000000e+02
6.818162e-03   1.936318e-14   1.000000e+02
6.945178e-03   3.286843e-14   1.000000e+02
7.074559e-03   5.524491e-14   1.000000e+02
7.206351e-03   9.180597e-14   1.000000e+02
7.340598e-03   1.509860e-13   1.000000e+02
7.477346e-03   2.460044e-13   1.000000e+02
7.616642e-03   3.975054e-13   1.000000e+02
7.758532e-03   6.376624e-13   1.000000e+02
7.903066e-03   1.016575e-12   1.000000e+02
8.050292e-03   1.612246e-12   1.000000e+02
8.200261e-03   2.542404e-12   1.000000e+02
8.353023e-03   3.975086e-12   1.000000e+02
8.508632e-03   6.143548e-12   1.000000e+02
8.667139e-03   9.357175e-12   1.000000e+02
8.828599e-03   1.400249e-11   1.000000e+02
8.993067e-03   2.052497e-11   1.000000e+02
9.160598e-03   2.942042e-11   1.000000e+02
9.331251e-03   4.142389e-11   1.000000e+02
9.505083e-03   5.764915e-11   1.000000e+02
9.682153e-03   7.979571e-11   1.000000e+02
9.862522e-03   1.105389e-10   1.000000e+02
1.004625e-02   1.542039e-10   1.000000e+02
1.023340e-02   2.174182e-10   1.000000e+02
1.042404e-02   3.093994e-10   1.000000e+02
1.061823e-02   4.435264e-10   1.000000e+02
1.081604e-02   6.392174e-10   1.000000e+02
1.101753e-02   9.244002e-10   1.000000e+02
1.122277e-02   1.339483e-09   1.000000e+02
1.143184e-02   1.945251e-09   1.000000e+02
1.164481e-02   2.832750e-09   1.000000e+02
1.186174e-02   4.138738e-09   1.000000e+02
1.208271e-02   6.069944e-09   1.000000e+02
1.230780e-02   8.938239e-09   1.000000e+02
1.253708e-02   1.321211e-08   1.000000e+02
1.277063e-02   1.959897e-08   1.000000e+02
1.300854e-02   2.916916e-08   1.000000e+02
1.325087e-02   4.354601e-08   1.000000e+02
1.349772e-02   6.520319e-08   1.000000e+02
1.374917e-02   9.791760e-08   1.000000e+02
1.400531e-02   1.474686e-07   1.000000e+02
1.426621e-02   2.227160e-07   1.000000e+02
1.453198e-02   3.372485e-07   1.000000e+02
1.480269e-02   5.119419e-07   1.000000e+02
1.507845e-02   7.789126e-07   1.000000e+02
1.535935e-02   1.187647e-06   1.000000e+02
1.564548e-02   1.814528e-06   1.000000e+02
1.593694e-02   2.777571e-06   1.000000e+02
1.623382e-02   4.259248e-06   1.000000e+02
1.653624e-02   6.541066e-06   1.000000e+02
1.684430e-02   1.005695e-05   1.000000e+02
1.715809e-02   1.547536e-05   1.000000e+02
1.747773e-02   2.382461e-05   1.000000e+02
1.780332e-02   3.668393e-05   1.000000e+02
1.813498e-02   5.647380e-05   1.000000e+02
1.847281e-02   8.690801e-05   1.000000e+02
1.881694e-02   1.336959e-04   1.000000e+02
1.916748e-02   2.056035e-04   1.000000e+02
1.952456e-02   3.160871e-04   1.000000e+02
1.988828e-02   4.857980e-04   1.000000e+02
2.025878e-02   7.463824e-04   1.000000e+02
2.063618e-02   1.145631e-03   1.000000e+02
2.102061e-02   1.754973e-03   1.000000e+02
2.141220e-02   2.680407e-03   1.000000e+02
2.181109e-02   4.077539e-03   1.000000e+02
2.221741e-02   6.171987e-03   1.000000e+02
2.263130e-02   9.286323e-03   1.000000e+02
2.305289e-02   1.387449e-02   1.000000e+02
2.348235e-02   2.056396e-02   1.000000e+02
2.391980e-02   3.020478e-02   1.000000e+02
2.436540e-02   4.392242e-02   1.000000e+02
2.481930e-02   6.316853e-02   1.000000e+02
2.528166e-02   8.976714e-02   1.000000e+02
2.575263e-02   1.260822e-01   1.000000e+02
2.623238e-02   1.752345e-01   1.000000e+02
