# Li9 + p > Be9 + n   [Li9_p__Be9_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.0012 beta=0 gamma=-148.82  Q=12.8244
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.119940e-35   1.000000e+02
1.037605e-03   1.264167e-35   1.000000e+02
1.056935e-03   1.438288e-35   1.000000e+02
1.076624e-03   1.649437e-35   1.000000e+02
1.096681e-03   1.906739e-35   1.000000e+02
1.117111e-03   2.221921e-35   1.000000e+02
1.137921e-03   2.610148e-35   1.000000e+02
1.159120e-03   3.091130e-35   1.000000e+02
1.180713e-03   3.690642e-35   1.000000e+02
1.202708e-03   4.442587e-35   1.000000e+02
1.225114e-03   5.391827e-35   1.000000e+02
1.247936e-03   6.598099e-35   1.000000e+02
1.271184e-03   8.141444e-35   1.000000e+02
1.294865e-03   1.012979e-34   1.000000e+02
1.318987e-03   1.270963e-34   1.000000e+02
1.343558e-03   1.608107e-34   1.000000e+02
1.368587e-03   2.051938e-34   1.000000e+02
1.394083e-03   2.640565e-34   1.000000e+02
1.420053e-03   3.427126e-34   1.000000e+02
1.446507e-03   4.486218e-34   1.000000e+02
1.473454e-03   5.923313e-34   1.000000e+02
1.500903e-03   7.888596e-34   1.000000e+02
1.528864e-03   1.059747e-33   1.000000e+02
1.557345e-03   1.436115e-33   1.000000e+02
1.586357e-03   1.963258e-33   1.000000e+02
1.615909e-03   2.707593e-33   1.000000e+02
1.646012e-03   3.767247e-33   1.000000e+02
1.676675e-03   5.288302e-33   1.000000e+02
1.707910e-03   7.489913e-33   1.000000e+02
1.739726e-03   1.070342e-32   1.000000e+02
1.772136e-03   1.543369e-32   1.000000e+02
1.805149e-03   2.245618e-32   1.000000e+02
1.838777e-03   3.297141e-32   1.000000e+02
1.873032e-03   4.885300e-32   1.000000e+02
1.907924e-03   7.304896e-32   1.000000e+02
1.943467e-03   1.102358e-31   1.000000e+02
1.979672e-03   1.678935e-31   1.000000e+02
2.016551e-03   2.580860e-31   1.000000e+02
2.054117e-03   4.004342e-31   1.000000e+02
2.092383e-03   6.271204e-31   1.000000e+02
2.131362e-03   9.913807e-31   1.000000e+02
2.171068e-03   1.582036e-30   1.000000e+02
2.211512e-03   2.548566e-30   1.000000e+02
2.252711e-03   4.144722e-30   1.000000e+02
2.294676e-03   6.805057e-30   1.000000e+02
2.337424e-03   1.128033e-29   1.000000e+02
2.380968e-03   1.887915e-29   1.000000e+02
2.425323e-03   3.190292e-29   1.000000e+02
2.470504e-03   5.443551e-29   1.000000e+02
2.516527e-03   9.378970e-29   1.000000e+02
2.563407e-03   1.631795e-28   1.000000e+02
2.611161e-03   2.867018e-28   1.000000e+02
2.659804e-03   5.087057e-28   1.000000e+02
2.709354e-03   9.115714e-28   1.000000e+02
2.759826e-03   1.649756e-27   1.000000e+02
2.811239e-03   3.015575e-27   1.000000e+02
2.863610e-03   5.567485e-27   1.000000e+02
2.916956e-03   1.038253e-26   1.000000e+02
2.971296e-03   1.955776e-26   1.000000e+02
3.026648e-03   3.721796e-26   1.000000e+02
3.083031e-03   7.167680e-26   1.000000e+02
3.140465e-03   1.401983e-25   1.000000e+02
3.198969e-03   2.795292e-25   1.000000e+02
3.258562e-03   5.701836e-25   1.000000e+02
3.319266e-03   1.194229e-24   1.000000e+02
3.381101e-03   2.577674e-24   1.000000e+02
3.444087e-03   5.754646e-24   1.000000e+02
3.508247e-03   1.333650e-23   1.000000e+02
3.573602e-03   3.220179e-23   1.000000e+02
3.640175e-03   8.130468e-23   1.000000e+02
3.707988e-03   2.154422e-22   1.000000e+02
3.777064e-03   6.013237e-22   1.000000e+02
3.847427e-03   1.774314e-21   1.000000e+02
3.919100e-03   5.554943e-21   1.000000e+02
3.992109e-03   1.851988e-20   1.000000e+02
4.066478e-03   6.584163e-20   1.000000e+02
4.142232e-03   2.468321e-19   1.000000e+02
4.219398e-03   9.607292e-19   1.000000e+02
4.298001e-03   3.822580e-18   1.000000e+02
4.378069e-03   1.530828e-17   1.000000e+02
4.459628e-03   6.075308e-17   1.000000e+02
4.542706e-03   2.352558e-16   1.000000e+02
4.627332e-03   8.751858e-16   1.000000e+02
4.713535e-03   3.079684e-15   1.000000e+02
4.801343e-03   1.009290e-14   1.000000e+02
4.890787e-03   3.033106e-14   1.000000e+02
4.981898e-03   8.229604e-14   1.000000e+02
5.074705e-03   1.990288e-13   1.000000e+02
5.169242e-03   4.319767e-13   1.000000e+02
5.265540e-03   8.545989e-13   1.000000e+02
5.363631e-03   1.565270e-12   1.000000e+02
5.463550e-03   2.695928e-12   1.000000e+02
5.565331e-03   4.434930e-12   1.000000e+02
5.669007e-03   7.077698e-12   1.000000e+02
5.774615e-03   1.112990e-11   1.000000e+02
5.882190e-03   1.751669e-11   1.000000e+02
5.991770e-03   2.802473e-11   1.000000e+02
6.103390e-03   4.616035e-11   1.000000e+02
6.217090e-03   7.813617e-11   1.000000e+02
6.332908e-03   1.350652e-10   1.000000e+02
6.450884e-03   2.369168e-10   1.000000e+02
6.571058e-03   4.190456e-10   1.000000e+02
6.693470e-03   7.426644e-10   1.000000e+02
6.818162e-03   1.310515e-09   1.000000e+02
6.945178e-03   2.288031e-09   1.000000e+02
7.074559e-03   3.928393e-09   1.000000e+02
7.206351e-03   6.620515e-09   1.000000e+02
7.340598e-03   1.096958e-08   1.000000e+02
7.477346e-03   1.789997e-08   1.000000e+02
7.616642e-03   2.881519e-08   1.000000e+02
7.758532e-03   4.583948e-08   1.000000e+02
7.903066e-03   7.218548e-08   1.000000e+02
8.050292e-03   1.127127e-07   1.000000e+02
8.200261e-03   1.742946e-07   1.000000e+02
8.353023e-03   2.654357e-07   1.000000e+02
8.508632e-03   3.957452e-07   1.000000e+02
8.667139e-03   5.742083e-07   1.000000e+02
8.828599e-03   8.060043e-07   1.000000e+02
8.993067e-03   1.088018e-06   1.000000e+02
9.160598e-03   1.408621e-06   1.000000e+02
9.331251e-03   1.770293e-06   1.000000e+02
9.505083e-03   2.195012e-06   1.000000e+02
9.682153e-03   2.729084e-06   1.000000e+02
9.862522e-03   3.458066e-06   1.000000e+02
1.004625e-02   4.538403e-06   1.000000e+02
1.023340e-02   6.216500e-06   1.000000e+02
1.042404e-02   8.808471e-06   1.000000e+02
1.061823e-02   1.277263e-05   1.000000e+02
1.081604e-02   1.874988e-05   1.000000e+02
1.101753e-02   2.756572e-05   1.000000e+02
1.122277e-02   4.027234e-05   1.000000e+02
1.143184e-02   5.855255e-05   1.000000e+02
1.164481e-02   8.499558e-05   1.000000e+02
1.186174e-02   1.235858e-04   1.000000e+02
1.208271e-02   1.805745e-04   1.000000e+02
1.230780e-02   2.655274e-04   1.000000e+02
1.253708e-02   3.925871e-04   1.000000e+02
1.277063e-02   5.829985e-04   1.000000e+02
1.300854e-02   8.686298e-04   1.000000e+02
1.325087e-02   1.297392e-03   1.000000e+02
1.349772e-02   1.942571e-03   1.000000e+02
1.374917e-02   2.916321e-03   1.000000e+02
1.400531e-02   4.390652e-03   1.000000e+02
1.426621e-02   6.629911e-03   1.000000e+02
1.453198e-02   1.003909e-02   1.000000e+02
1.480269e-02   1.523994e-02   1.000000e+02
1.507845e-02   2.318823e-02   1.000000e+02
1.535935e-02   3.535596e-02   1.000000e+02
1.564548e-02   5.401575e-02   1.000000e+02
1.593694e-02   8.267927e-02   1.000000e+02
1.623382e-02   1.267766e-01   1.000000e+02
1.653624e-02   1.946846e-01   1.000000e+02
1.684430e-02   2.993147e-01   1.000000e+02
1.715809e-02   4.605560e-01   1.000000e+02
1.747773e-02   7.090038e-01   1.000000e+02
1.780332e-02   1.091642e+00   1.000000e+02
1.813498e-02   1.680480e+00   1.000000e+02
1.847281e-02   2.585996e+00   1.000000e+02
1.881694e-02   3.978025e+00   1.000000e+02
1.916748e-02   6.117318e+00   1.000000e+02
1.952456e-02   9.404105e+00   1.000000e+02
1.988828e-02   1.445259e+01   1.000000e+02
2.025878e-02   2.220390e+01   1.000000e+02
2.063618e-02   3.407921e+01   1.000000e+02
2.102061e-02   5.220243e+01   1.000000e+02
2.141220e-02   7.972517e+01   1.000000e+02
2.181109e-02   1.212735e+02   1.000000e+02
2.221741e-02   1.835545e+02   1.000000e+02
2.263130e-02   2.761563e+02   1.000000e+02
2.305289e-02   4.125702e+02   1.000000e+02
2.348235e-02   6.114439e+02   1.000000e+02
2.391980e-02   8.980353e+02   1.000000e+02
2.436540e-02   1.305782e+03   1.000000e+02
2.481930e-02   1.877808e+03   1.000000e+02
2.528166e-02   2.668287e+03   1.000000e+02
2.575263e-02   3.747423e+03   1.000000e+02
2.623238e-02   5.207889e+03   1.000000e+02
2.672106e-02   7.170336e+03   1.000000e+02
2.721885e-02   9.792328e+03   1.000000e+02
2.772591e-02   1.328070e+04   1.000000e+02
2.824241e-02   1.790871e+04   1.000000e+02
2.876854e-02   2.404008e+04   1.000000e+02
2.930447e-02   3.216294e+04   1.000000e+02
2.985038e-02   4.293817e+04   1.000000e+02
3.040646e-02   5.724283e+04   1.000000e+02
3.097291e-02   7.593814e+04   1.000000e+02
3.154990e-02   9.966046e+04   1.000000e+02
3.213764e-02   1.286360e+05   1.000000e+02
3.273634e-02   1.623423e+05   1.000000e+02
3.334618e-02   1.991513e+05   1.000000e+02
3.396739e-02   2.360854e+05   1.000000e+02
3.460016e-02   2.688703e+05   1.000000e+02
3.524473e-02   2.924533e+05   1.000000e+02
3.590130e-02   3.020391e+05   1.000000e+02
3.657011e-02   2.944526e+05   1.000000e+02
3.725137e-02   2.693802e+05   1.000000e+02
3.794533e-02   2.299148e+05   1.000000e+02
3.865221e-02   1.820001e+05   1.000000e+02
3.937226e-02   1.328412e+05   1.000000e+02
4.010573e-02   8.888075e+04   1.000000e+02
4.085286e-02   5.452182e+04   1.000000e+02
4.161391e-02   3.115689e+04   1.000000e+02
