# N14 + p > O15 + g   [N14_p__O15_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=2.7009e+10 beta=1.5 gamma=-84.6756  Q=7.2968
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   1.033690e-35   1.000150e+00
1.037605e-03   1.065405e-35   1.000287e+00
1.056935e-03   1.094999e-35   1.000411e+00
1.076624e-03   1.122349e-35   1.000522e+00
1.096681e-03   1.147354e-35   1.000622e+00
1.117111e-03   1.169938e-35   1.000710e+00
1.137921e-03   1.190048e-35   1.000787e+00
1.159120e-03   1.207653e-35   1.000854e+00
1.180713e-03   1.222748e-35   1.000910e+00
1.202708e-03   1.235347e-35   1.000956e+00
1.225114e-03   1.245485e-35   1.000993e+00
1.247936e-03   1.253217e-35   1.001021e+00
1.271184e-03   1.258612e-35   1.001041e+00
1.294865e-03   1.261759e-35   1.001052e+00
1.318987e-03   1.262757e-35   1.001056e+00
1.343558e-03   1.261719e-35   1.001052e+00
1.368587e-03   1.258767e-35   1.001041e+00
1.394083e-03   1.254030e-35   1.001024e+00
1.420053e-03   1.247646e-35   1.001001e+00
1.446507e-03   1.239753e-35   1.000972e+00
1.473454e-03   1.230497e-35   1.000939e+00
1.500903e-03   1.220021e-35   1.000900e+00
1.528864e-03   1.208470e-35   1.000857e+00
1.557345e-03   1.195989e-35   1.000810e+00
1.586357e-03   1.182716e-35   1.000759e+00
1.615909e-03   1.168792e-35   1.000706e+00
1.646012e-03   1.154349e-35   1.000649e+00
1.676675e-03   1.139518e-35   1.000591e+00
1.707910e-03   1.124421e-35   1.000530e+00
1.739726e-03   1.109178e-35   1.000469e+00
1.772136e-03   1.093902e-35   1.000406e+00
1.805149e-03   1.078700e-35   1.000343e+00
1.838777e-03   1.063674e-35   1.000279e+00
1.873032e-03   1.048920e-35   1.000216e+00
1.907924e-03   1.034528e-35   1.000154e+00
1.943467e-03   1.020584e-35   1.000092e+00
1.979672e-03   1.007170e-35   1.000032e+00
2.016551e-03   9.943599e-36   9.999744e-01
2.054117e-03   9.822281e-36   9.999189e-01
2.092383e-03   9.708433e-36   9.998662e-01
2.131362e-03   9.602723e-36   9.998167e-01
2.171068e-03   9.505796e-36   9.997708e-01
2.211512e-03   9.418283e-36   9.997290e-01
2.252711e-03   9.340809e-36   9.996916e-01
2.294676e-03   9.274001e-36   9.996592e-01
2.337424e-03   9.218496e-36   9.996321e-01
2.380968e-03   9.174948e-36   9.996106e-01
