# Ne19 + n > O16 + a   [Ne19_n__O16_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.65522 beta=0 gamma=-140.819  Q=12.1348
# T9                 rate                error
1.000000e-03   2.070000e+08   1.000000e+02
1.018629e-03   2.069014e+08   1.000000e+02
1.037605e-03   2.068046e+08   1.000000e+02
1.056935e-03   2.067096e+08   1.000000e+02
1.076624e-03   2.066165e+08   1.000000e+02
1.096681e-03   2.065252e+08   1.000000e+02
1.117111e-03   2.064357e+08   1.000000e+02
1.137921e-03   2.063481e+08   1.000000e+02
1.159120e-03   2.062624e+08   1.000000e+02
1.180713e-03   2.061786e+08   1.000000e+02
1.202708e-03   2.060967e+08   1.000000e+02
1.225114e-03   2.060167e+08   1.000000e+02
1.247936e-03   2.059386e+08   1.000000e+02
1.271184e-03   2.058626e+08   1.000000e+02
1.294865e-03   2.057884e+08   1.000000e+02
1.318987e-03   2.057163e+08   1.000000e+02
1.343558e-03   2.056462e+08   1.000000e+02
1.368587e-03   2.055781e+08   1.000000e+02
1.394083e-03   2.055120e+08   1.000000e+02
1.420053e-03   2.054480e+08   1.000000e+02
1.446507e-03   2.053860e+08   1.000000e+02
1.473454e-03   2.053261e+08   1.000000e+02
1.500903e-03   2.052683e+08   1.000000e+02
1.528864e-03   2.052126e+08   1.000000e+02
1.557345e-03   2.051590e+08   1.000000e+02
1.586357e-03   2.051076e+08   1.000000e+02
1.615909e-03   2.050583e+08   1.000000e+02
1.646012e-03   2.050112e+08   1.000000e+02
1.676675e-03   2.049662e+08   1.000000e+02
1.707910e-03   2.049235e+08   1.000000e+02
1.739726e-03   2.048830e+08   1.000000e+02
1.772136e-03   2.048447e+08   1.000000e+02
1.805149e-03   2.048086e+08   1.000000e+02
1.838777e-03   2.047748e+08   1.000000e+02
1.873032e-03   2.047433e+08   1.000000e+02
1.907924e-03   2.047141e+08   1.000000e+02
1.943467e-03   2.046872e+08   1.000000e+02
1.979672e-03   2.046626e+08   1.000000e+02
2.016551e-03   2.046404e+08   1.000000e+02
2.054117e-03   2.046205e+08   1.000000e+02
2.092383e-03   2.046029e+08   1.000000e+02
2.131362e-03   2.045878e+08   1.000000e+02
2.171068e-03   2.045751e+08   1.000000e+02
2.211512e-03   2.045648e+08   1.000000e+02
2.252711e-03   2.045569e+08   1.000000e+02
2.294676e-03   2.045515e+08   1.000000e+02
2.337424e-03   2.045485e+08   1.000000e+02
2.380968e-03   2.045481e+08   1.000000e+02
2.425323e-03   2.045501e+08   1.000000e+02
2.470504e-03   2.045547e+08   1.000000e+02
2.516527e-03   2.045618e+08   1.000000e+02
2.563407e-03   2.045715e+08   1.000000e+02
2.611161e-03   2.045837e+08   1.000000e+02
