# Ne19 + p > Na20 + g   [Ne19_p__Na20_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=7.3931e+09 beta=1.5 gamma=-25.4418  Q=2.1924
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   1.001326e-35   1.000051e+00
1.037605e-03   1.002536e-35   1.000098e+00
1.056935e-03   1.003635e-35   1.000140e+00
1.076624e-03   1.004626e-35   1.000178e+00
1.096681e-03   1.005511e-35   1.000212e+00
1.117111e-03   1.006295e-35   1.000242e+00
1.137921e-03   1.006981e-35   1.000269e+00
1.159120e-03   1.007572e-35   1.000291e+00
1.180713e-03   1.008073e-35   1.000311e+00
1.202708e-03   1.008486e-35   1.000327e+00
1.225114e-03   1.008816e-35   1.000339e+00
1.247936e-03   1.009065e-35   1.000349e+00
1.271184e-03   1.009239e-35   1.000355e+00
1.294865e-03   1.009339e-35   1.000359e+00
1.318987e-03   1.009371e-35   1.000360e+00
1.343558e-03   1.009338e-35   1.000359e+00
1.368587e-03   1.009244e-35   1.000356e+00
1.394083e-03   1.009091e-35   1.000350e+00
1.420053e-03   1.008886e-35   1.000342e+00
1.446507e-03   1.008630e-35   1.000332e+00
1.473454e-03   1.008327e-35   1.000320e+00
1.500903e-03   1.007983e-35   1.000307e+00
1.528864e-03   1.007599e-35   1.000293e+00
1.557345e-03   1.007181e-35   1.000276e+00
1.586357e-03   1.006732e-35   1.000259e+00
1.615909e-03   1.006255e-35   1.000241e+00
1.646012e-03   1.005755e-35   1.000222e+00
1.676675e-03   1.005235e-35   1.000202e+00
1.707910e-03   1.004700e-35   1.000181e+00
1.739726e-03   1.004151e-35   1.000160e+00
1.772136e-03   1.003595e-35   1.000139e+00
1.805149e-03   1.003033e-35   1.000117e+00
1.838777e-03   1.002471e-35   1.000095e+00
1.873032e-03   1.001911e-35   1.000074e+00
1.907924e-03   1.001358e-35   1.000052e+00
1.943467e-03   1.000815e-35   1.000031e+00
1.979672e-03   1.000286e-35   1.000011e+00
2.016551e-03   9.997739e-36   9.999913e-01
2.054117e-03   9.992833e-36   9.999723e-01
2.092383e-03   9.988176e-36   9.999543e-01
2.131362e-03   9.983805e-36   9.999374e-01
2.171068e-03   9.979756e-36   9.999217e-01
2.211512e-03   9.976067e-36   9.999074e-01
2.252711e-03   9.972773e-36   9.998947e-01
2.294676e-03   9.969911e-36   9.998836e-01
2.337424e-03   9.967518e-36   9.998743e-01
2.380968e-03   9.965632e-36   9.998670e-01
2.425323e-03   9.964287e-36   9.998618e-01
2.470504e-03   9.963522e-36   9.998588e-01
2.516527e-03   9.963373e-36   9.998582e-01
2.563407e-03   9.963877e-36   9.998602e-01
2.611161e-03   9.965072e-36   9.998648e-01
2.659804e-03   9.966994e-36   9.998723e-01
2.709354e-03   9.969681e-36   9.998827e-01
2.759826e-03   9.973170e-36   9.998962e-01
2.811239e-03   9.977501e-36   9.999130e-01
2.863610e-03   9.982710e-36   9.999331e-01
2.916956e-03   9.988836e-36   9.999568e-01
2.971296e-03   9.995919e-36   9.999842e-01
3.026648e-03   1.000399e-35   1.000015e+00
3.083031e-03   1.001288e-35   1.000050e+00
3.140465e-03   1.002220e-35   1.000086e+00
3.198969e-03   1.003156e-35   1.000122e+00
3.258562e-03   1.004057e-35   1.000156e+00
3.319266e-03   1.004883e-35   1.000188e+00
3.381101e-03   1.005593e-35   1.000216e+00
3.444087e-03   1.006149e-35   1.000237e+00
3.508247e-03   1.006509e-35   1.000251e+00
3.573602e-03   1.006635e-35   1.000256e+00
3.640175e-03   1.006486e-35   1.000250e+00
3.707988e-03   1.006024e-35   1.000232e+00
3.777064e-03   1.005207e-35   1.000201e+00
3.847427e-03   1.003999e-35   1.000154e+00
3.919100e-03   1.002360e-35   1.000091e+00
3.992109e-03   1.000255e-35   1.000010e+00
4.066478e-03   9.976761e-36   9.999101e-01
4.142232e-03   9.947944e-36   9.997984e-01
4.219398e-03   9.918364e-36   9.996834e-01
4.298001e-03   9.890265e-36   9.995738e-01
4.378069e-03   9.865866e-36   9.994784e-01
4.459628e-03   9.847369e-36   9.994059e-01
4.542706e-03   9.836964e-36   9.993651e-01
4.627332e-03   9.836852e-36   9.993647e-01
4.713535e-03   9.849260e-36   9.994134e-01
4.801343e-03   9.876469e-36   9.995199e-01
4.890787e-03   9.920846e-36   9.996930e-01
4.981898e-03   9.984881e-36   9.999415e-01
5.074705e-03   1.007002e-35   1.000270e+00
5.169242e-03   1.016896e-35   1.000648e+00
5.265540e-03   1.027017e-35   1.001030e+00
5.363631e-03   1.036166e-35   1.001374e+00
5.463550e-03   1.043102e-35   1.001632e+00
5.565331e-03   1.046566e-35   1.001760e+00
5.669007e-03   1.045306e-35   1.001713e+00
5.774615e-03   1.038134e-35   1.001447e+00
5.882190e-03   1.023981e-35   1.000916e+00
5.991770e-03   1.001970e-35   1.000076e+00
6.103390e-03   9.723593e-36   9.989177e-01
6.217090e-03   9.398189e-36   9.976049e-01
6.332908e-03   9.098110e-36   9.963550e-01
6.450884e-03   8.871405e-36   9.953841e-01
6.571058e-03   8.762187e-36   9.949078e-01
6.693470e-03   8.815685e-36   9.951418e-01
6.818162e-03   9.085894e-36   9.963033e-01
6.945178e-03   9.646992e-36   9.986125e-01
7.074559e-03   1.060077e-35   1.002257e+00
7.206351e-03   1.191142e-35   1.006781e+00
7.340598e-03   1.333694e-35   1.011187e+00
7.477346e-03   1.449515e-35   1.014446e+00
7.616642e-03   1.489604e-35   1.015515e+00
7.758532e-03   1.409964e-35   1.013362e+00
7.903066e-03   1.197406e-35   1.006985e+00
8.050292e-03   8.895886e-36   9.954901e-01
8.200261e-03   5.951881e-36   9.801529e-01
8.353023e-03   4.010474e-36   9.653162e-01
8.508632e-03   3.064761e-36   9.553382e-01
8.667139e-03   2.991166e-36   9.544414e-01
8.828599e-03   4.198657e-36   9.670279e-01
8.993067e-03   9.545304e-36   9.982037e-01
9.160598e-03   3.777154e-35   1.052560e+00
9.331251e-03   2.261975e-34   1.126908e+00
9.505083e-03   1.678567e-33   1.214609e+00
9.682153e-03   1.263851e-32   1.306724e+00
9.862522e-03   7.905647e-32   1.391308e+00
1.004625e-02   3.366798e-31   1.453663e+00
1.023340e-02   8.882116e-31   1.484688e+00
1.042404e-02   1.618249e-30   1.490019e+00
1.061823e-02   2.323539e-30   1.478557e+00
1.081604e-02   3.000384e-30   1.459750e+00
1.101753e-02   3.976166e-30   1.442839e+00
1.122277e-02   5.947852e-30   1.434226e+00
1.143184e-02   9.856921e-30   1.432650e+00
1.164481e-02   1.737594e-29   1.435506e+00
1.186174e-02   3.128396e-29   1.440231e+00
1.208271e-02   5.525838e-29   1.444274e+00
1.230780e-02   9.392099e-29   1.446334e+00
1.253708e-02   1.551141e-28   1.446891e+00
1.277063e-02   2.519082e-28   1.446566e+00
1.300854e-02   4.071116e-28   1.445982e+00
1.325087e-02   6.608011e-28   1.445617e+00
1.349772e-02   1.076726e-27   1.445434e+00
1.374917e-02   1.756553e-27   1.445277e+00
1.400531e-02   2.861428e-27   1.444992e+00
1.426621e-02   4.644477e-27   1.444501e+00
1.453198e-02   7.509804e-27   1.444016e+00
1.480269e-02   1.209930e-26   1.443814e+00
1.507845e-02   1.942822e-26   1.444172e+00
1.535935e-02   3.109625e-26   1.445110e+00
1.564548e-02   4.961034e-26   1.446191e+00
1.593694e-02   7.888707e-26   1.446932e+00
1.623382e-02   1.250253e-25   1.446908e+00
1.653624e-02   1.975185e-25   1.446147e+00
1.684430e-02   3.111205e-25   1.444891e+00
1.715809e-02   4.887119e-25   1.443381e+00
1.747773e-02   7.657261e-25   1.441858e+00
1.780332e-02   1.196970e-24   1.440564e+00
1.813498e-02   1.867122e-24   1.439733e+00
1.847281e-02   2.906392e-24   1.439454e+00
1.881694e-02   4.513769e-24   1.439627e+00
1.916748e-02   6.992504e-24   1.440139e+00
1.952456e-02   1.080287e-23   1.440879e+00
1.988828e-02   1.664040e-23   1.441735e+00
2.025878e-02   2.555163e-23   1.442599e+00
2.063618e-02   3.911059e-23   1.443422e+00
2.102061e-02   5.967986e-23   1.444191e+00
2.141220e-02   9.079390e-23   1.444889e+00
2.181109e-02   1.377269e-22   1.445502e+00
2.221741e-02   2.083298e-22   1.446017e+00
2.263130e-02   3.142624e-22   1.446417e+00
2.305289e-02   4.728022e-22   1.446690e+00
2.348235e-02   7.094963e-22   1.446819e+00
2.391980e-02   1.062043e-21   1.446791e+00
2.436540e-02   1.585963e-21   1.446592e+00
2.481930e-02   2.362873e-21   1.446206e+00
2.528166e-02   3.512530e-21   1.445621e+00
2.575263e-02   5.210013e-21   1.444857e+00
2.623238e-02   7.710485e-21   1.443952e+00
2.672106e-02   1.138501e-20   1.442949e+00
2.721885e-02   1.677175e-20   1.441889e+00
2.772591e-02   2.464910e-20   1.440813e+00
2.824241e-02   3.613986e-20   1.439762e+00
2.876854e-02   5.285898e-20   1.438777e+00
2.930447e-02   7.712277e-20   1.437899e+00
2.985038e-02   1.122439e-19   1.437167e+00
3.040646e-02   1.629465e-19   1.436620e+00
3.097291e-02   2.359558e-19   1.436259e+00
3.154990e-02   3.408228e-19   1.436067e+00
3.213764e-02   4.910752e-19   1.436026e+00
3.273634e-02   7.058266e-19   1.436120e+00
3.334618e-02   1.012017e-18   1.436330e+00
3.396739e-02   1.447525e-18   1.436640e+00
3.460016e-02   2.065488e-18   1.437031e+00
3.524473e-02   2.940264e-18   1.437489e+00
3.590130e-02   4.175669e-18   1.437993e+00
3.657011e-02   5.916315e-18   1.438529e+00
3.725137e-02   8.363170e-18   1.439077e+00
3.794533e-02   1.179490e-17   1.439622e+00
3.865221e-02   1.659702e-17   1.440145e+00
3.937226e-02   2.330172e-17   1.440629e+00
4.010573e-02   3.264201e-17   1.441057e+00
4.085286e-02   4.562574e-17   1.441414e+00
4.161391e-02   6.363707e-17   1.441694e+00
4.238913e-02   8.857329e-17   1.441890e+00
4.317880e-02   1.230305e-16   1.441997e+00
4.398317e-02   1.705552e-16   1.442008e+00
4.480254e-02   2.359849e-16   1.441919e+00
4.563716e-02   3.259086e-16   1.441724e+00
4.648734e-02   4.492877e-16   1.441416e+00
4.735335e-02   6.182945e-16   1.440991e+00
4.823549e-02   8.494411e-16   1.440443e+00
4.913407e-02   1.165100e-15   1.439765e+00
5.004939e-02   1.595549e-15   1.438953e+00
5.098176e-02   2.181649e-15   1.438015e+00
5.193150e-02   2.978164e-15   1.437006e+00
5.289893e-02   4.058383e-15   1.435991e+00
5.388438e-02   5.520127e-15   1.435036e+00
5.488820e-02   7.493558e-15   1.434204e+00
5.591071e-02   1.015129e-14   1.433561e+00
5.695227e-02   1.372144e-14   1.433172e+00
5.801323e-02   1.850440e-14   1.433100e+00
5.909396e-02   2.489420e-14   1.433410e+00
6.019482e-02   3.340569e-14   1.434168e+00
6.131619e-02   4.471256e-14   1.435383e+00
6.245845e-02   5.970354e-14   1.436929e+00
6.362198e-02   7.954617e-14   1.438661e+00
6.480720e-02   1.057728e-13   1.440434e+00
6.601449e-02   1.403951e-13   1.442100e+00
6.724427e-02   1.860544e-13   1.443512e+00
6.849697e-02   2.462212e-13   1.444524e+00
6.977300e-02   3.254583e-13   1.444986e+00
7.107280e-02   4.297536e-13   1.444782e+00
7.239681e-02   5.668248e-13   1.443997e+00
7.374549e-02   7.465932e-13   1.442802e+00
7.511929e-02   9.818063e-13   1.441369e+00
7.651869e-02   1.288768e-12   1.439868e+00
7.794416e-02   1.688231e-12   1.438470e+00
7.939618e-02   2.206467e-12   1.437344e+00
8.087525e-02   2.876608e-12   1.436649e+00
8.238187e-02   3.741275e-12   1.436385e+00
8.391656e-02   4.855733e-12   1.436422e+00
8.547985e-02   6.291140e-12   1.436629e+00
8.707225e-02   8.139291e-12   1.436875e+00
8.869432e-02   1.051888e-11   1.437030e+00
9.034660e-02   1.358380e-11   1.436961e+00
9.202967e-02   1.752979e-11   1.436625e+00
9.374409e-02   2.259624e-11   1.436164e+00
9.549045e-02   2.907834e-11   1.435747e+00
9.726934e-02   3.733763e-11   1.435543e+00
9.908137e-02   4.781202e-11   1.435718e+00
1.009272e-01   6.102727e-11   1.436429e+00
1.028073e-01   7.766024e-11   1.437562e+00
1.047225e-01   9.861923e-11   1.438731e+00
1.066734e-01   1.250910e-10   1.439539e+00
1.086606e-01   1.586374e-10   1.439585e+00
1.106848e-01   2.013299e-10   1.438479e+00
1.127468e-01   2.557457e-10   1.436258e+00
1.148472e-01   3.248388e-10   1.433616e+00
1.169866e-01   4.121026e-10   1.431298e+00
1.191660e-01   5.216017e-10   1.430044e+00
1.213859e-01   6.579894e-10   1.430533e+00
1.236472e-01   8.272319e-10   1.432602e+00
1.259506e-01   1.037195e-09   1.435477e+00
1.282970e-01   1.297843e-09   1.438368e+00
1.306870e-01   1.621863e-09   1.440480e+00
1.331216e-01   2.025092e-09   1.441428e+00
1.356015e-01   2.526703e-09   1.441547e+00
1.381276e-01   3.150403e-09   1.441247e+00
