# O14 + a > Ne18 + g   [O14_a__Ne18_g]   ref=Wiescher et al. 1987
# forward[T9] = With[{T932=T9^(3/2)},( 1.16*^-1/T932*Exp[-11.73/T9]+3.40*^1/T932*Exp[-22.61/79]+9.10*^-3*T9^5*Exp[-12.159])]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   8.075748e+05   3.000000e+00
1.018629e-03   7.855226e+05   3.000000e+00
1.037605e-03   7.640726e+05   3.000000e+00
1.056935e-03   7.432084e+05   3.000000e+00
1.076624e-03   7.229138e+05   3.000000e+00
1.096681e-03   7.031735e+05   3.000000e+00
1.117111e-03   6.839722e+05   3.000000e+00
1.137921e-03   6.652952e+05   3.000000e+00
1.159120e-03   6.471282e+05   3.000000e+00
1.180713e-03   6.294573e+05   3.000000e+00
1.202708e-03   6.122690e+05   3.000000e+00
1.225114e-03   5.955500e+05   3.000000e+00
1.247936e-03   5.792875e+05   3.000000e+00
1.271184e-03   5.634691e+05   3.000000e+00
1.294865e-03   5.480827e+05   3.000000e+00
1.318987e-03   5.331164e+05   3.000000e+00
1.343558e-03   5.185588e+05   3.000000e+00
1.368587e-03   5.043987e+05   3.000000e+00
1.394083e-03   4.906252e+05   3.000000e+00
1.420053e-03   4.772279e+05   3.000000e+00
1.446507e-03   4.641964e+05   3.000000e+00
1.473454e-03   4.515208e+05   3.000000e+00
1.500903e-03   4.391912e+05   3.000000e+00
1.528864e-03   4.271984e+05   3.000000e+00
1.557345e-03   4.155331e+05   3.000000e+00
1.586357e-03   4.041862e+05   3.000000e+00
1.615909e-03   3.931493e+05   3.000000e+00
1.646012e-03   3.824137e+05   3.000000e+00
1.676675e-03   3.719713e+05   3.000000e+00
1.707910e-03   3.618140e+05   3.000000e+00
1.739726e-03   3.519341e+05   3.000000e+00
1.772136e-03   3.423239e+05   3.000000e+00
1.805149e-03   3.329762e+05   3.000000e+00
1.838777e-03   3.238837e+05   3.000000e+00
1.873032e-03   3.150396e+05   3.000000e+00
1.907924e-03   3.064369e+05   3.000000e+00
1.943467e-03   2.980691e+05   3.000000e+00
1.979672e-03   2.899299e+05   3.000000e+00
2.016551e-03   2.820129e+05   3.000000e+00
2.054117e-03   2.743120e+05   3.000000e+00
2.092383e-03   2.668215e+05   3.000000e+00
2.131362e-03   2.595355e+05   3.000000e+00
2.171068e-03   2.524485e+05   3.000000e+00
2.211512e-03   2.455549e+05   3.000000e+00
2.252711e-03   2.388497e+05   3.000000e+00
