# t + p > a + g   [t_p__a_g]   ref=Serpico et al. 2004
# detailed balance: alpha=2.61058e+10 beta=1.5 gamma=-229.93  Q=19.8139
# T9                 rate                error
1.000000e-03   3.564000e-11   1.200000e+00
1.018629e-03   4.463370e-11   1.200000e+00
1.037605e-03   5.581765e-11   1.200000e+00
1.056935e-03   6.970546e-11   1.200000e+00
1.076624e-03   8.692640e-11   1.200000e+00
1.096681e-03   1.082503e-10   1.200000e+00
1.117111e-03   1.346178e-10   1.200000e+00
1.137921e-03   1.671763e-10   1.200000e+00
1.159120e-03   2.073236e-10   1.200000e+00
1.180713e-03   2.567601e-10   1.200000e+00
1.202708e-03   3.175517e-10   1.200000e+00
1.225114e-03   3.922042e-10   1.200000e+00
1.247936e-03   4.837537e-10   1.200000e+00
1.271184e-03   5.958726e-10   1.200000e+00
1.294865e-03   7.329979e-10   1.200000e+00
1.318987e-03   9.004827e-10   1.200000e+00
1.343558e-03   1.104776e-09   1.200000e+00
1.368587e-03   1.353638e-09   1.200000e+00
1.394083e-03   1.656393e-09   1.200000e+00
1.420053e-03   2.024229e-09   1.200000e+00
1.446507e-03   2.470555e-09   1.200000e+00
1.473454e-03   3.011417e-09   1.200000e+00
1.500903e-03   3.665997e-09   1.200000e+00
1.528864e-03   4.457188e-09   1.200000e+00
1.557345e-03   5.412284e-09   1.200000e+00
1.586357e-03   6.563781e-09   1.200000e+00
1.615909e-03   7.950318e-09   1.200000e+00
1.646012e-03   9.617781e-09   1.200000e+00
1.676675e-03   1.162059e-08   1.200000e+00
1.707910e-03   1.402322e-08   1.200000e+00
1.739726e-03   1.690194e-08   1.200000e+00
1.772136e-03   2.034686e-08   1.200000e+00
1.805149e-03   2.446434e-08   1.200000e+00
1.838777e-03   2.937973e-08   1.200000e+00
1.873032e-03   3.524063e-08   1.200000e+00
1.907924e-03   4.222055e-08   1.200000e+00
1.943467e-03   5.052330e-08   1.200000e+00
1.979672e-03   6.038791e-08   1.200000e+00
2.016551e-03   7.209446e-08   1.200000e+00
2.054117e-03   8.597070e-08   1.200000e+00
2.092383e-03   1.023997e-07   1.200000e+00
2.131362e-03   1.218288e-07   1.200000e+00
2.171068e-03   1.447794e-07   1.200000e+00
2.211512e-03   1.718592e-07   1.200000e+00
2.252711e-03   2.037748e-07   1.200000e+00
2.294676e-03   2.413478e-07   1.200000e+00
2.337424e-03   2.855317e-07   1.200000e+00
2.380968e-03   3.374321e-07   1.200000e+00
2.425323e-03   3.983296e-07   1.200000e+00
2.470504e-03   4.697060e-07   1.200000e+00
2.516527e-03   5.532736e-07   1.200000e+00
2.563407e-03   6.510093e-07   1.200000e+00
2.611161e-03   7.651927e-07   1.200000e+00
2.659804e-03   8.984501e-07   1.200000e+00
2.709354e-03   1.053803e-06   1.200000e+00
2.759826e-03   1.234727e-06   1.200000e+00
2.811239e-03   1.445210e-06   1.200000e+00
2.863610e-03   1.689828e-06   1.200000e+00
2.916956e-03   1.973827e-06   1.200000e+00
2.971296e-03   2.303209e-06   1.200000e+00
3.026648e-03   2.684840e-06   1.200000e+00
3.083031e-03   3.126565e-06   1.200000e+00
3.140465e-03   3.637331e-06   1.200000e+00
3.198969e-03   4.227342e-06   1.200000e+00
3.258562e-03   4.908216e-06   1.200000e+00
3.319266e-03   5.693174e-06   1.200000e+00
3.381101e-03   6.597242e-06   1.200000e+00
3.444087e-03   7.637481e-06   1.200000e+00
3.508247e-03   8.833248e-06   1.200000e+00
3.573602e-03   1.020648e-05   1.200000e+00
3.640175e-03   1.178200e-05   1.200000e+00
3.707988e-03   1.358792e-05   1.200000e+00
3.777064e-03   1.565596e-05   1.200000e+00
3.847427e-03   1.802199e-05   1.200000e+00
3.919100e-03   2.072641e-05   1.200000e+00
3.992109e-03   2.381478e-05   1.200000e+00
4.066478e-03   2.733840e-05   1.200000e+00
4.142232e-03   3.135491e-05   1.200000e+00
4.219398e-03   3.592910e-05   1.200000e+00
4.298001e-03   4.113368e-05   1.200000e+00
4.378069e-03   4.705019e-05   1.200000e+00
4.459628e-03   5.376999e-05   1.200000e+00
4.542706e-03   6.139535e-05   1.200000e+00
4.627332e-03   7.004064e-05   1.200000e+00
4.713535e-03   7.983365e-05   1.200000e+00
4.801343e-03   9.091704e-05   1.200000e+00
4.890787e-03   1.034499e-04   1.200000e+00
4.981898e-03   1.176096e-04   1.200000e+00
5.074705e-03   1.335936e-04   1.200000e+00
5.169242e-03   1.516214e-04   1.200000e+00
5.265540e-03   1.719376e-04   1.200000e+00
5.363631e-03   1.948134e-04   1.200000e+00
5.463550e-03   2.205501e-04   1.200000e+00
5.565331e-03   2.494817e-04   1.200000e+00
5.669007e-03   2.819784e-04   1.200000e+00
5.774615e-03   3.184500e-04   1.200000e+00
5.882190e-03   3.593501e-04   1.200000e+00
5.991770e-03   4.051798e-04   1.200000e+00
6.103390e-03   4.564929e-04   1.200000e+00
6.217090e-03   5.138997e-04   1.200000e+00
6.332908e-03   5.780730e-04   1.200000e+00
6.450884e-03   6.497538e-04   1.200000e+00
6.571058e-03   7.297573e-04   1.200000e+00
6.693470e-03   8.189804e-04   1.200000e+00
6.818162e-03   9.184083e-04   1.200000e+00
6.945178e-03   1.029122e-03   1.200000e+00
7.074559e-03   1.152310e-03   1.200000e+00
7.206351e-03   1.289272e-03   1.200000e+00
7.340598e-03   1.441435e-03   1.200000e+00
7.477346e-03   1.610364e-03   1.200000e+00
7.616642e-03   1.797766e-03   1.200000e+00
7.758532e-03   2.005514e-03   1.200000e+00
7.903066e-03   2.235648e-03   1.200000e+00
8.050292e-03   2.490402e-03   1.200000e+00
8.200261e-03   2.772203e-03   1.200000e+00
8.353023e-03   3.083691e-03   1.200000e+00
8.508632e-03   3.427736e-03   1.200000e+00
8.667139e-03   3.807454e-03   1.200000e+00
8.828599e-03   4.226233e-03   1.200000e+00
8.993067e-03   4.687743e-03   1.200000e+00
9.160598e-03   5.195979e-03   1.200000e+00
9.331251e-03   5.755325e-03   1.200000e+00
9.505083e-03   6.370574e-03   1.200000e+00
9.682153e-03   7.046939e-03   1.200000e+00
9.862522e-03   7.790099e-03   1.200000e+00
1.004625e-02   8.606232e-03   1.200000e+00
1.023340e-02   9.501945e-03   1.200000e+00
1.042404e-02   1.048414e-02   1.200000e+00
1.061823e-02   1.156018e-02   1.200000e+00
1.081604e-02   1.273789e-02   1.200000e+00
1.101753e-02   1.402564e-02   1.200000e+00
1.122277e-02   1.543248e-02   1.200000e+00
1.143184e-02   1.696876e-02   1.200000e+00
1.164481e-02   1.864590e-02   1.200000e+00
1.186174e-02   2.047635e-02   1.200000e+00
1.208271e-02   2.247370e-02   1.200000e+00
1.230780e-02   2.465220e-02   1.200000e+00
1.253708e-02   2.702638e-02   1.200000e+00
1.277063e-02   2.961159e-02   1.200000e+00
1.300854e-02   3.242412e-02   1.200000e+00
1.325087e-02   3.548140e-02   1.200000e+00
1.349772e-02   3.880282e-02   1.200000e+00
1.374917e-02   4.240936e-02   1.200000e+00
1.400531e-02   4.632360e-02   1.200000e+00
1.426621e-02   5.056965e-02   1.200000e+00
1.453198e-02   5.517281e-02   1.200000e+00
1.480269e-02   6.015993e-02   1.200000e+00
1.507845e-02   6.555957e-02   1.200000e+00
1.535935e-02   7.140220e-02   1.200000e+00
1.564548e-02   7.772047e-02   1.200000e+00
1.593694e-02   8.454911e-02   1.200000e+00
1.623382e-02   9.192513e-02   1.200000e+00
1.653624e-02   9.988822e-02   1.200000e+00
1.684430e-02   1.084808e-01   1.200000e+00
1.715809e-02   1.177481e-01   1.200000e+00
1.747773e-02   1.277383e-01   1.200000e+00
1.780332e-02   1.385026e-01   1.200000e+00
1.813498e-02   1.500959e-01   1.200000e+00
1.847281e-02   1.625755e-01   1.200000e+00
1.881694e-02   1.760014e-01   1.200000e+00
1.916748e-02   1.904368e-01   1.200000e+00
1.952456e-02   2.059484e-01   1.200000e+00
1.988828e-02   2.226065e-01   1.200000e+00
2.025878e-02   2.404852e-01   1.200000e+00
2.063618e-02   2.596635e-01   1.200000e+00
2.102061e-02   2.802257e-01   1.200000e+00
2.141220e-02   3.022608e-01   1.200000e+00
2.181109e-02   3.258626e-01   1.200000e+00
2.221741e-02   3.511305e-01   1.200000e+00
2.263130e-02   3.781691e-01   1.200000e+00
2.305289e-02   4.070890e-01   1.200000e+00
2.348235e-02   4.380067e-01   1.200000e+00
2.391980e-02   4.710450e-01   1.200000e+00
2.436540e-02   5.063335e-01   1.200000e+00
2.481930e-02   5.440086e-01   1.200000e+00
2.528166e-02   5.842140e-01   1.200000e+00
2.575263e-02   6.270996e-01   1.200000e+00
2.623238e-02   6.728221e-01   1.200000e+00
2.672106e-02   7.215455e-01   1.200000e+00
2.721885e-02   7.734418e-01   1.200000e+00
2.772591e-02   8.286912e-01   1.200000e+00
2.824241e-02   8.874821e-01   1.200000e+00
2.876854e-02   9.500119e-01   1.200000e+00
2.930447e-02   1.016487e+00   1.200000e+00
2.985038e-02   1.087121e+00   1.200000e+00
3.040646e-02   1.162142e+00   1.200000e+00
3.097291e-02   1.241784e+00   1.200000e+00
3.154990e-02   1.326298e+00   1.200000e+00
3.213764e-02   1.415941e+00   1.200000e+00
3.273634e-02   1.510987e+00   1.200000e+00
3.334618e-02   1.611719e+00   1.200000e+00
3.396739e-02   1.718432e+00   1.200000e+00
3.460016e-02   1.831437e+00   1.200000e+00
3.524473e-02   1.951056e+00   1.200000e+00
3.590130e-02   2.077626e+00   1.200000e+00
3.657011e-02   2.211499e+00   1.200000e+00
3.725137e-02   2.353041e+00   1.200000e+00
3.794533e-02   2.502634e+00   1.200000e+00
3.865221e-02   2.660676e+00   1.200000e+00
3.937226e-02   2.827583e+00   1.200000e+00
4.010573e-02   3.003787e+00   1.200000e+00
