# grid rho_e p_e drho_e_dT dp_e_dT
# fingerprint_hash: 930c11db8e5d4639
# fingerprint: {"T_start_cosmo_MeV":40.0,"format_version":1,"n_electron_table":2000}
1.703329833333333543e-02 1.103246969334118962e-17 3.495660687964358891e-19 2.047493670825179545e-14 6.682226556206313421e-16
1.711087174234211805e-02 1.273271549621876261e-17 4.051813845948397527e-19 2.342242633882630565e-14 7.678099150794179426e-16
1.718879843781765879e-02 1.468596668926208365e-17 4.693560699699753003e-19 2.677780248794775955e-14 8.816976317184712035e-16
1.726708002870466774e-02 1.692849978882750440e-17 5.433621097780977321e-19 3.059517526054493680e-14 1.011859677762098343e-15
1.734571813127537207e-02 1.950159123211590654e-17 6.286536337245174259e-19 3.493551355527103182e-14 1.160531081590573488e-15
1.742471436916286781e-02 2.245217797605473098e-17 7.268919898674696656e-19 3.986747251674768947e-14 1.330241039220549916e-15
1.750407037339459307e-02 2.583360148920877670e-17 8.399741269755235804e-19 4.546831554157188231e-14 1.523849896782221300e-15
1.758378778242609269e-02 2.970644515603565677e-17 9.700647029849764794e-19 5.182494101090095388e-14 1.744590556376801219e-15
1.766386824217478294e-02 3.413947625297834481e-17 1.119632386883664128e-18 5.903502494483421188e-14 1.996114806209089013e-15
1.774431340605393467e-02 3.921070491828360243e-17 1.291490877123102848e-18 6.720829229613967419e-14 2.282545129262309418e-15
1.782512493500685441e-02 4.500857393419276705e-17 1.488845778683588923e-18 7.646792804597459469e-14 2.608532632447401641e-15
1.790630449754114506e-02 5.163329468466814835e-17 1.715344738777092903e-18 8.695214875515645331e-14 2.979321603982592848e-15
1.798785376976314715e-02 5.919834635870781347e-17 1.975139502537518209e-18 9.881594334622469661e-14 3.400821861368656680e-15
1.806977443541258124e-02 6.783215735443558034e-17 2.272950389149202866e-18 1.122330065520798050e-13 3.879689176333151155e-15
1.815206818589728405e-02 7.767998991989817760e-17 2.614141653433769217e-18 1.273978824933806788e-13 4.423415083537689820e-15
1.823473672032812493e-02 8.890605136181900703e-17 3.004805796651535143e-18 1.445283402452454323e-13 5.040426922730772486e-15
1.831778174555411670e-02 1.016958576839950636e-16 3.451858440233603211e-18 1.638680049445166857e-13 5.740199246443171140e-15
1.840120497619764095e-02 1.162588783050166235e-16 3.963145024249930616e-18 1.856892702733465207e-13 6.533377812051697914e-15
1.848500813468982942e-02 1.328314935749419617e-16 4.547560735515771790e-18 2.102965201465447270e-13 7.431917499563340180e-15
1.856919295130617098e-02 1.516803001890252248e-16 5.215185228660983245e-18 2.380296913000606839e-13 8.449235630440299566e-15
1.865376116420218791e-02 1.731058033121940875e-16 5.977433878769857348e-18 2.692682092857092749e-13 9.600382309172131888e-15
1.873871451944936553e-02 1.974465383123283742e-16 6.847227498032844862e-18 3.044353354668977915e-13 1.090222956917027663e-14
1.882405477107118585e-02 2.250836694869664116e-16 7.839182663066829706e-18 3.440029647776433232e-13 1.237368127903407305e-14
1.890978368107932087e-02 2.564461180941139407e-16 8.969825036172176762e-18 3.884969180208848187e-13 1.403590595555203428e-14
1.899590301951005478e-02 2.920162774029102438e-16 1.025782832499346246e-17 4.385027763427154626e-13 1.591259483726363558e-14
1.908241456446081036e-02 3.323363784072831305e-16 1.172428181322145856e-17 4.946723097980745821e-13 1.803024779842328425e-14
1.916932010212683141e-02 3.780155763422412444e-16 1.339298971273448308e-17 5.577305564641150810e-13 2.041848992930617653e-14
1.925662142683812195e-02 4.297378352585662730e-16 1.529080593775847909e-17 6.284836135717333791e-13 2.311042187659159570e-14
1.934432034109645135e-02 4.882706957019866289e-16 1.744800828731829707e-17 7.078272074553304168e-13 2.614300732879109518e-14
1.943241865561256762e-02 5.544750190666386095e-16 1.989871789993403646e-17 7.967561149164233841e-13 2.955750142420662377e-14
1.952091818934360845e-02 6.293158115135556706e-16 2.268136034927061673e-17 8.963745148356939278e-13 3.339992368118114203e-14
1.960982076953065797e-02 7.138742405315164599e-16 2.583919455126309438e-17 1.007907355595985067e-12 3.772158095927518368e-14
1.969912823173642843e-02 8.093609683445128970e-16 2.942088835769731409e-17 1.132712831126596351e-12 4.257964385239137138e-14
1.978884241988320900e-02 9.171309385172945170e-16 3.348116727885680120e-17 1.272296066184772055e-12 4.803778282203322396e-14
1.987896518629093945e-02 1.038699765363503101e-15 3.808153581444290189e-17 1.428324119888365991e-12 5.416686939994913410e-14
1.996949839171538107e-02 1.175761890213397972e-15 4.329108066571150235e-17 1.602642425546704297e-12 6.104574878175255965e-14
2.006044390538664138e-02 1.330210684349884197e-15 4.918736465131174332e-17 1.797292794546222435e-12 6.876209062434808236e-14
2.015180360504769536e-02 1.504160709200011069e-15 5.585742104683252761e-17 2.014533122475324900e-12 7.741332546387835501e-14
2.024357937699315657e-02 1.699972269551227165e-15 6.339885905128543068e-17 2.256858946871227237e-12 8.710767482397941161e-14
2.033577311610827373e-02 1.920278691059597529e-15 7.192109216018658478e-17 2.527027017984845496e-12 9.796528378987192994e-14
2.042838672590801055e-02 2.168016325290485747e-15 8.154670240277304471e-17 2.828081056841648411e-12 1.101194655860876209e-13
2.052142211857634069e-02 2.446457751540583747e-15 9.241295468916291122e-17 3.163379888684053039e-12 1.237180685185679992e-13
2.061488121500576823e-02 2.759248410291909211e-15 1.046734769214317593e-16 3.536628154667699204e-12 1.389249765297189523e-13
