# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 2218248995f018af
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983390280320350e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982903869299999e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982403224687566e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981887932004598e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981357564629025e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980811683488735e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980249836724067e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979671559378058e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979076373083364e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978463785746952e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977833291232576e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977184369051031e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976516484032629e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975829085989698e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975121609385731e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974393472982337e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973644079477308e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972872815152680e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972079049505025e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971262134879080e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970421406103593e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969556180146046e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968665755759600e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967749413166684e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966806413735920e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965835999723440e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964837393999773e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963809799833347e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962752400721744e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999961664360241809e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999960544821968611e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999959392909454348e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999958207726260540e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999956988356069054e-01 0.000000000000000000e+00
