# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 2cc072aa1e7a2fa5
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":-0.03,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983380862911275e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982893597926248e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982392021870004e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981875713246371e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981344237807157e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980797148136924e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980233983281064e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979654268361662e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979057514181147e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978443216823720e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977810857269001e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977159900959034e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976489797379742e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975799979602398e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975089863828437e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974358848903178e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973606315795127e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972831627091940e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972034126439757e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971213137988091e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970367965821394e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969497893361758e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968602182774946e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967680074371978e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966730785996294e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965753512408684e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964747424685552e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963711669584976e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962645368958292e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999961547619147240e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999960417490368902e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999959254026152822e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999958056242765903e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999956823128660632e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999955553643976591e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999954246720030859e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999952901258908344e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999951516133055440e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999950090184976936e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999948622226995099e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999947111041097569e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999945555378931816e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999943953961885068e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999942305481355209e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999940608599193759e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999938861948360902e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999937064133819220e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999935213733724959e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999933309300929052e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999931349364881150e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999929332433942220e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999927256998208946e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999925121532911021e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999922924502450128e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999920664365209433e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999918339579200177e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999915948608678606e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999913489931896438e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999910962050096996e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999908363497956865e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999905692855677319e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999902948762924293e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999900129934873316e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999897235180693622e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999894263424704555e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999891213730650597e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999888085329473597e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999884877651028514e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999881590360309991e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999878223398737109e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999874777031205753e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999871251899623559e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999867649083804544e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999863970170675964e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999860217332861012e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999856393417894118e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999852502049388914e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999848547741759797e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999844536030210174e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999840473617945813e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999836368542877052e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999832230366240138e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999828070385980983e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999823901878077681e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999819740369351173e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999815603945751974e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999811513600680435e-01 0.000000000000000000e+00
1.430659232894937396e+08 9.999807493628428690e-01 0.000000000000000000e+00
1.472568095680249631e+08 9.999803572068408641e-01 0.000000000000000000e+00
1.515704611242395937e+08 9.999799781206705207e-01 0.000000000000000000e+00
1.560104741696303487e+08 9.999796158142097990e-01 0.000000000000000000e+00
1.605805502609273791e+08 9.999792745424821439e-01 0.000000000000000000e+00
1.652844993860153258e+08 9.999789591777155096e-01 0.000000000000000000e+00
1.701262431402502060e+08 9.999786752906247855e-01 0.000000000000000000e+00
1.751098179958217144e+08 9.999784292420745846e-01 0.000000000000000000e+00
1.802393786668825150e+08 9.999782282864361216e-01 0.000000000000000000e+00
1.855192015732608140e+08 9.999780806881034545e-01 0.000000000000000000e+00
1.909536884056296647e+08 9.999779958528295376e-01 0.000000000000000000e+00
1.965473697951165140e+08 9.999779844757412661e-01 0.000000000000000000e+00
2.023049090904033780e+08 9.999780587081319450e-01 0.000000000000000000e+00
2.082311062454790771e+08 9.999782323453699773e-01 0.000000000000000000e+00
2.143309018212690055e+08 9.999785210386068490e-01 0.000000000000000000e+00
2.206093811044900417e+08 9.999789425332280546e-01 0.000000000000000000e+00
2.270717783471610248e+08 9.999795169374230408e-01 0.000000000000000000e+00
2.337234811302981079e+08 9.999802670246420444e-01 0.000000000000000000e+00
2.405700348554467559e+08 9.999812185741896453e-01 0.000000000000000000e+00
2.476171473677769899e+08 9.999824007547452043e-01 0.000000000000000000e+00
2.548706937146100700e+08 9.999838465562157497e-01 1.941912084433370445e-28
2.623367210433326662e+08 9.999855932760383093e-01 1.122452579075067583e-27
2.700214536427979469e+08 9.999876830668456007e-01 6.184140012062519248e-27
2.779312981323959827e+08 9.999901635533795519e-01 3.251989706068475524e-26
2.860728488031346798e+08 9.999930885276702153e-01 1.634354674921373317e-25
2.944528931151782870e+08 9.999965187328495597e-01 7.860010066956472573e-25
3.030784173564286828e+08 1.000000522747385157e+00 3.621728951744573370e-24
3.119566124668592215e+08 1.000005177984055305e+00 1.600832057620758651e-23
3.210948800334758162e+08 1.000010571820143523e+00 6.795454701408717691e-23
3.305008384608782530e+08 1.000016802877658817e+00 2.773483491434183501e-22
3.401823293225855827e+08 1.000023982478233320e+00 1.089542761282633716e-21
3.501474238984055519e+08 1.000032236301589883e+00 4.124186730217262970e-21
3.604044299033194184e+08 1.000041706282728926e+00 1.505768825025993339e-20
3.709618984134646654e+08 1.000052552786018678e+00 5.308137182525113812e-20
3.818286309950104952e+08 1.000064957122195786e+00 1.808487839507224394e-19
3.930136870418622494e+08 1.000079124474167580e+00 5.960638962425893254e-19
4.045263913283039927e+08 1.000095287287450896e+00 1.902290101463577508e-18
4.163763417829000354e+08 1.000113709279117025e+00 5.883824217653117138e-18
4.285734174901039600e+08 1.000134690184335762e+00 1.765321882024518615e-17
4.411277869262718558e+08 1.000158571379590189e+00 5.142118680742165235e-17
4.540499164369260669e+08 1.000185742560151914e+00 1.455384536859309376e-16
4.673505789623640776e+08 1.000216649877577968e+00 4.005769014394885890e-16
4.810408630188527703e+08 1.000251805818228368e+00 1.073034829235010935e-15
4.951321819429209232e+08 1.000291800673296594e+00 2.799629722374677363e-15
5.096362834064487815e+08 1.000337317145619354e+00 7.119972948366684665e-15
5.245652592104764581e+08 1.000389148090862435e+00 1.766334470306925064e-14
5.399315553659272194e+08 1.000448216805002621e+00 4.277624922523386353e-14
5.557479824696080685e+08 1.000515603410842447e+00 1.011998446435875406e-13
5.720277263841720819e+08 1.000592577179102882e+00 2.340516033243585185e-13
5.887843592309185266e+08 1.000680631496482231e+00 5.295375708757548090e-13
6.060318507046331167e+08 1.000781533115352451e+00 1.172814841987275385e-12
6.237845797198551893e+08 1.000897375980385196e+00 2.544467762313658465e-12
6.420573463983147144e+08 1.001030646380765443e+00 5.411014194083528856e-12
6.608653844075227976e+08 1.001184307718535393e+00 1.128623154815034635e-11
6.802243736607878208e+08 1.001361887682101770e+00 2.310316623063117847e-11
7.001504533892848492e+08 1.001567602628037568e+00 4.644134897490553746e-11
7.206602355970234871e+08 1.001806482043924307e+00 9.172680705552599918e-11
7.417708189099742174e+08 1.002084531730323524e+00 1.781081726400472816e-10
7.634998028308640718e+08 1.002408932373975325e+00 3.401719082294168525e-10
7.858653024115747213e+08 1.002788238182078961e+00 6.393763056329319276e-10
8.088859633553140163e+08 1.003232652248010170e+00 1.183219325817936421e-09
8.325809775611968040e+08 1.003754322474100569e+00 2.156851643188306788e-09
8.569700991241761446e+08 1.004367693062647060e+00 3.874412271990689598e-09
8.820736608036700487e+08 1.005089908702417878e+00 6.861109528683986120e-09
9.079125909745934010e+08 1.005941282159205752e+00 1.198247433597402695e-08
9.345084310749771595e+08 1.006945832139514385e+00 2.064483784511846905e-08
9.618833535646533966e+08 1.008131909909755874e+00 3.510170247254365040e-08
9.900601804100320339e+08 1.009532931863819982e+00 5.891518352494278342e-08
1.019062402110335708e+09 1.011188132431645181e+00 9.763990827359053348e-08
1.048914197281219006e+09 1.013143550464458142e+00 1.598237067943250329e-07
1.079640452812016487e+09 1.015453077267011395e+00 2.584492557046722643e-07
1.111266784613485813e+09 1.018179648814205418e+00 4.129817982668214601e-07
1.143819558973324299e+09 1.021396596979459614e+00 6.522369524166381198e-07
