# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: b9f6714b054fa81c
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983392257678627e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982905844806425e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982405198015734e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981889902832544e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981359532619241e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980813648295941e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980251797976338e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979673516671275e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979078325984538e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978465733762034e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977835233820889e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977186305593069e-01 0.000000000000000000e+00
1.640957489833306894e+07 9.999976518413820070e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975831008216520e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975123523137110e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974395377206893e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973645972997094e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972874696618774e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972080917406414e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971263987498249e-01 0.000000000000000000e+00
