# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: dea82e9f141bbdd4
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.05,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983405952765914e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982920960552857e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982421863093940e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981908257569163e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981379730077391e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980835855402095e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980276196802631e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979700305789976e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979107721956861e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978497972780156e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977870573465433e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977225026784877e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976560822930738e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975877439369887e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975174340722806e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974450978624807e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973706791637218e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972941205145238e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972153631285776e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971343468910812e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970510103564081e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969652907522155e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968771239846621e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967864446527299e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966931860660990e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965972802705716e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964986580812676e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963972491251463e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962929818920765e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999961857837972312e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999960755812558055e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999959622997700581e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999958458640332282e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999957261980463308e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999956032252577121e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999954768687203677e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999953470512736864e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999952136957513948e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999950767252157036e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999949360632286455e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999947916341540566e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999946433635029663e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999944911783249513e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999943350076437865e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999941747829559358e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999940104387871065e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999938419133157508e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999936691490810547e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999934920937676441e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999933107010936517e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999931249317995929e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999929347547593661e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999927401482227030e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999925411012039467e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999923376150352539e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999921297051044267e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999919174027930291e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999917007576450967e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999914798397856464e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999912547426241805e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999910255858692754e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999907925188969982e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999905557245036825e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999903154231016833e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999900718773940822e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999898253975920692e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999895763472362864e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999893251496904112e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999890722953844735e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999888183498937266e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999885639629545464e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999883098785171676e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999880569459644875e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999878061326240575e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999875585377296927e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999873154079966797e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999870781550009857e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999868483745699699e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999866278684228504e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999864186683177225e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999862230630034432e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999860436283012355e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999858832606812742e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999857452147482562e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999856331450878155e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999855511529914809e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999855038386301631e-01 0.000000000000000000e+00
1.430659232894937396e+08 9.999854963593165502e-01 0.000000000000000000e+00
1.472568095680249631e+08 9.999855344945767222e-01 0.000000000000000000e+00
1.515704611242395937e+08 9.999856247188294578e-01 0.000000000000000000e+00
1.560104741696303487e+08 9.999857742825712936e-01 0.000000000000000000e+00
1.605805502609273791e+08 9.999859913030744174e-01 0.000000000000000000e+00
1.652844993860153258e+08 9.999862848657181669e-01 0.000000000000000000e+00
1.701262431402502060e+08 9.999866651372124604e-01 0.000000000000000000e+00
1.751098179958217144e+08 9.999871434921225877e-01 0.000000000000000000e+00
1.802393786668825150e+08 9.999877326542696565e-01 0.000000000000000000e+00
1.855192015732608140e+08 9.999884468547716176e-01 0.000000000000000000e+00
1.909536884056296647e+08 9.999893020086997319e-01 0.000000000000000000e+00
1.965473697951165140e+08 9.999903159125612673e-01 0.000000000000000000e+00
2.023049090904033780e+08 9.999915084650937702e-01 0.000000000000000000e+00
2.082311062454790771e+08 9.999929019141077235e-01 0.000000000000000000e+00
2.143309018212690055e+08 9.999945211325571570e-01 0.000000000000000000e+00
2.206093811044900417e+08 9.999963939272357161e-01 0.000000000000000000e+00
2.270717783471610248e+08 9.999985513840525808e-01 0.000000000000000000e+00
2.337234811302981079e+08 1.000001028254243085e+00 0.000000000000000000e+00
2.405700348554467559e+08 1.000003863386423886e+00 0.000000000000000000e+00
2.476171473677769899e+08 1.000007100210000166e+00 0.000000000000000000e+00
2.548706937146100700e+08 1.000010787276124802e+00 1.805738672031555727e-28
2.623367210433326662e+08 1.000014978863206450e+00 1.043822846776851795e-27
2.700214536427979469e+08 1.000019735654825492e+00 5.751392384158770213e-27
2.779312981323959827e+08 1.000025125499028444e+00 3.024678620473348880e-26
2.860728488031346798e+08 1.000031224259221529e+00 1.520247702276782270e-25
2.944528931151782870e+08 1.000038116768382279e+00 7.311909145557806584e-25
3.030784173564286828e+08 1.000045897899752623e+00 3.369496608405910522e-24
3.119566124668592215e+08 1.000054673770315761e+00 1.489491736697221239e-23
