# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 0cdf34ae64b8f567
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":100.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.153365521616786387e-07 1.922998167256746412e-46
1.783011135732713044e+08 3.739051067799463755e-07 9.375881698301260829e-42
2.005894608715007603e+08 6.112266531266395615e-07 1.412412774992363524e-37
2.256639400975164175e+08 9.661870016849878401e-07 7.472958503371761002e-34
2.538728288070835173e+08 1.491693906445475346e-06 1.556112890922556124e-30
2.856079406335778236e+08 2.276624539211717700e-06 1.415645525250874252e-27
3.213100674705891013e+08 3.451974428550878182e-06 6.156386214128240382e-25
3.614751019489566088e+08 5.210490878304818856e-06 1.386419083348531965e-22
4.066609252477573752e+08 7.902616831707205713e-06 1.739517500102400343e-20
4.574951559090070128e+08 1.195254266749953281e-05 1.298063382806177150e-18
5.146838672849866748e+08 1.810131197947463508e-05 6.111693282617183976e-17
5.790213947010961771e+08 2.756201619148340392e-05 1.913246064212889968e-15
6.514013685530252457e+08 4.203973639075080841e-05 4.181562177164673426e-14
7.328291265848643780e+08 6.484132435978533964e-05 6.669811260242805208e-13
8.244356777512959242e+08 1.005900333706423742e-04 8.059870032818390871e-12
9.274934116180050373e+08 1.570948609730230840e-04 7.639034580823650225e-11
1.043433771499526024e+09 2.462385155938680791e-04 5.857978378996123155e-10
1.173867136809529066e+09 3.846716349658388639e-04 3.734491510870649678e-09
1.320605190783809423e+09 5.942933256851921095e-04 2.035094325165598647e-08
1.485686084257525444e+09 9.012720352647577478e-04 9.692805278953450733e-08
1.671402745014494658e+09 1.334607469795725133e-03 4.130260338430103309e-07
1.880334725917622328e+09 1.920549857137735916e-03 1.589460304992256730e-06
2.115384034182041407e+09 2.667241308007147448e-03 5.509837121757802727e-06
2.379815439449759007e+09 3.573384837664144841e-03 1.716118155418259395e-05
2.677301820533663750e+09 4.583825604706464295e-03 4.795002817809977999e-05
3.011975180684689045e+09 5.562652741039712627e-03 1.203638551902664884e-04
3.388484039969858170e+09 6.276451473783067198e-03 2.724990919792657780e-04
3.812058001925625801e+09 6.337319624037928215e-03 5.582491244499286891e-04
4.288580391299249172e+09 5.074596197921108116e-03 1.037900341492583364e-03
4.824669971796293259e+09 1.705405600831830584e-03 1.756807782041505108e-03
5.427772878871209145e+09 -4.874826140669780150e-03 2.702896913162052689e-03
6.106266044481631279e+09 -1.528002324846352775e-02 3.818756691218937530e-03
6.869573550347902298e+09 -2.934361424785217332e-02 5.021843402149722170e-03
7.728297525831991196e+09 -4.140112685151864369e-02 6.978393075946141139e-03
8.694365408571296692e+09 -3.826488062372081222e-02 1.256499823774072551e-02
9.781195613276195526e+09 1.813874481012626994e-02 3.213759865673503080e-02
1.100388390978551674e+10 2.127385671575270365e-01 9.402197907080046824e-02
1.237941309911894608e+10 7.379797467208946138e-01 2.733283558426541360e-01
1.392688889986894226e+10 1.985718851667558571e+00 7.471010036759134776e-01
1.566780532132795143e+10 4.775441225657648836e+00 1.927800440304389795e+00
1.762634320931091309e+10 1.079288358363104550e+01 4.708499131925384162e+00
1.982970611139097595e+10 2.329868744625364130e+01 1.107413163525207445e+01
2.230849812662348175e+10 4.887855366686051184e+01 2.508347615021948940e+01
2.509714898798648071e+10 1.001946231018630584e+02 5.531757388917094431e+01
2.823439228181358719e+10 2.024721023672510398e+02 1.191810693426637613e+02
3.176380344655600739e+10 4.032439804302887865e+02 2.519957943853156053e+02
3.573440502352600861e+10 7.965342914547741202e+02 5.235953748727455377e+02
4.020134756638687897e+10 1.559442634384042321e+03 1.073068904320172123e+03
4.522667566703415680e+10 3.029791376813433544e+03 2.174433955238695944e+03
5.088018973775251007e+10 5.860251922450293932e+03 4.358986508509924533e+03
5.724041551956611633e+10 1.126678720294027517e+04 8.672912010541051131e+03
6.439569478298348236e+10 2.158027425625498290e+04 1.709946912979054105e+04
7.244541237066476440e+10 4.121004321686334151e+04 3.348122474562728894e+04
8.150137662529786682e+10 7.844474399169455864e+04 6.526851235094200820e+04
9.168937237644023132e+10 1.488150773660151463e+05 1.263487230176016164e+05
1.031509080568829041e+11 2.818056810477607651e+05 2.437822160753750359e+05
1.160451812155009613e+11 5.325966178516449872e+05 4.680676273849422578e+05
