# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 0eccbdd5dbb5dd93
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.656300590635572024e-07 1.158988613001843100e-45
1.783011135732713044e+08 4.181706485064447709e-07 4.540900336131175416e-41
2.005894608715007603e+08 7.538247662427429537e-07 5.472876715523946248e-37
2.256639400975164175e+08 1.033213183292410998e-06 2.337049051609173222e-33
2.538728288070835173e+08 1.595152241427720156e-06 4.026656700667139642e-30
2.856079406335778236e+08 2.404098451012229865e-06 3.150640043335129338e-27
3.213100674705891013e+08 3.594672810885625373e-06 1.240672861033779897e-24
3.614751019489566088e+08 5.317581787727207244e-06 2.671005789706807529e-22
4.066609252477573752e+08 8.008840832004102367e-06 3.347566099548227942e-20
4.574951559090070128e+08 1.210733909287507909e-05 2.564466042453187238e-18
5.146838672849866748e+08 1.819109561841260772e-05 1.252584559908754826e-16
5.790213947010961771e+08 2.753782481820472451e-05 4.061147974866499987e-15
6.514013685530252457e+08 4.177772815482261478e-05 9.092669875794931976e-14
7.328291265848643780e+08 6.455521213064557677e-05 1.460826576591543147e-12
8.244356777512959242e+08 1.006951022559836393e-04 1.747738452819210511e-11
9.274934116180050373e+08 1.574071335894852101e-04 1.617370819957225304e-10
1.043433771499526024e+09 2.467736169085310311e-04 1.207323813043819450e-09
1.173867136809529066e+09 3.845600554466027036e-04 7.661106110655549391e-09
1.320605190783809423e+09 5.960053359471747386e-04 4.629912650036008710e-08
1.485686084257525444e+09 9.050598616556577904e-04 1.086683872742899991e-07
1.671402745014494658e+09 1.341171550472710977e-03 5.545444485855100719e-07
1.880334725917622328e+09 1.930326242260608930e-03 1.759267714769071422e-06
2.115384034182041407e+09 2.686359301648382197e-03 5.514328400879058818e-06
2.379815439449759007e+09 3.598677599756206283e-03 1.744311929467219245e-05
2.677301820533663750e+09 4.615312528478680842e-03 4.827924498961708361e-05
3.011975180684689045e+09 5.610916700203869359e-03 1.210615129843872398e-04
3.388484039969858170e+09 6.347757047784883568e-03 2.731053635235411252e-04
3.812058001925625801e+09 6.412721570709874891e-03 5.591965724901742756e-04
4.288580391299249172e+09 5.091070071139490623e-03 1.037830618205179325e-03
4.824669971796293259e+09 1.665357763018277155e-03 1.754710344627057397e-03
5.427772878871209145e+09 -4.865452544683741831e-03 2.703394302456586275e-03
6.106266044481631279e+09 -1.536489352804605926e-02 3.797839066019098511e-03
6.869573550347902298e+09 -2.914403369341066197e-02 5.015084613272471382e-03
7.728297525831991196e+09 -4.166387414342456741e-02 6.936490616645819493e-03
8.694365408571296692e+09 -3.840183747325086328e-02 1.254342808959972230e-02
9.781195613276195526e+09 1.799061056456886798e-02 3.199473309215367101e-02
1.100388390978551674e+10 2.131096530200229378e-01 9.402393876368429770e-02
1.237941309911894608e+10 7.353928525098289981e-01 2.727868738246245761e-01
1.392688889986894226e+10 1.982136396946476475e+00 7.464200222465346979e-01
1.566780532132795143e+10 4.773709681829729767e+00 1.924260949418498345e+00
1.762634320931091309e+10 1.077058876035530766e+01 4.713105630286530179e+00
1.982970611139089584e+10 2.328076116314998600e+01 1.106390441136283087e+01
2.230849812662348175e+10 4.884782946863599307e+01 2.509513845036104129e+01
2.509714898798648071e+10 1.002862601797755531e+02 5.534094403141036622e+01
2.823439228181358719e+10 2.025096685203150741e+02 1.192268041031229018e+02
3.176380344655600739e+10 4.037059794278485469e+02 2.519196810416324297e+02
3.573440502352586365e+10 7.966178263027841240e+02 5.236619271232683559e+02
4.020134756638687897e+10 1.559013133712657236e+03 1.073537723286136497e+03
4.522667566703415680e+10 3.030434371818905674e+03 2.174886225408276459e+03
5.088018973775251007e+10 5.857433338688986623e+03 4.361408194475548044e+03
5.724041551956611633e+10 1.126751451021871253e+04 8.668995862784462588e+03
6.439569478298348236e+10 2.158607113922251301e+04 1.709859775924511632e+04
7.244541237066476440e+10 4.120825338392822596e+04 3.349768080728050700e+04
8.150137662529786682e+10 7.842484706910121895e+04 6.523487349792711029e+04
9.168937237643984985e+10 1.488469843680878985e+05 1.263722700508095004e+05
1.031509080568829041e+11 2.818210435619203490e+05 2.436597387701269181e+05
1.160451812155009613e+11 5.324293493715248769e+05 4.678358107498659519e+05
