# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: a76b4e267077eae2
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":false,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.182868156713701378e-07 1.880645053071331632e-46
1.783011135732713044e+08 3.735198720750131165e-07 9.184058110590385930e-42
2.005894608715007603e+08 6.050744432744506140e-07 1.383019536366511992e-37
2.256639400975164175e+08 9.599547297184773988e-07 7.327132974519098378e-34
2.538728288070835173e+08 1.473321193995378963e-06 1.527894292609064122e-30
2.856079406335778236e+08 2.253375672533317085e-06 1.390493908202594394e-27
3.213100674705891013e+08 3.445212046201528125e-06 6.051969600992666785e-25
3.614751019489566088e+08 5.210958686307661016e-06 1.364694576086978877e-22
4.066609252477573752e+08 7.850778160746327343e-06 1.716039336729853847e-20
4.574951559090070128e+08 1.189631459742357602e-05 1.283082817845241132e-18
5.146838672849866748e+08 1.797687748880218283e-05 6.046940837131682075e-17
5.790213947010961771e+08 2.731622851777292210e-05 1.897414034223411665e-15
6.514013685530252457e+08 4.168603940258664900e-05 4.156005127053220373e-14
7.328291265848643780e+08 6.423046476548113272e-05 6.634797780325631616e-13
8.244356777512959242e+08 9.959649385538865804e-05 8.035558525196185289e-12
9.274934116180050373e+08 1.558432700857472972e-04 7.623598972796199566e-11
1.043433771499526024e+09 2.440756781350072785e-04 5.852546744277679932e-10
1.173867136809529066e+09 3.810632008907084809e-04 3.734637061304336412e-09
1.320605190783809423e+09 5.879677171879800143e-04 2.036774168117994653e-08
1.485686084257525444e+09 8.914272485593458233e-04 9.704735403534421898e-08
1.671402745014494658e+09 1.319418144203178631e-03 4.134889034442674803e-07
1.880334725917622328e+09 1.895503609262701693e-03 1.591646138265205177e-06
2.115384034182041407e+09 2.629650175319694395e-03 5.524097677646088056e-06
2.379815439449759007e+09 3.506650898641294669e-03 1.722907219089562982e-05
2.677301820533663750e+09 4.480090281395227372e-03 4.827543256612137819e-05
3.011975180684689045e+09 5.391972629990411485e-03 1.216794389405603024e-04
3.388484039969858170e+09 6.015235649411336191e-03 2.767944700816200258e-04
3.812058001925625801e+09 5.922285693555951608e-03 5.713979220092865914e-04
4.288580391299249172e+09 4.410576151676382645e-03 1.073986916301051175e-03
4.824669971796293259e+09 5.843527254994068665e-04 1.845697891371698551e-03
5.427772878871209145e+09 -6.505964362123320410e-03 2.911203221667164019e-03
6.106266044481631279e+09 -1.803151756887837881e-02 4.226153912714683200e-03
6.869573550347902298e+09 -3.360322655498148431e-02 5.917907192390320717e-03
7.728297525831991196e+09 -4.815516152299625929e-02 8.611650372342924062e-03
8.694365408571296692e+09 -4.912876678739455660e-02 1.555541931600065708e-02
9.781195613276195526e+09 3.507319767775962660e-04 3.715907578044669313e-02
1.100388390978551674e+10 1.845517311461885301e-01 1.024678731819510524e-01
1.237941309911894608e+10 6.932031235580354833e-01 2.872849903350784828e-01
1.392688889986894226e+10 1.914262369876492897e+00 7.680722542485578508e-01
1.566780532132795143e+10 4.667223083592359600e+00 1.955473026578016249e+00
1.762634320931091309e+10 1.060475495498064014e+01 4.768929318309612420e+00
1.982970611139097595e+10 2.301003050543155481e+01 1.111715461911135350e+01
2.230849812662348175e+10 4.846749992911043847e+01 2.519634224851163751e+01
2.509714898798648071e+10 9.978552367411593593e+01 5.540918277775637080e+01
2.823439228181358719e+10 2.016857162530477297e+02 1.194300848957886245e+02
3.176380344655600739e+10 4.019972652937296402e+02 2.520592148252665083e+02
3.573440502352600861e+10 7.950757699016594415e+02 5.232515450849519993e+02
4.020134756638687897e+10 1.555944221972851210e+03 1.072801878961358398e+03
4.522667566703415680e+10 3.025887494885246724e+03 2.175757587488872559e+03
5.088018973775251007e+10 5.852620645058572336e+03 4.356867663713022012e+03
5.724041551956611633e+10 1.125039740137244553e+04 8.668237244478290449e+03
6.439569478298348236e+10 2.156566685688833240e+04 1.708792927538436197e+04
7.244541237066476440e+10 4.116097995076532243e+04 3.347997347929849639e+04
8.150137662529786682e+10 7.837432349786590203e+04 6.524634180316539278e+04
9.168937237644023132e+10 1.487882511219485605e+05 1.262823169215391536e+05
1.031509080568829041e+11 2.819169952289515641e+05 2.436394519579726912e+05
1.160451812155009613e+11 5.323089197052770760e+05 4.681089159520037356e+05
