# B10 + t > C12 + n   [B10_t__C12_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=27.587 beta=0 gamma=-219.664  Q=18.9292
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.029320e-35   1.000000e+02
1.037605e-03   1.057388e-35   1.000000e+02
1.056935e-03   1.084183e-35   1.000000e+02
1.076624e-03   1.109702e-35   1.000000e+02
1.096681e-03   1.133954e-35   1.000000e+02
1.117111e-03   1.156968e-35   1.000000e+02
1.137921e-03   1.178785e-35   1.000000e+02
1.159120e-03   1.199459e-35   1.000000e+02
1.180713e-03   1.219060e-35   1.000000e+02
1.202708e-03   1.237667e-35   1.000000e+02
1.225114e-03   1.255373e-35   1.000000e+02
1.247936e-03   1.272279e-35   1.000000e+02
1.271184e-03   1.288496e-35   1.000000e+02
1.294865e-03   1.304146e-35   1.000000e+02
1.318987e-03   1.319356e-35   1.000000e+02
1.343558e-03   1.334263e-35   1.000000e+02
1.368587e-03   1.349010e-35   1.000000e+02
1.394083e-03   1.363746e-35   1.000000e+02
1.420053e-03   1.378630e-35   1.000000e+02
1.446507e-03   1.393824e-35   1.000000e+02
1.473454e-03   1.409501e-35   1.000000e+02
1.500903e-03   1.425839e-35   1.000000e+02
1.528864e-03   1.443026e-35   1.000000e+02
1.557345e-03   1.461257e-35   1.000000e+02
1.586357e-03   1.480741e-35   1.000000e+02
1.615909e-03   1.501696e-35   1.000000e+02
1.646012e-03   1.524355e-35   1.000000e+02
1.676675e-03   1.548967e-35   1.000000e+02
1.707910e-03   1.575799e-35   1.000000e+02
1.739726e-03   1.605139e-35   1.000000e+02
1.772136e-03   1.637301e-35   1.000000e+02
1.805149e-03   1.672627e-35   1.000000e+02
1.838777e-03   1.711494e-35   1.000000e+02
1.873032e-03   1.754314e-35   1.000000e+02
1.907924e-03   1.801550e-35   1.000000e+02
1.943467e-03   1.853714e-35   1.000000e+02
1.979672e-03   1.911382e-35   1.000000e+02
2.016551e-03   1.975200e-35   1.000000e+02
2.054117e-03   2.045899e-35   1.000000e+02
2.092383e-03   2.124309e-35   1.000000e+02
2.131362e-03   2.211374e-35   1.000000e+02
2.171068e-03   2.308173e-35   1.000000e+02
2.211512e-03   2.415945e-35   1.000000e+02
2.252711e-03   2.536113e-35   1.000000e+02
2.294676e-03   2.670325e-35   1.000000e+02
2.337424e-03   2.820487e-35   1.000000e+02
2.380968e-03   2.988817e-35   1.000000e+02
2.425323e-03   3.177902e-35   1.000000e+02
2.470504e-03   3.390769e-35   1.000000e+02
2.516527e-03   3.630975e-35   1.000000e+02
2.563407e-03   3.902710e-35   1.000000e+02
2.611161e-03   4.210930e-35   1.000000e+02
2.659804e-03   4.561515e-35   1.000000e+02
2.709354e-03   4.961470e-35   1.000000e+02
2.759826e-03   5.419165e-35   1.000000e+02
2.811239e-03   5.944645e-35   1.000000e+02
2.863610e-03   6.550006e-35   1.000000e+02
2.916956e-03   7.249872e-35   1.000000e+02
2.971296e-03   8.061997e-35   1.000000e+02
3.026648e-03   9.007991e-35   1.000000e+02
3.083031e-03   1.011355e-34   1.000000e+02
3.140465e-03   1.140912e-34   1.000000e+02
3.198969e-03   1.293171e-34   1.000000e+02
3.258562e-03   1.472637e-34   1.000000e+02
3.319266e-03   1.684820e-34   1.000000e+02
3.381101e-03   1.936469e-34   1.000000e+02
3.444087e-03   2.235878e-34   1.000000e+02
3.508247e-03   2.593272e-34   1.000000e+02
3.573602e-03   3.021285e-34   1.000000e+02
3.640175e-03   3.535578e-34   1.000000e+02
3.707988e-03   4.155620e-34   1.000000e+02
3.777064e-03   4.905683e-34   1.000000e+02
3.847427e-03   5.816110e-34   1.000000e+02
3.919100e-03   6.924955e-34   1.000000e+02
3.992109e-03   8.280067e-34   1.000000e+02
4.066478e-03   9.944282e-34   1.000000e+02
4.142232e-03   1.201506e-33   1.000000e+02
4.219398e-03   1.463484e-33   1.000000e+02
4.298001e-03   1.800761e-33   1.000000e+02
4.378069e-03   2.242987e-33   1.000000e+02
4.459628e-03   2.833979e-33   1.000000e+02
4.542706e-03   3.639674e-33   1.000000e+02
4.627332e-03   4.761250e-33   1.000000e+02
4.713535e-03   6.357239e-33   1.000000e+02
4.801343e-03   8.681643e-33   1.000000e+02
