# Be11 + d > Be12 + p   [Be11_d__Be12_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=7.4354 beta=0 gamma=-10.9793  Q=0.9438
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.062145e-35   1.000000e+02
1.037605e-03   1.130445e-35   1.000000e+02
1.056935e-03   1.205675e-35   1.000000e+02
1.076624e-03   1.288727e-35   1.000000e+02
1.096681e-03   1.380622e-35   1.000000e+02
1.117111e-03   1.482539e-35   1.000000e+02
1.137921e-03   1.595838e-35   1.000000e+02
1.159120e-03   1.722093e-35   1.000000e+02
1.180713e-03   1.863132e-35   1.000000e+02
1.202708e-03   2.021082e-35   1.000000e+02
1.225114e-03   2.198423e-35   1.000000e+02
1.247936e-03   2.398058e-35   1.000000e+02
1.271184e-03   2.623392e-35   1.000000e+02
1.294865e-03   2.878429e-35   1.000000e+02
1.318987e-03   3.167896e-35   1.000000e+02
1.343558e-03   3.497382e-35   1.000000e+02
1.368587e-03   3.873522e-35   1.000000e+02
1.394083e-03   4.304212e-35   1.000000e+02
1.420053e-03   4.798882e-35   1.000000e+02
1.446507e-03   5.368823e-35   1.000000e+02
1.473454e-03   6.027604e-35   1.000000e+02
1.500903e-03   6.791581e-35   1.000000e+02
1.528864e-03   7.680536e-35   1.000000e+02
1.557345e-03   8.718477e-35   1.000000e+02
1.586357e-03   9.934639e-35   1.000000e+02
1.615909e-03   1.136475e-34   1.000000e+02
1.646012e-03   1.305263e-34   1.000000e+02
1.676675e-03   1.505221e-34   1.000000e+02
1.707910e-03   1.743013e-34   1.000000e+02
1.739726e-03   2.026905e-34   1.000000e+02
1.772136e-03   2.367184e-34   1.000000e+02
1.805149e-03   2.776711e-34   1.000000e+02
1.838777e-03   3.271623e-34   1.000000e+02
1.873032e-03   3.872254e-34   1.000000e+02
1.907924e-03   4.604328e-34   1.000000e+02
1.943467e-03   5.500530e-34   1.000000e+02
1.979672e-03   6.602562e-34   1.000000e+02
2.016551e-03   7.963870e-34   1.000000e+02
2.054117e-03   9.653249e-34   1.000000e+02
2.092383e-03   1.175965e-33   1.000000e+02
2.131362e-03   1.439862e-33   1.000000e+02
2.171068e-03   1.772095e-33   1.000000e+02
2.211512e-03   2.192433e-33   1.000000e+02
2.252711e-03   2.726925e-33   1.000000e+02
2.294676e-03   3.410055e-33   1.000000e+02
2.337424e-03   4.287704e-33   1.000000e+02
2.380968e-03   5.421226e-33   1.000000e+02
2.425323e-03   6.893081e-33   1.000000e+02
2.470504e-03   8.814676e-33   1.000000e+02
2.516527e-03   1.133732e-32   1.000000e+02
2.563407e-03   1.466762e-32   1.000000e+02
