# Be11 + p > B11 + n   [Be11_p__B11_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.50022 beta=0 gamma=-124.444  Q=10.7238
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.086102e-35   1.000000e+02
1.037605e-03   1.183888e-35   1.000000e+02
1.056935e-03   1.295262e-35   1.000000e+02
1.076624e-03   1.422484e-35   1.000000e+02
1.096681e-03   1.568257e-35   1.000000e+02
1.117111e-03   1.735818e-35   1.000000e+02
1.137921e-03   1.929055e-35   1.000000e+02
1.159120e-03   2.152661e-35   1.000000e+02
1.180713e-03   2.412313e-35   1.000000e+02
1.202708e-03   2.714913e-35   1.000000e+02
1.225114e-03   3.068873e-35   1.000000e+02
1.247936e-03   3.484494e-35   1.000000e+02
1.271184e-03   3.974430e-35   1.000000e+02
1.294865e-03   4.554295e-35   1.000000e+02
1.318987e-03   5.243432e-35   1.000000e+02
1.343558e-03   6.065895e-35   1.000000e+02
1.368587e-03   7.051732e-35   1.000000e+02
1.394083e-03   8.238633e-35   1.000000e+02
1.420053e-03   9.674082e-35   1.000000e+02
1.446507e-03   1.141817e-34   1.000000e+02
1.473454e-03   1.354727e-34   1.000000e+02
1.500903e-03   1.615894e-34   1.000000e+02
1.528864e-03   1.937834e-34   1.000000e+02
1.557345e-03   2.336680e-34   1.000000e+02
1.586357e-03   2.833337e-34   1.000000e+02
1.615909e-03   3.455014e-34   1.000000e+02
1.646012e-03   4.237319e-34   1.000000e+02
1.676675e-03   5.227077e-34   1.000000e+02
1.707910e-03   6.486193e-34   1.000000e+02
1.739726e-03   8.096940e-34   1.000000e+02
1.772136e-03   1.016925e-33   1.000000e+02
1.805149e-03   1.285080e-33   1.000000e+02
1.838777e-03   1.634113e-33   1.000000e+02
1.873032e-03   2.091132e-33   1.000000e+02
1.907924e-03   2.693175e-33   1.000000e+02
1.943467e-03   3.491151e-33   1.000000e+02
1.979672e-03   4.555439e-33   1.000000e+02
2.016551e-03   5.983928e-33   1.000000e+02
2.054117e-03   7.913592e-33   1.000000e+02
2.092383e-03   1.053729e-32   1.000000e+02
2.131362e-03   1.412828e-32   1.000000e+02
2.171068e-03   1.907616e-32   1.000000e+02
2.211512e-03   2.594008e-32   1.000000e+02
2.252711e-03   3.552767e-32   1.000000e+02
2.294676e-03   4.901334e-32   1.000000e+02
2.337424e-03   6.811623e-32   1.000000e+02
2.380968e-03   9.537017e-32   1.000000e+02
2.425323e-03   1.345355e-31   1.000000e+02
2.470504e-03   1.912320e-31   1.000000e+02
2.516527e-03   2.739178e-31   1.000000e+02
2.563407e-03   3.954146e-31   1.000000e+02
2.611161e-03   5.753006e-31   1.000000e+02
2.659804e-03   8.436909e-31   1.000000e+02
2.709354e-03   1.247255e-30   1.000000e+02
2.759826e-03   1.858861e-30   1.000000e+02
2.811239e-03   2.793158e-30   1.000000e+02
2.863610e-03   4.231922e-30   1.000000e+02
2.916956e-03   6.465623e-30   1.000000e+02
2.971296e-03   9.962085e-30   1.000000e+02
3.026648e-03   1.548141e-29   1.000000e+02
3.083031e-03   2.429184e-29   1.000000e+02
3.140465e-03   3.856636e-29   1.000000e+02
3.198969e-03   6.208473e-29   1.000000e+02
3.258562e-03   1.015591e-28   1.000000e+02
3.319266e-03   1.691764e-28   1.000000e+02
3.381101e-03   2.875928e-28   1.000000e+02
3.444087e-03   4.999919e-28   1.000000e+02
3.508247e-03   8.908904e-28   1.000000e+02
3.573602e-03   1.630391e-27   1.000000e+02
3.640175e-03   3.071106e-27   1.000000e+02
3.707988e-03   5.967100e-27   1.000000e+02
3.777064e-03   1.198469e-26   1.000000e+02
3.847427e-03   2.493534e-26   1.000000e+02
3.919100e-03   5.385899e-26   1.000000e+02
3.992109e-03   1.210278e-25   1.000000e+02
4.066478e-03   2.832024e-25   1.000000e+02
4.142232e-03   6.860730e-25   1.000000e+02
4.219398e-03   1.706783e-24   1.000000e+02
4.298001e-03   4.325063e-24   1.000000e+02
4.378069e-03   1.107350e-23   1.000000e+02
4.459628e-03   2.841367e-23   1.000000e+02
4.542706e-03   7.247558e-23   1.000000e+02
4.627332e-03   1.822846e-22   1.000000e+02
4.713535e-03   4.484084e-22   1.000000e+02
4.801343e-03   1.070127e-21   1.000000e+02
4.890787e-03   2.457570e-21   1.000000e+02
4.981898e-03   5.387138e-21   1.000000e+02
5.074705e-03   1.119623e-20   1.000000e+02
5.169242e-03   2.213998e-20   1.000000e+02
5.265540e-03   4.199308e-20   1.000000e+02
5.363631e-03   7.701694e-20   1.000000e+02
5.463550e-03   1.376942e-19   1.000000e+02
5.565331e-03   2.419241e-19   1.000000e+02
5.669007e-03   4.211038e-19   1.000000e+02
5.774615e-03   7.320803e-19   1.000000e+02
5.882190e-03   1.281447e-18   1.000000e+02
5.991770e-03   2.276816e-18   1.000000e+02
6.103390e-03   4.133580e-18   1.000000e+02
6.217090e-03   7.663831e-18   1.000000e+02
6.332908e-03   1.446963e-17   1.000000e+02
6.450884e-03   2.774160e-17   1.000000e+02
6.571058e-03   5.385659e-17   1.000000e+02
6.693470e-03   1.055723e-16   1.000000e+02
6.818162e-03   2.083701e-16   1.000000e+02
6.945178e-03   4.129199e-16   1.000000e+02
7.074559e-03   8.193138e-16   1.000000e+02
7.206351e-03   1.625687e-15   1.000000e+02
7.340598e-03   3.225523e-15   1.000000e+02
7.477346e-03   6.399270e-15   1.000000e+02
7.616642e-03   1.269458e-14   1.000000e+02
7.758532e-03   2.517990e-14   1.000000e+02
