# Be12 + p > Be10 + t   [Be12_p__Be10_t]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.25426 beta=0 gamma=-55.8114  Q=4.8095
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.086111e-35   1.000000e+02
1.037605e-03   1.184402e-35   1.000000e+02
1.056935e-03   1.296902e-35   1.000000e+02
1.076624e-03   1.426034e-35   1.000000e+02
1.096681e-03   1.574706e-35   1.000000e+02
1.117111e-03   1.746417e-35   1.000000e+02
1.137921e-03   1.945392e-35   1.000000e+02
1.159120e-03   2.176753e-35   1.000000e+02
1.180713e-03   2.446729e-35   1.000000e+02
1.202708e-03   2.762927e-35   1.000000e+02
1.225114e-03   3.134669e-35   1.000000e+02
1.247936e-03   3.573424e-35   1.000000e+02
1.271184e-03   4.093362e-35   1.000000e+02
1.294865e-03   4.712055e-35   1.000000e+02
1.318987e-03   5.451390e-35   1.000000e+02
1.343558e-03   6.338737e-35   1.000000e+02
1.368587e-03   7.408474e-35   1.000000e+02
1.394083e-03   8.703970e-35   1.000000e+02
1.420053e-03   1.028018e-34   1.000000e+02
1.446507e-03   1.220704e-34   1.000000e+02
1.473454e-03   1.457399e-34   1.000000e+02
1.500903e-03   1.749593e-34   1.000000e+02
1.528864e-03   2.112118e-34   1.000000e+02
1.557345e-03   2.564211e-34   1.000000e+02
1.586357e-03   3.130947e-34   1.000000e+02
1.615909e-03   3.845175e-34   1.000000e+02
1.646012e-03   4.750145e-34   1.000000e+02
1.676675e-03   5.903098e-34   1.000000e+02
1.707910e-03   7.380189e-34   1.000000e+02
1.739726e-03   9.283275e-34   1.000000e+02
1.772136e-03   1.174933e-33   1.000000e+02
1.805149e-03   1.496358e-33   1.000000e+02
1.838777e-03   1.917786e-33   1.000000e+02
1.873032e-03   2.473654e-33   1.000000e+02
1.907924e-03   3.211323e-33   1.000000e+02
1.943467e-03   4.196306e-33   1.000000e+02
1.979672e-03   5.519763e-33   1.000000e+02
2.016551e-03   7.309303e-33   1.000000e+02
2.054117e-03   9.744634e-33   1.000000e+02
2.092383e-03   1.308041e-32   1.000000e+02
2.131362e-03   1.767971e-32   1.000000e+02
2.171068e-03   2.406351e-32   1.000000e+02
2.211512e-03   3.298411e-32   1.000000e+02
2.252711e-03   4.553493e-32   1.000000e+02
2.294676e-03   6.331558e-32   1.000000e+02
2.337424e-03   8.868179e-32   1.000000e+02
2.380968e-03   1.251262e-31   1.000000e+02
2.425323e-03   1.778623e-31   1.000000e+02
2.470504e-03   2.547262e-31   1.000000e+02
2.516527e-03   3.675778e-31   1.000000e+02
2.563407e-03   5.344938e-31   1.000000e+02
2.611161e-03   7.832239e-31   1.000000e+02
2.659804e-03   1.156674e-30   1.000000e+02
2.709354e-03   1.721670e-30   1.000000e+02
2.759826e-03   2.583061e-30   1.000000e+02
2.811239e-03   3.906583e-30   1.000000e+02
2.863610e-03   5.956199e-30   1.000000e+02
2.916956e-03   9.155522e-30   1.000000e+02
2.971296e-03   1.418962e-29   1.000000e+02
3.026648e-03   2.217590e-29   1.000000e+02
3.083031e-03   3.498670e-29   1.000000e+02
3.140465e-03   5.584544e-29   1.000000e+02
3.198969e-03   9.038773e-29   1.000000e+02
3.258562e-03   1.486765e-28   1.000000e+02
3.319266e-03   2.490921e-28   1.000000e+02
3.381101e-03   4.260265e-28   1.000000e+02
3.444087e-03   7.454978e-28   1.000000e+02
3.508247e-03   1.337713e-27   1.000000e+02
3.573602e-03   2.466952e-27   1.000000e+02
3.640175e-03   4.686121e-27   1.000000e+02
3.707988e-03   9.189569e-27   1.000000e+02
3.777064e-03   1.864575e-26   1.000000e+02
3.847427e-03   3.923209e-26   1.000000e+02
3.919100e-03   8.579344e-26   1.000000e+02
3.992109e-03   1.954302e-25   1.000000e+02
4.066478e-03   4.641533e-25   1.000000e+02
4.142232e-03   1.142190e-24   1.000000e+02
4.219398e-03   2.886829e-24   1.000000e+02
4.298001e-03   7.428620e-24   1.000000e+02
4.378069e-03   1.929290e-23   1.000000e+02
4.459628e-03   5.012877e-23   1.000000e+02
4.542706e-03   1.291740e-22   1.000000e+02
4.627332e-03   3.272349e-22   1.000000e+02
4.713535e-03   8.078648e-22   1.000000e+02
4.801343e-03   1.926684e-21   1.000000e+02
4.890787e-03   4.400205e-21   1.000000e+02
4.981898e-03   9.539469e-21   1.000000e+02
5.074705e-03   1.949032e-20   1.000000e+02
5.169242e-03   3.767139e-20   1.000000e+02
5.265540e-03   6.948423e-20   1.000000e+02
5.363631e-03   1.233777e-19   1.000000e+02
5.463550e-03   2.127436e-19   1.000000e+02
5.565331e-03   3.593684e-19   1.000000e+02
5.669007e-03   5.999023e-19   1.000000e+02
5.774615e-03   9.983257e-19   1.000000e+02
5.882190e-03   1.670740e-18   1.000000e+02
5.991770e-03   2.836511e-18   1.000000e+02
6.103390e-03   4.920491e-18   1.000000e+02
6.217090e-03   8.714991e-18   1.000000e+02
6.332908e-03   1.571006e-17   1.000000e+02
6.450884e-03   2.873151e-17   1.000000e+02
6.571058e-03   5.314057e-17   1.000000e+02
6.693470e-03   9.908285e-17   1.000000e+02
6.818162e-03   1.856490e-16   1.000000e+02
6.945178e-03   3.484385e-16   1.000000e+02
7.074559e-03   6.530750e-16   1.000000e+02
7.206351e-03   1.220804e-15   1.000000e+02
7.340598e-03   2.276451e-15   1.000000e+02
7.477346e-03   4.235488e-15   1.000000e+02
7.616642e-03   7.864734e-15   1.000000e+02
7.758532e-03   1.457817e-14   1.000000e+02
7.903066e-03   2.698132e-14   1.000000e+02
8.050292e-03   4.987347e-14   1.000000e+02
8.200261e-03   9.211675e-14   1.000000e+02
8.353023e-03   1.701598e-13   1.000000e+02
8.508632e-03   3.146483e-13   1.000000e+02
8.667139e-03   5.829686e-13   1.000000e+02
8.828599e-03   1.083221e-12   1.000000e+02
8.993067e-03   2.020423e-12   1.000000e+02
9.160598e-03   3.781104e-12   1.000000e+02
9.331251e-03   7.051957e-12   1.000000e+02
9.505083e-03   1.299584e-11   1.000000e+02
9.682153e-03   2.346342e-11   1.000000e+02
9.862522e-03   4.114903e-11   1.000000e+02
1.004625e-02   6.950587e-11   1.000000e+02
1.023340e-02   1.128538e-10   1.000000e+02
1.042404e-02   1.780215e-10   1.000000e+02
1.061823e-02   2.761540e-10   1.000000e+02
1.081604e-02   4.263955e-10   1.000000e+02
1.101753e-02   6.633088e-10   1.000000e+02
1.122277e-02   1.048692e-09   1.000000e+02
1.143184e-02   1.682056e-09   1.000000e+02
1.164481e-02   2.726764e-09   1.000000e+02
1.186174e-02   4.450639e-09   1.000000e+02
1.208271e-02   7.286797e-09   1.000000e+02
1.230780e-02   1.194512e-08   1.000000e+02
1.253708e-02   1.962197e-08   1.000000e+02
1.277063e-02   3.233236e-08   1.000000e+02
1.300854e-02   5.349585e-08   1.000000e+02
1.325087e-02   8.894360e-08   1.000000e+02
1.349772e-02   1.485633e-07   1.000000e+02
1.374917e-02   2.491747e-07   1.000000e+02
1.400531e-02   4.194543e-07   1.000000e+02
1.426621e-02   7.083950e-07   1.000000e+02
1.453198e-02   1.200069e-06   1.000000e+02
1.480269e-02   2.039071e-06   1.000000e+02
1.507845e-02   3.474634e-06   1.000000e+02
1.535935e-02   5.937161e-06   1.000000e+02
1.564548e-02   1.017095e-05   1.000000e+02
1.593694e-02   1.746528e-05   1.000000e+02
1.623382e-02   3.005588e-05   1.000000e+02
1.653624e-02   5.181661e-05   1.000000e+02
1.684430e-02   8.945598e-05   1.000000e+02
1.715809e-02   1.545844e-04   1.000000e+02
1.747773e-02   2.672718e-04   1.000000e+02
1.780332e-02   4.621541e-04   1.000000e+02
1.813498e-02   7.988845e-04   1.000000e+02
1.847281e-02   1.380206e-03   1.000000e+02
1.881694e-02   2.383255e-03   1.000000e+02
1.916748e-02   4.113152e-03   1.000000e+02
1.952456e-02   7.095251e-03   1.000000e+02
1.988828e-02   1.223378e-02   1.000000e+02
2.025878e-02   2.108296e-02   1.000000e+02
2.063618e-02   3.628463e-02   1.000000e+02
2.102061e-02   6.228375e-02   1.000000e+02
2.141220e-02   1.064942e-01   1.000000e+02
2.181109e-02   1.811400e-01   1.000000e+02
2.221741e-02   3.061107e-01   1.000000e+02
2.263130e-02   5.132825e-01   1.000000e+02
2.305289e-02   8.528770e-01   1.000000e+02
2.348235e-02   1.402512e+00   1.000000e+02
2.391980e-02   2.279582e+00   1.000000e+02
2.436540e-02   3.657383e+00   1.000000e+02
2.481930e-02   5.784830e+00   1.000000e+02
2.528166e-02   9.009480e+00   1.000000e+02
2.575263e-02   1.382132e+01   1.000000e+02
2.623238e-02   2.091687e+01   1.000000e+02
2.672106e-02   3.127592e+01   1.000000e+02
2.721885e-02   4.627627e+01   1.000000e+02
2.772591e-02   6.785947e+01   1.000000e+02
2.824241e-02   9.877236e+01   1.000000e+02
2.876854e-02   1.429230e+02   1.000000e+02
2.930447e-02   2.059109e+02   1.000000e+02
2.985038e-02   2.958257e+02   1.000000e+02
3.040646e-02   4.242154e+02   1.000000e+02
3.097291e-02   6.044620e+02   1.000000e+02
3.154990e-02   8.494275e+02   1.000000e+02
3.213764e-02   1.168390e+03   1.000000e+02
3.273634e-02   1.561291e+03   1.000000e+02
3.334618e-02   2.011608e+03   1.000000e+02
3.396739e-02   2.480254e+03   1.000000e+02
3.460016e-02   2.904505e+03   1.000000e+02
3.524473e-02   3.206275e+03   1.000000e+02
3.590130e-02   3.311402e+03   1.000000e+02
3.657011e-02   3.175668e+03   1.000000e+02
3.725137e-02   2.806726e+03   1.000000e+02
3.794533e-02   2.269009e+03   1.000000e+02
3.865221e-02   1.665228e+03   1.000000e+02
3.937226e-02   1.101138e+03   1.000000e+02
4.010573e-02   6.511436e+02   1.000000e+02
4.085286e-02   3.444106e+02   1.000000e+02
4.161391e-02   1.663237e+02   1.000000e+02
4.238913e-02   7.510192e+01   1.000000e+02
4.317880e-02   3.247196e+01   1.000000e+02
4.398317e-02   1.376789e+01   1.000000e+02
4.480254e-02   5.862321e+00   1.000000e+02
4.563716e-02   2.567177e+00   1.000000e+02
4.648734e-02   1.184043e+00   1.000000e+02
4.735335e-02   5.890416e-01   1.000000e+02
4.823549e-02   3.236923e-01   1.000000e+02
4.913407e-02   2.012185e-01   1.000000e+02
5.004939e-02   1.449083e-01   1.000000e+02
5.098176e-02   1.226986e-01   1.000000e+02
5.193150e-02   1.202297e-01   1.000000e+02
5.289893e-02   1.333143e-01   1.000000e+02
5.388438e-02   1.635697e-01   1.000000e+02
5.488820e-02   2.171487e-01   1.000000e+02
5.591071e-02   3.050057e-01   1.000000e+02
5.695227e-02   4.432230e-01   1.000000e+02
5.801323e-02   6.515804e-01   1.000000e+02
5.909396e-02   9.475734e-01   1.000000e+02
6.019482e-02   1.333018e+00   1.000000e+02
6.131619e-02   1.787883e+00   1.000000e+02
6.245845e-02   2.296165e+00   1.000000e+02
6.362198e-02   2.843834e+00   1.000000e+02
6.480720e-02   3.420737e+00   1.000000e+02
6.601449e-02   4.024630e+00   1.000000e+02
6.724427e-02   4.664441e+00   1.000000e+02
6.849697e-02   5.363121e+00   1.000000e+02
6.977300e-02   6.161074e+00   1.000000e+02
7.107280e-02   7.115615e+00   1.000000e+02
7.239681e-02   8.263748e+00   1.000000e+02
7.374549e-02   9.628325e+00   1.000000e+02
7.511929e-02   1.122872e+01   1.000000e+02
7.651869e-02   1.307712e+01   1.000000e+02
7.794416e-02   1.517377e+01   1.000000e+02
7.939618e-02   1.750132e+01   1.000000e+02
8.087525e-02   2.001835e+01   1.000000e+02
8.238187e-02   2.264413e+01   1.000000e+02
8.391656e-02   2.525157e+01   1.000000e+02
8.547985e-02   2.767311e+01   1.000000e+02
8.707225e-02   2.970952e+01   1.000000e+02
8.869432e-02   3.114820e+01   1.000000e+02
9.034660e-02   3.179156e+01   1.000000e+02
9.202967e-02   3.163934e+01   1.000000e+02
9.374409e-02   3.107065e+01   1.000000e+02
9.549045e-02   3.050993e+01   1.000000e+02
9.726934e-02   3.035712e+01   1.000000e+02
9.908137e-02   3.101479e+01   1.000000e+02
1.009272e-01   3.295348e+01   1.000000e+02
1.028073e-01   3.644274e+01   1.000000e+02
1.047225e-01   4.148290e+01   1.000000e+02
1.066734e-01   4.804200e+01   1.000000e+02
1.086606e-01   5.595164e+01   1.000000e+02
1.106848e-01   6.477853e+01   1.000000e+02
1.127468e-01   7.411136e+01   1.000000e+02
1.148472e-01   8.400540e+01   1.000000e+02
1.169866e-01   9.465614e+01   1.000000e+02
1.191660e-01   1.063800e+02   1.000000e+02
1.213859e-01   1.196230e+02   1.000000e+02
1.236472e-01   1.346904e+02   1.000000e+02
1.259506e-01   1.517010e+02   1.000000e+02
1.282970e-01   1.707317e+02   1.000000e+02
1.306870e-01   1.918047e+02   1.000000e+02
1.331216e-01   2.148875e+02   1.000000e+02
1.356015e-01   2.399010e+02   1.000000e+02
1.381276e-01   2.666808e+02   1.000000e+02
1.407008e-01   2.949615e+02   1.000000e+02
1.433219e-01   3.247847e+02   1.000000e+02
1.459919e-01   3.570809e+02   1.000000e+02
1.487115e-01   3.932551e+02   1.000000e+02
1.514819e-01   4.351654e+02   1.000000e+02
1.543038e-01   4.839999e+02   1.000000e+02
1.571784e-01   5.398672e+02   1.000000e+02
1.601064e-01   6.025297e+02   1.000000e+02
1.630891e-01   6.715928e+02   1.000000e+02
1.661273e-01   7.473577e+02   1.000000e+02
1.692220e-01   8.303392e+02   1.000000e+02
1.723745e-01   9.210788e+02   1.000000e+02
1.755856e-01   1.020145e+03   1.000000e+02
1.788566e-01   1.128133e+03   1.000000e+02
1.821885e-01   1.245680e+03   1.000000e+02
1.855825e-01   1.373621e+03   1.000000e+02
1.890397e-01   1.513019e+03   1.000000e+02
1.925614e-01   1.665103e+03   1.000000e+02
1.961486e-01   1.831304e+03   1.000000e+02
1.998026e-01   2.013285e+03   1.000000e+02
2.035248e-01   2.212891e+03   1.000000e+02
2.073162e-01   2.431784e+03   1.000000e+02
2.111783e-01   2.671624e+03   1.000000e+02
2.151123e-01   2.934175e+03   1.000000e+02
2.191197e-01   3.221307e+03   1.000000e+02
2.232016e-01   3.534996e+03   1.000000e+02
2.273597e-01   3.877319e+03   1.000000e+02
2.315951e-01   4.250450e+03   1.000000e+02
2.359095e-01   4.656658e+03   1.000000e+02
2.403043e-01   5.098294e+03   1.000000e+02
2.447809e-01   5.577784e+03   1.000000e+02
2.493409e-01   6.097612e+03   1.000000e+02
2.539859e-01   6.660371e+03   1.000000e+02
2.587174e-01   7.269121e+03   1.000000e+02
2.635371e-01   7.927277e+03   1.000000e+02
2.684465e-01   8.638509e+03   1.000000e+02
2.734474e-01   9.406760e+03   1.000000e+02
2.785414e-01   1.023627e+04   1.000000e+02
2.837304e-01   1.113160e+04   1.000000e+02
2.890160e-01   1.209767e+04   1.000000e+02
2.944000e-01   1.313977e+04   1.000000e+02
