# Be7 + t > Li6 + a   [Be7_t__Li6_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.1977 beta=0 gamma=-164.878  Q=14.2081
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.065831e-35   1.000000e+02
1.037605e-03   1.138722e-35   1.000000e+02
1.056935e-03   1.219609e-35   1.000000e+02
1.076624e-03   1.309576e-35   1.000000e+02
1.096681e-03   1.409875e-35   1.000000e+02
1.117111e-03   1.521960e-35   1.000000e+02
1.137921e-03   1.647525e-35   1.000000e+02
1.159120e-03   1.788545e-35   1.000000e+02
1.180713e-03   1.947329e-35   1.000000e+02
1.202708e-03   2.126592e-35   1.000000e+02
1.225114e-03   2.329522e-35   1.000000e+02
1.247936e-03   2.559885e-35   1.000000e+02
1.271184e-03   2.822137e-35   1.000000e+02
1.294865e-03   3.121569e-35   1.000000e+02
1.318987e-03   3.464478e-35   1.000000e+02
1.343558e-03   3.858386e-35   1.000000e+02
1.368587e-03   4.312308e-35   1.000000e+02
1.394083e-03   4.837077e-35   1.000000e+02
1.420053e-03   5.445758e-35   1.000000e+02
1.446507e-03   6.154161e-35   1.000000e+02
1.473454e-03   6.981481e-35   1.000000e+02
1.500903e-03   7.951105e-35   1.000000e+02
1.528864e-03   9.091628e-35   1.000000e+02
1.557345e-03   1.043814e-34   1.000000e+02
1.586357e-03   1.203385e-34   1.000000e+02
1.615909e-03   1.393220e-34   1.000000e+02
1.646012e-03   1.619947e-34   1.000000e+02
1.676675e-03   1.891827e-34   1.000000e+02
1.707910e-03   2.219189e-34   1.000000e+02
1.739726e-03   2.615005e-34   1.000000e+02
1.772136e-03   3.095631e-34   1.000000e+02
1.805149e-03   3.681774e-34   1.000000e+02
1.838777e-03   4.399765e-34   1.000000e+02
1.873032e-03   5.283228e-34   1.000000e+02
1.907924e-03   6.375285e-34   1.000000e+02
1.943467e-03   7.731492e-34   1.000000e+02
1.979672e-03   9.423745e-34   1.000000e+02
2.016551e-03   1.154551e-33   1.000000e+02
2.054117e-03   1.421888e-33   1.000000e+02
2.092383e-03   1.760407e-33   1.000000e+02
2.131362e-03   2.191238e-33   1.000000e+02
2.171068e-03   2.742378e-33   1.000000e+02
2.211512e-03   3.451118e-33   1.000000e+02
