# C11 + He3 > C10 + a   [C11_He3__C10_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.0311 beta=0 gamma=-86.5452  Q=7.4579
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   9.995769e-36   1.000000e+02
1.037605e-03   9.991911e-36   1.000000e+02
1.056935e-03   9.988415e-36   1.000000e+02
1.076624e-03   9.985269e-36   1.000000e+02
1.096681e-03   9.982459e-36   1.000000e+02
1.117111e-03   9.979974e-36   1.000000e+02
1.137921e-03   9.977802e-36   1.000000e+02
1.159120e-03   9.975930e-36   1.000000e+02
1.180713e-03   9.974348e-36   1.000000e+02
1.202708e-03   9.973042e-36   1.000000e+02
1.225114e-03   9.972001e-36   1.000000e+02
1.247936e-03   9.971213e-36   1.000000e+02
1.271184e-03   9.970666e-36   1.000000e+02
1.294865e-03   9.970348e-36   1.000000e+02
1.318987e-03   9.970247e-36   1.000000e+02
1.343558e-03   9.970352e-36   1.000000e+02
1.368587e-03   9.970650e-36   1.000000e+02
1.394083e-03   9.971130e-36   1.000000e+02
1.420053e-03   9.971780e-36   1.000000e+02
1.446507e-03   9.972588e-36   1.000000e+02
1.473454e-03   9.973543e-36   1.000000e+02
1.500903e-03   9.974632e-36   1.000000e+02
1.528864e-03   9.975844e-36   1.000000e+02
1.557345e-03   9.977167e-36   1.000000e+02
1.586357e-03   9.978589e-36   1.000000e+02
1.615909e-03   9.980099e-36   1.000000e+02
1.646012e-03   9.981684e-36   1.000000e+02
1.676675e-03   9.983333e-36   1.000000e+02
1.707910e-03   9.985033e-36   1.000000e+02
1.739726e-03   9.986774e-36   1.000000e+02
1.772136e-03   9.988543e-36   1.000000e+02
1.805149e-03   9.990329e-36   1.000000e+02
1.838777e-03   9.992119e-36   1.000000e+02
1.873032e-03   9.993902e-36   1.000000e+02
1.907924e-03   9.995665e-36   1.000000e+02
1.943467e-03   9.997398e-36   1.000000e+02
1.979672e-03   9.999088e-36   1.000000e+02
2.016551e-03   1.000072e-35   1.000000e+02
2.054117e-03   1.000229e-35   1.000000e+02
2.092383e-03   1.000378e-35   1.000000e+02
2.131362e-03   1.000518e-35   1.000000e+02
2.171068e-03   1.000648e-35   1.000000e+02
2.211512e-03   1.000766e-35   1.000000e+02
2.252711e-03   1.000871e-35   1.000000e+02
2.294676e-03   1.000963e-35   1.000000e+02
2.337424e-03   1.001040e-35   1.000000e+02
2.380968e-03   1.001100e-35   1.000000e+02
2.425323e-03   1.001144e-35   1.000000e+02
2.470504e-03   1.001168e-35   1.000000e+02
2.516527e-03   1.001173e-35   1.000000e+02
2.563407e-03   1.001157e-35   1.000000e+02
2.611161e-03   1.001118e-35   1.000000e+02
2.659804e-03   1.001057e-35   1.000000e+02
2.709354e-03   1.000971e-35   1.000000e+02
2.759826e-03   1.000859e-35   1.000000e+02
2.811239e-03   1.000720e-35   1.000000e+02
2.863610e-03   1.000553e-35   1.000000e+02
2.916956e-03   1.000357e-35   1.000000e+02
2.971296e-03   1.000130e-35   1.000000e+02
3.026648e-03   9.998726e-36   1.000000e+02
3.083031e-03   9.995890e-36   1.000000e+02
3.140465e-03   9.992919e-36   1.000000e+02
3.198969e-03   9.989938e-36   1.000000e+02
3.258562e-03   9.987074e-36   1.000000e+02
3.319266e-03   9.984452e-36   1.000000e+02
3.381101e-03   9.982198e-36   1.000000e+02
3.444087e-03   9.980437e-36   1.000000e+02
3.508247e-03   9.979294e-36   1.000000e+02
3.573602e-03   9.978896e-36   1.000000e+02
3.640175e-03   9.979367e-36   1.000000e+02
3.707988e-03   9.980834e-36   1.000000e+02
3.777064e-03   9.983422e-36   1.000000e+02
3.847427e-03   9.987259e-36   1.000000e+02
3.919100e-03   9.992471e-36   1.000000e+02
3.992109e-03   9.999187e-36   1.000000e+02
4.066478e-03   1.000744e-35   1.000000e+02
4.142232e-03   1.001669e-35   1.000000e+02
4.219398e-03   1.002622e-35   1.000000e+02
4.298001e-03   1.003531e-35   1.000000e+02
4.378069e-03   1.004323e-35   1.000000e+02
4.459628e-03   1.004926e-35   1.000000e+02
4.542706e-03   1.005265e-35   1.000000e+02
4.627332e-03   1.005269e-35   1.000000e+02
