# O18 + a > Ne22 + g   [O18_a__Ne22_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=5.8514e+10 beta=1.5 gamma=-112.194  Q=9.6681
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   9.912340e-36   1.000204e+00
1.037605e-03   9.833061e-36   1.000390e+00
1.056935e-03   9.761731e-36   1.000558e+00
1.076624e-03   9.697948e-36   1.000710e+00
1.096681e-03   9.641331e-36   1.000845e+00
1.117111e-03   9.591522e-36   1.000965e+00
1.137921e-03   9.548184e-36   1.001070e+00
1.159120e-03   9.510997e-36   1.001161e+00
1.180713e-03   9.479655e-36   1.001237e+00
1.202708e-03   9.453868e-36   1.001300e+00
1.225114e-03   9.433358e-36   1.001351e+00
1.247936e-03   9.417859e-36   1.001389e+00
1.271184e-03   9.407114e-36   1.001415e+00
1.294865e-03   9.400874e-36   1.001430e+00
1.318987e-03   9.398898e-36   1.001435e+00
1.343558e-03   9.400952e-36   1.001430e+00
1.368587e-03   9.406806e-36   1.001416e+00
1.394083e-03   9.416234e-36   1.001393e+00
1.420053e-03   9.429015e-36   1.001361e+00
1.446507e-03   9.444928e-36   1.001322e+00
1.473454e-03   9.463755e-36   1.001276e+00
1.500903e-03   9.485281e-36   1.001223e+00
1.528864e-03   9.509287e-36   1.001165e+00
1.557345e-03   9.535558e-36   1.001101e+00
1.586357e-03   9.563875e-36   1.001032e+00
1.615909e-03   9.594020e-36   1.000959e+00
1.646012e-03   9.625771e-36   1.000883e+00
1.676675e-03   9.658905e-36   1.000803e+00
1.707910e-03   9.693196e-36   1.000721e+00
1.739726e-03   9.728416e-36   1.000637e+00
1.772136e-03   9.764332e-36   1.000552e+00
1.805149e-03   9.800710e-36   1.000466e+00
1.838777e-03   9.837310e-36   1.000380e+00
1.873032e-03   9.873890e-36   1.000294e+00
1.907924e-03   9.910205e-36   1.000209e+00
1.943467e-03   9.946004e-36   1.000125e+00
1.979672e-03   9.981035e-36   1.000044e+00
2.016551e-03   1.001504e-35   9.999652e-01
2.054117e-03   1.004776e-35   9.998898e-01
2.092383e-03   1.007894e-35   9.998181e-01
2.131362e-03   1.010830e-35   9.997508e-01
2.171068e-03   1.013559e-35   9.996885e-01
2.211512e-03   1.016053e-35   9.996316e-01
2.252711e-03   1.018285e-35   9.995809e-01
2.294676e-03   1.020230e-35   9.995367e-01
2.337424e-03   1.021858e-35   9.994999e-01
2.380968e-03   1.023145e-35   9.994708e-01
2.425323e-03   1.024063e-35   9.994500e-01
2.470504e-03   1.024585e-35   9.994382e-01
2.516527e-03   1.024687e-35   9.994359e-01
2.563407e-03   1.024343e-35   9.994437e-01
2.611161e-03   1.023527e-35   9.994621e-01
2.659804e-03   1.022216e-35   9.994918e-01
2.709354e-03   1.020386e-35   9.995332e-01
2.759826e-03   1.018016e-35   9.995870e-01
2.811239e-03   1.015083e-35   9.996537e-01
2.863610e-03   1.011567e-35   9.997339e-01
2.916956e-03   1.007451e-35   9.998283e-01
2.971296e-03   1.002716e-35   9.999372e-01
3.026648e-03   9.973528e-36   1.000061e+00
3.083031e-03   9.914838e-36   1.000198e+00
3.140465e-03   9.853702e-36   1.000341e+00
3.198969e-03   9.792736e-36   1.000485e+00
3.258562e-03   9.734491e-36   1.000623e+00
3.319266e-03   9.681460e-36   1.000749e+00
3.381101e-03   9.636086e-36   1.000858e+00
3.444087e-03   9.600780e-36   1.000943e+00
3.508247e-03   9.577941e-36   1.000998e+00
3.573602e-03   9.569988e-36   1.001017e+00
3.640175e-03   9.579394e-36   1.000995e+00
3.707988e-03   9.608728e-36   1.000924e+00
3.777064e-03   9.660704e-36   1.000799e+00
3.847427e-03   9.738240e-36   1.000614e+00
3.919100e-03   9.844525e-36   1.000363e+00
3.992109e-03   9.983101e-36   1.000039e+00
4.066478e-03   1.015583e-35   9.996423e-01
4.142232e-03   1.035296e-35   9.991978e-01
4.219398e-03   1.055990e-35   9.987404e-01
4.298001e-03   1.076090e-35   9.983048e-01
4.378069e-03   1.093901e-35   9.979257e-01
4.459628e-03   1.107630e-35   9.976378e-01
4.542706e-03   1.115439e-35   9.974756e-01
4.627332e-03   1.115524e-35   9.974739e-01
4.713535e-03   1.106217e-35   9.976672e-01
4.801343e-03   1.086120e-35   9.980905e-01
4.890787e-03   1.054235e-35   9.987788e-01
4.981898e-03   1.010107e-35   9.997674e-01
5.074705e-03   9.546851e-36   1.001073e+00
5.169242e-03   8.946233e-36   1.002580e+00
5.265540e-03   8.376348e-36   1.004108e+00
5.363631e-03   7.896889e-36   1.005478e+00
5.463550e-03   7.554341e-36   1.006510e+00
5.565331e-03   7.389733e-36   1.007023e+00
5.669007e-03   7.449116e-36   1.006837e+00
5.774615e-03   7.797889e-36   1.005771e+00
5.882190e-03   8.542756e-36   1.003651e+00
5.991770e-03   9.870064e-36   1.000303e+00
6.103390e-03   1.204771e-35   9.956993e-01
6.217090e-03   1.510608e-35   9.905015e-01
6.332908e-03   1.874198e-35   9.855714e-01
6.450884e-03   2.216403e-35   9.817548e-01
6.571058e-03   2.406602e-35   9.798865e-01
6.693470e-03   2.311186e-35   9.808041e-01
6.818162e-03   1.891009e-35   9.853678e-01
6.945178e-03   1.269794e-35   9.944891e-01
7.074559e-03   6.785867e-36   1.009011e+00
7.206351e-03   3.127070e-36   1.027260e+00
7.340598e-03   1.475236e-36   1.045272e+00
7.477346e-03   8.481903e-37   1.058743e+00
7.616642e-03   7.075372e-37   1.063194e+00
7.758532e-03   1.019403e-36   1.054249e+00
7.903066e-03   3.019944e-36   1.028089e+00
8.050292e-03   2.176180e-35   9.821709e-01
8.200261e-03   3.145397e-34   9.233144e-01
8.353023e-03   4.337211e-33   8.689308e-01
8.508632e-03   2.591023e-32   8.337302e-01
8.667139e-03   3.045292e-32   8.306200e-01
8.828599e-03   3.197825e-33   8.750793e-01
8.993067e-03   1.362447e-35   9.928699e-01
