# a + a + a > C12 + g + g   [a_a_a__C12_g_g]   ref=NACRE, Angulo et al. 1999
# forward[T9] = With[{T932=T9^(3/2),T923=T9^(2/3),T913=T9^(1/3)}, With[{he4abe8=2.43*^9*(1.+74.5*T9)/T923*Exp[-13.49/T913-(T9/0.15)^2]+6.09*^5/T932*Exp[-1.054/T9], be8agc12= 2.76*^7*(1.+5.47*T9+326*T9^2)/T923*Exp[-23.570/T913-(T9/0.4)^2]+130.7/T932*Exp[-3.338/T9]+2.51*^4/T932*Exp[-20.307/T9]}, If[T9<0.03, he4abe8*be8agc12*3.07*^-16*(1.-29.1*T9+1308*T9^2), he4abe8*be8agc12*3.44*^-16*(1.+0.0158/T9^0.65)]]]   uncertainty factor f = 1.15
# T9                 rate                error
1.000000e-03   2.429810e-156   1.150000e+00
1.018629e-03   2.303988e-155   1.150000e+00
1.037605e-03   2.154466e-154   1.150000e+00
1.056935e-03   1.986956e-153   1.150000e+00
1.076624e-03   1.807436e-152   1.150000e+00
1.096681e-03   1.621811e-151   1.150000e+00
1.117111e-03   1.435612e-150   1.150000e+00
1.137921e-03   1.253746e-149   1.150000e+00
1.159120e-03   1.080323e-148   1.150000e+00
1.180713e-03   9.185568e-148   1.150000e+00
1.202708e-03   7.707290e-147   1.150000e+00
1.225114e-03   6.382288e-146   1.150000e+00
1.247936e-03   5.216334e-145   1.150000e+00
1.271184e-03   4.208272e-144   1.150000e+00
1.294865e-03   3.351400e-143   1.150000e+00
1.318987e-03   2.634921e-142   1.150000e+00
1.343558e-03   2.045325e-141   1.150000e+00
1.368587e-03   1.567633e-140   1.150000e+00
1.394083e-03   1.186446e-139   1.150000e+00
1.420053e-03   8.867618e-139   1.150000e+00
1.446507e-03   6.545681e-138   1.150000e+00
1.473454e-03   4.772270e-137   1.150000e+00
1.500903e-03   3.436772e-136   1.150000e+00
1.528864e-03   2.444922e-135   1.150000e+00
1.557345e-03   1.718306e-134   1.150000e+00
1.586357e-03   1.193136e-133   1.150000e+00
1.615909e-03   8.185889e-133   1.150000e+00
1.646012e-03   5.549582e-132   1.150000e+00
1.676675e-03   3.717965e-131   1.150000e+00
1.707910e-03   2.461686e-130   1.150000e+00
1.739726e-03   1.610921e-129   1.150000e+00
1.772136e-03   1.041984e-128   1.150000e+00
1.805149e-03   6.662310e-128   1.150000e+00
1.838777e-03   4.211108e-127   1.150000e+00
1.873032e-03   2.631520e-126   1.150000e+00
1.907924e-03   1.625872e-125   1.150000e+00
1.943467e-03   9.932673e-125   1.150000e+00
1.979672e-03   6.000344e-124   1.150000e+00
2.016551e-03   3.584648e-123   1.150000e+00
2.054117e-03   2.117909e-122   1.150000e+00
2.092383e-03   1.237623e-121   1.150000e+00
2.131362e-03   7.153512e-121   1.150000e+00
2.171068e-03   4.090058e-120   1.150000e+00
2.211512e-03   2.313387e-119   1.150000e+00
2.252711e-03   1.294508e-118   1.150000e+00
2.294676e-03   7.166838e-118   1.150000e+00
2.337424e-03   3.925960e-117   1.150000e+00
2.380968e-03   2.128081e-116   1.150000e+00
2.425323e-03   1.141518e-115   1.150000e+00
2.470504e-03   6.059792e-115   1.150000e+00
2.516527e-03   3.183769e-114   1.150000e+00
2.563407e-03   1.655625e-113   1.150000e+00
2.611161e-03   8.522099e-113   1.150000e+00
2.659804e-03   4.342334e-112   1.150000e+00
2.709354e-03   2.190378e-111   1.150000e+00
2.759826e-03   1.093860e-110   1.150000e+00
2.811239e-03   5.408515e-110   1.150000e+00
2.863610e-03   2.647860e-109   1.150000e+00
2.916956e-03   1.283629e-108   1.150000e+00
2.971296e-03   6.162234e-108   1.150000e+00
3.026648e-03   2.929662e-107   1.150000e+00
3.083031e-03   1.379443e-106   1.150000e+00
3.140465e-03   6.433141e-106   1.150000e+00
3.198969e-03   2.971677e-105   1.150000e+00
3.258562e-03   1.359769e-104   1.150000e+00
3.319266e-03   6.163674e-104   1.150000e+00
3.381101e-03   2.767901e-103   1.150000e+00
3.444087e-03   1.231468e-102   1.150000e+00
3.508247e-03   5.428542e-102   1.150000e+00
3.573602e-03   2.371131e-101   1.150000e+00
3.640175e-03   1.026278e-100   1.150000e+00
3.707988e-03   4.401868e-100   1.150000e+00
3.777064e-03   1.871096e-99   1.150000e+00
3.847427e-03   7.882547e-99   1.150000e+00
3.919100e-03   3.291344e-98   1.150000e+00
3.992109e-03   1.362199e-97   1.150000e+00
4.066478e-03   5.588463e-97   1.150000e+00
4.142232e-03   2.272757e-96   1.150000e+00
4.219398e-03   9.163187e-96   1.150000e+00
4.298001e-03   3.662660e-95   1.150000e+00
4.378069e-03   1.451533e-94   1.150000e+00
4.459628e-03   5.703760e-94   1.150000e+00
4.542706e-03   2.222403e-93   1.150000e+00
4.627332e-03   8.586877e-93   1.150000e+00
4.713535e-03   3.290194e-92   1.150000e+00
4.801343e-03   1.250273e-91   1.150000e+00
4.890787e-03   4.712034e-91   1.150000e+00
4.981898e-03   1.761387e-90   1.150000e+00
5.074705e-03   6.530809e-90   1.150000e+00
5.169242e-03   2.401970e-89   1.150000e+00
5.265540e-03   8.763532e-89   1.150000e+00
5.363631e-03   3.171935e-88   1.150000e+00
5.463550e-03   1.139004e-87   1.150000e+00
5.565331e-03   4.057925e-87   1.150000e+00
5.669007e-03   1.434443e-86   1.150000e+00
5.774615e-03   5.031352e-86   1.150000e+00
5.882190e-03   1.751179e-85   1.150000e+00
5.991770e-03   6.048427e-85   1.150000e+00
6.103390e-03   2.073206e-84   1.150000e+00
6.217090e-03   7.052645e-84   1.150000e+00
6.332908e-03   2.381184e-83   1.150000e+00
6.450884e-03   7.979705e-83   1.150000e+00
6.571058e-03   2.654331e-82   1.150000e+00
6.693470e-03   8.764334e-82   1.150000e+00
6.818162e-03   2.872764e-81   1.150000e+00
6.945178e-03   9.348013e-81   1.150000e+00
7.074559e-03   3.019939e-80   1.150000e+00
7.206351e-03   9.686296e-80   1.150000e+00
7.340598e-03   3.084743e-79   1.150000e+00
7.477346e-03   9.754455e-79   1.150000e+00
7.616642e-03   3.062885e-78   1.150000e+00
7.758532e-03   9.550434e-78   1.150000e+00
7.903066e-03   2.957338e-77   1.150000e+00
8.050292e-03   9.094630e-77   1.150000e+00
8.200261e-03   2.777770e-76   1.150000e+00
8.353023e-03   8.426656e-76   1.150000e+00
8.508632e-03   2.539118e-75   1.150000e+00
8.667139e-03   7.599755e-75   1.150000e+00
8.828599e-03   2.259572e-74   1.150000e+00
8.993067e-03   6.673957e-74   1.150000e+00
9.160598e-03   1.958356e-73   1.150000e+00
9.331251e-03   5.709151e-73   1.150000e+00
9.505083e-03   1.653651e-72   1.150000e+00
9.682153e-03   4.759144e-72   1.150000e+00
9.862522e-03   1.360966e-71   1.150000e+00
1.004625e-02   3.867407e-71   1.150000e+00
1.023340e-02   1.092111e-70   1.150000e+00
1.042404e-02   3.064849e-70   1.150000e+00
1.061823e-02   8.548047e-70   1.150000e+00
1.081604e-02   2.369524e-69   1.150000e+00
1.101753e-02   6.528481e-69   1.150000e+00
1.122277e-02   1.787890e-68   1.150000e+00
1.143184e-02   4.867069e-68   1.150000e+00
1.164481e-02   1.317082e-67   1.150000e+00
1.186174e-02   3.543219e-67   1.150000e+00
1.208271e-02   9.476394e-67   1.150000e+00
1.230780e-02   2.519818e-66   1.150000e+00
1.253708e-02   6.661879e-66   1.150000e+00
1.277063e-02   1.751245e-65   1.150000e+00
1.300854e-02   4.577623e-65   1.150000e+00
1.325087e-02   1.189864e-64   1.150000e+00
1.349772e-02   3.075666e-64   1.150000e+00
1.374917e-02   7.906548e-64   1.150000e+00
1.400531e-02   2.021441e-63   1.150000e+00
1.426621e-02   5.140233e-63   1.150000e+00
1.453198e-02   1.300088e-62   1.150000e+00
1.480269e-02   3.270785e-62   1.150000e+00
1.507845e-02   8.185428e-62   1.150000e+00
1.535935e-02   2.037801e-61   1.150000e+00
