# d + d > t + p   [d_d__t_p]   ref=Gómez et al. 2017
# detailed balance: alpha=1.73492 beta=0 gamma=-46.7971  Q=4.03266
# T9                 rate                error
1.000000e-03   1.364000e-08   1.011000e+00
1.018629e-03   1.749210e-08   1.011000e+00
1.037605e-03   2.239699e-08   1.011000e+00
1.056935e-03   2.863260e-08   1.011000e+00
1.076624e-03   3.654758e-08   1.011000e+00
1.096681e-03   4.657861e-08   1.011000e+00
1.117111e-03   5.927178e-08   1.011000e+00
1.137921e-03   7.530888e-08   1.011000e+00
1.159120e-03   9.553987e-08   1.011000e+00
1.180713e-03   1.210227e-07   1.011000e+00
1.202708e-03   1.530719e-07   1.011000e+00
1.225114e-03   1.933191e-07   1.011000e+00
1.247936e-03   2.437854e-07   1.011000e+00
1.271184e-03   3.069712e-07   1.011000e+00
1.294865e-03   3.859650e-07   1.011000e+00
1.318987e-03   4.845760e-07   1.011000e+00
1.343558e-03   6.074955e-07   1.011000e+00
1.368587e-03   7.604920e-07   1.011000e+00
1.394083e-03   9.506487e-07   1.011000e+00
1.420053e-03   1.186650e-06   1.011000e+00
1.446507e-03   1.479128e-06   1.011000e+00
1.473454e-03   1.841081e-06   1.011000e+00
1.500903e-03   2.288376e-06   1.011000e+00
1.528864e-03   2.840353e-06   1.011000e+00
1.557345e-03   3.520557e-06   1.011000e+00
1.586357e-03   4.357604e-06   1.011000e+00
1.615909e-03   5.386230e-06   1.011000e+00
1.646012e-03   6.648537e-06   1.011000e+00
1.676675e-03   8.195488e-06   1.011000e+00
1.707910e-03   1.008868e-05   1.011000e+00
1.739726e-03   1.240246e-05   1.011000e+00
1.772136e-03   1.522647e-05   1.011000e+00
1.805149e-03   1.866858e-05   1.011000e+00
1.838777e-03   2.285850e-05   1.011000e+00
1.873032e-03   2.795193e-05   1.011000e+00
1.907924e-03   3.413555e-05   1.011000e+00
1.943467e-03   4.163286e-05   1.011000e+00
1.979672e-03   5.071115e-05   1.011000e+00
2.016551e-03   6.168956e-05   1.011000e+00
2.054117e-03   7.494874e-05   1.011000e+00
2.092383e-03   9.094206e-05   1.011000e+00
2.131362e-03   1.102088e-04   1.011000e+00
2.171068e-03   1.333898e-04   1.011000e+00
2.211512e-03   1.612452e-04   1.011000e+00
2.252711e-03   1.946759e-04   1.011000e+00
2.294676e-03   2.347481e-04   1.011000e+00
2.337424e-03   2.827223e-04   1.011000e+00
2.380968e-03   3.400865e-04   1.011000e+00
2.425323e-03   4.085953e-04   1.011000e+00
2.470504e-03   4.903154e-04   1.011000e+00
2.516527e-03   5.876775e-04   1.011000e+00
2.563407e-03   7.035378e-04   1.011000e+00
2.611161e-03   8.412479e-04   1.011000e+00
2.659804e-03   1.004736e-03   1.011000e+00
2.709354e-03   1.198602e-03   1.011000e+00
2.759826e-03   1.428224e-03   1.011000e+00
2.811239e-03   1.699883e-03   1.011000e+00
2.863610e-03   2.020909e-03   1.011000e+00
2.916956e-03   2.399844e-03   1.011000e+00
2.971296e-03   2.846629e-03   1.011000e+00
3.026648e-03   3.372824e-03   1.011000e+00
3.083031e-03   3.991855e-03   1.011000e+00
3.140465e-03   4.719290e-03   1.011000e+00
3.198969e-03   5.573169e-03   1.011000e+00
3.258562e-03   6.574370e-03   1.011000e+00
3.319266e-03   7.747030e-03   1.011000e+00
3.381101e-03   9.119020e-03   1.011000e+00
3.444087e-03   1.072249e-02   1.011000e+00
3.508247e-03   1.259449e-02   1.011000e+00
3.573602e-03   1.477767e-02   1.011000e+00
3.640175e-03   1.732103e-02   1.011000e+00
3.707988e-03   2.028091e-02   1.011000e+00
3.777064e-03   2.372190e-02   1.011000e+00
3.847427e-03   2.771804e-02   1.011000e+00
3.919100e-03   3.235412e-02   1.011000e+00
3.992109e-03   3.772708e-02   1.011000e+00
4.066478e-03   4.394770e-02   1.011000e+00
4.142232e-03   5.114243e-02   1.011000e+00
4.219398e-03   5.945543e-02   1.011000e+00
4.298001e-03   6.905093e-02   1.011000e+00
4.378069e-03   8.011581e-02   1.011000e+00
4.459628e-03   9.286249e-02   1.011000e+00
4.542706e-03   1.075322e-01   1.011000e+00
4.627332e-03   1.243988e-01   1.011000e+00
4.713535e-03   1.437724e-01   1.011000e+00
4.801343e-03   1.660044e-01   1.011000e+00
4.890787e-03   1.914923e-01   1.011000e+00
4.981898e-03   2.206852e-01   1.011000e+00
5.074705e-03   2.540904e-01   1.011000e+00
5.169242e-03   2.922799e-01   1.011000e+00
5.265540e-03   3.358978e-01   1.011000e+00
5.363631e-03   3.856695e-01   1.011000e+00
5.463550e-03   4.424105e-01   1.011000e+00
5.565331e-03   5.070373e-01   1.011000e+00
5.669007e-03   5.805783e-01   1.011000e+00
5.774615e-03   6.641869e-01   1.011000e+00
5.882190e-03   7.591553e-01   1.011000e+00
5.991770e-03   8.669299e-01   1.011000e+00
6.103390e-03   9.891281e-01   1.011000e+00
6.217090e-03   1.127558e+00   1.011000e+00
6.332908e-03   1.284239e+00   1.011000e+00
6.450884e-03   1.461423e+00   1.011000e+00
6.571058e-03   1.661619e+00   1.011000e+00
