# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 13c81aba7cd907ec
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.05,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":150,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983405952765914e-01 0.000000000000000000e+00
1.178433031761291809e+07 9.999983149399662707e-01 0.000000000000000000e+00
1.196692870656324737e+07 9.999982888898644173e-01 0.000000000000000000e+00
1.215235646050493419e+07 9.999982624390016950e-01 0.000000000000000000e+00
1.234065742049430311e+07 9.999982355813222812e-01 0.000000000000000000e+00
1.253187610690555163e+07 9.999982083106822017e-01 0.000000000000000000e+00
1.272605772995679639e+07 9.999981806208471102e-01 0.000000000000000000e+00
1.292324820039921999e+07 9.999981525054932874e-01 0.000000000000000000e+00
1.312349414037183113e+07 9.999981239582050874e-01 0.000000000000000000e+00
1.332684289442444220e+07 9.999980949724748269e-01 0.000000000000000000e+00
1.353334254071142524e+07 9.999980655417012310e-01 0.000000000000000000e+00
1.374304190235893987e+07 9.999980356591895436e-01 0.000000000000000000e+00
1.395599055900826678e+07 9.999980053181491968e-01 0.000000000000000000e+00
1.417223885853803717e+07 9.999979745116948093e-01 0.000000000000000000e+00
1.439183792896807566e+07 9.999979432328439666e-01 0.000000000000000000e+00
1.461483969054769725e+07 9.999979114745169984e-01 0.000000000000000000e+00
1.484129686803135276e+07 9.999978792295362018e-01 0.000000000000000000e+00
1.507126300314432755e+07 9.999978464906250641e-01 0.000000000000000000e+00
1.530479246724189445e+07 9.999978132504081518e-01 0.000000000000000000e+00
1.554194047416432761e+07 9.999977795014091120e-01 0.000000000000000000e+00
1.578276309329124913e+07 9.999977452360515606e-01 0.000000000000000000e+00
1.602731726279822551e+07 9.999977104466575284e-01 0.000000000000000000e+00
1.627566080311877280e+07 9.999976751254472385e-01 0.000000000000000000e+00
1.652785243061496504e+07 9.999976392645377743e-01 0.000000000000000000e+00
1.678395177145985141e+07 9.999976028559441898e-01 0.000000000000000000e+00
1.704401937573499978e+07 9.999975658915769561e-01 0.000000000000000000e+00
1.730811673174647242e+07 9.999975283632426271e-01 0.000000000000000000e+00
1.757630628056262806e+07 9.999974902626433959e-01 0.000000000000000000e+00
1.784865143077719212e+07 9.999974515813760956e-01 0.000000000000000000e+00
1.812521657350106537e+07 9.999974123109318658e-01 0.000000000000000000e+00
1.840606709758647159e+07 9.999973724426960420e-01 0.000000000000000000e+00
1.869126940508694202e+07 9.999973319679477113e-01 0.000000000000000000e+00
1.898089092695691064e+07 9.999972908778596015e-01 0.000000000000000000e+00
1.927500013899453729e+07 9.999972491634975258e-01 0.000000000000000000e+00
1.957366657803158462e+07 9.999972068158200500e-01 0.000000000000000000e+00
1.987696085837414861e+07 9.999971638256792694e-01 0.000000000000000000e+00
2.018495468849814311e+07 9.999971201838198098e-01 0.000000000000000000e+00
2.049772088800346479e+07 9.999970758808792715e-01 0.000000000000000000e+00
2.081533340483090654e+07 9.999970309073888952e-01 0.000000000000000000e+00
2.113786733274578676e+07 9.999969852537734516e-01 0.000000000000000000e+00
2.146539892909253761e+07 9.999969389103512407e-01 0.000000000000000000e+00
2.179800563282437995e+07 9.999968918673354246e-01 0.000000000000000000e+00
2.213576608281236142e+07 9.999968441148338050e-01 0.000000000000000000e+00
2.247876013643810898e+07 9.999967956428510441e-01 0.000000000000000000e+00
2.282706888847468048e+07 9.999967464412874429e-01 0.000000000000000000e+00
2.318077469025994465e+07 9.999966964999422725e-01 0.000000000000000000e+00
2.353996116916708648e+07 9.999966458085144394e-01 0.000000000000000000e+00
2.390471324837678671e+07 9.999965943566021531e-01 0.000000000000000000e+00
2.427511716695579141e+07 9.999965421337080329e-01 0.000000000000000000e+00
2.465126050024658069e+07 9.999964891292379976e-01 0.000000000000000000e+00
2.503323218057302758e+07 9.999964353325045963e-01 0.000000000000000000e+00
2.542112251826666296e+07 9.999963807327290066e-01 0.000000000000000000e+00
2.581502322301920131e+07 9.999963253190450319e-01 0.000000000000000000e+00
