# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 1f5a0436f87305e6
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.03,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983399677693230e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982914117038213e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982414399654074e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981900118050104e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981370853235907e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980826174440507e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980265638869215e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979688791428289e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979095164510667e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978484277737278e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977855637752766e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977208737993450e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976543058468614e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975858065534018e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975153211697609e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974427935396371e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973681660779823e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972913797517959e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972123740618057e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971310870241492e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970474551553856e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969614134596174e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968728954193864e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967818329895675e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966881565957033e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965917951392225e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964926760052109e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963907250796202e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962858667733601e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999961780240517184e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999960671184775496e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999959530702614563e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999958357983239621e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999957152203715616e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999955912529876478e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999954638117375394e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999953328112950457e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999951981655870181e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999950597879634362e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999949175913920296e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999947714886832095e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999946213927483063e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999944672168926685e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999943088751526155e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999941462826775762e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999939793561644086e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999938080143473407e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999936321785581894e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999934517733526373e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999932667272218856e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999930769733941238e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999928824507362535e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999926831047708520e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999924788888179261e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999922697652789960e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999920557070820504e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999918366992990304e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999916127409651523e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999913838471172767e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999911500510811901e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999909114070336669e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999906679928750597e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999904199134452831e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999901673041303729e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999899103348935947e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999896492147966054e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999893841970548536e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999891155846983848e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999888437369079952e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999885690761028956e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999882920958739208e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999880133698592077e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999877335616742524e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999874534360220224e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999871738711223479e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999868958726171320e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999866205891264626e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999863493296521355e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999860835830471917e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999858250397971604e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999855756163902321e-01 0.000000000000000000e+00
