# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 1f6c7bc2802a7f62
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":false,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":false,"sampling_nTOp_per_decade":150,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 1.000000000134951161e+00 0.000000000000000000e+00
1.178433031761291809e+07 1.000000000143542955e+00 0.000000000000000000e+00
1.196692870656324737e+07 1.000000000152667656e+00 0.000000000000000000e+00
1.215235646050493419e+07 1.000000000162360347e+00 0.000000000000000000e+00
1.234065742049430311e+07 1.000000000172657666e+00 0.000000000000000000e+00
1.253187610690555163e+07 1.000000000183599802e+00 0.000000000000000000e+00
1.272605772995679639e+07 1.000000000195228278e+00 0.000000000000000000e+00
1.292324820039921999e+07 1.000000000207587947e+00 0.000000000000000000e+00
1.312349414037183113e+07 1.000000000220726326e+00 0.000000000000000000e+00
1.332684289442444220e+07 1.000000000234693820e+00 0.000000000000000000e+00
1.353334254071142524e+07 1.000000000249544607e+00 0.000000000000000000e+00
1.374304190235893987e+07 1.000000000265335309e+00 0.000000000000000000e+00
1.395599055900826678e+07 1.000000000282126988e+00 0.000000000000000000e+00
1.417223885853803717e+07 1.000000000299983371e+00 0.000000000000000000e+00
1.439183792896807566e+07 1.000000000318973292e+00 0.000000000000000000e+00
1.461483969054769725e+07 1.000000000339169359e+00 0.000000000000000000e+00
1.484129686803135276e+07 1.000000000360648400e+00 0.000000000000000000e+00
1.507126300314432755e+07 1.000000000383492571e+00 0.000000000000000000e+00
1.530479246724189445e+07 1.000000000407788692e+00 0.000000000000000000e+00
1.554194047416432761e+07 1.000000000433629355e+00 0.000000000000000000e+00
1.578276309329124913e+07 1.000000000461112259e+00 0.000000000000000000e+00
1.602731726279822551e+07 1.000000000490342211e+00 0.000000000000000000e+00
1.627566080311877280e+07 1.000000000521430010e+00 0.000000000000000000e+00
1.652785243061496504e+07 1.000000000554492896e+00 0.000000000000000000e+00
1.678395177145985141e+07 1.000000000589656546e+00 0.000000000000000000e+00
1.704401937573499978e+07 1.000000000627053964e+00 0.000000000000000000e+00
