# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: 541a27e01a6e55f8
# fingerprint: {"QED_corrections":false,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":false,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"opposite_neutrino_chemical_potential":false,"radiative_corrections":false,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 1.000000000134516842e+00 0.000000000000000000e+00
1.194445382843508385e+07 1.000000000151036073e+00 0.000000000000000000e+00
1.229434740548801981e+07 1.000000000169537051e+00 0.000000000000000000e+00
1.265449055251050368e+07 1.000000000190270022e+00 0.000000000000000000e+00
1.302518351418111660e+07 1.000000000213515650e+00 0.000000000000000000e+00
1.340673533036361635e+07 1.000000000239590348e+00 0.000000000000000000e+00
1.379946409374797717e+07 1.000000000268846723e+00 0.000000000000000000e+00
1.420369721503815055e+07 1.000000000301682235e+00 0.000000000000000000e+00
1.461977169590851478e+07 1.000000000338540085e+00 0.000000000000000000e+00
1.504803440995584987e+07 1.000000000379917209e+00 0.000000000000000000e+00
1.548884239188134670e+07 1.000000000426369828e+00 0.000000000000000000e+00
1.594256313514404185e+07 1.000000000478521445e+00 0.000000000000000000e+00
1.640957489833307080e+07 1.000000000537069944e+00 0.000000000000000000e+00
1.689026702051510662e+07 1.000000000602798478e+00 0.000000000000000000e+00
1.738504024581887946e+07 1.000000000676584122e+00 0.000000000000000000e+00
1.789430705752837285e+07 1.000000000759412311e+00 0.000000000000000000e+00
1.841849202196240798e+07 1.000000000852387494e+00 0.000000000000000000e+00
1.895803214242760837e+07 1.000000000956749791e+00 0.000000000000000000e+00
1.951337722354025394e+07 1.000000001073891642e+00 0.000000000000000000e+00
2.008499024621973559e+07 1.000000001205375577e+00 0.000000000000000000e+00
2.067334775366751477e+07 1.000000001352955969e+00 0.000000000000000000e+00
2.127894024865204096e+07 1.000000001518602355e+00 0.000000000000000000e+00
2.190227260243212804e+07 1.000000001704525854e+00 0.000000000000000000e+00
2.254386447565865889e+07 1.000000001913208703e+00 0.000000000000000000e+00
2.320425075160592049e+07 1.000000002147437117e+00 0.000000000000000000e+00
