# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: aa2b4f9c5aa33be6
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":-0.05,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":false,"sampling_nTOp_per_decade":150,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983965267791319e-01 0.000000000000000000e+00
1.178433031761291809e+07 9.999983716350263618e-01 0.000000000000000000e+00
1.196692870656324737e+07 9.999983463555823793e-01 0.000000000000000000e+00
1.215235646050493419e+07 9.999983206823649384e-01 0.000000000000000000e+00
1.234065742049430311e+07 9.999982946091917624e-01 0.000000000000000000e+00
1.253187610690555163e+07 9.999982681297800990e-01 0.000000000000000000e+00
1.272605772995679639e+07 9.999982412377427243e-01 0.000000000000000000e+00
1.292324820039921999e+07 9.999982139265888303e-01 0.000000000000000000e+00
1.312349414037183113e+07 9.999981861897195845e-01 0.000000000000000000e+00
1.332684289442444220e+07 9.999981580204290177e-01 0.000000000000000000e+00
1.353334254071142524e+07 9.999981294118994724e-01 0.000000000000000000e+00
1.374304190235893987e+07 9.999981003572022686e-01 0.000000000000000000e+00
1.395599055900826678e+07 9.999980708492947068e-01 0.000000000000000000e+00
1.417223885853803717e+07 9.999980408810175136e-01 0.000000000000000000e+00
1.439183792896807566e+07 9.999980104450953977e-01 0.000000000000000000e+00
1.461483969054769725e+07 9.999979795341322752e-01 0.000000000000000000e+00
1.484129686803135276e+07 9.999979481406116033e-01 0.000000000000000000e+00
1.507126300314432755e+07 9.999979162568931601e-01 0.000000000000000000e+00
1.530479246724189445e+07 9.999978838752120458e-01 0.000000000000000000e+00
1.554194047416432761e+07 9.999978509876756849e-01 0.000000000000000000e+00
1.578276309329124913e+07 9.999978175862623830e-01 0.000000000000000000e+00
1.602731726279822551e+07 9.999977836628193284e-01 0.000000000000000000e+00
1.627566080311877280e+07 9.999977492090599274e-01 0.000000000000000000e+00
1.652785243061496504e+07 9.999977142165616950e-01 0.000000000000000000e+00
1.678395177145985141e+07 9.999976786767648118e-01 0.000000000000000000e+00
1.704401937573499978e+07 9.999976425809681269e-01 0.000000000000000000e+00
1.730811673174647242e+07 9.999976059203291578e-01 0.000000000000000000e+00
1.757630628056262806e+07 9.999975686858586510e-01 0.000000000000000000e+00
1.784865143077719212e+07 9.999975308684205810e-01 0.000000000000000000e+00
1.812521657350106537e+07 9.999974924587281544e-01 0.000000000000000000e+00
1.840606709758647159e+07 9.999974534473420329e-01 0.000000000000000000e+00
1.869126940508694202e+07 9.999974138246670030e-01 0.000000000000000000e+00
1.898089092695691064e+07 9.999973735809489783e-01 0.000000000000000000e+00
1.927500013899453729e+07 9.999973327062731121e-01 0.000000000000000000e+00
1.957366657803158462e+07 9.999972911905601336e-01 0.000000000000000000e+00
1.987696085837414861e+07 9.999972490235633504e-01 0.000000000000000000e+00
2.018495468849814311e+07 9.999972061948663171e-01 0.000000000000000000e+00
2.049772088800346479e+07 9.999971626938785052e-01 0.000000000000000000e+00
2.081533340483090654e+07 9.999971185098340820e-01 0.000000000000000000e+00
2.113786733274578676e+07 9.999970736317865816e-01 0.000000000000000000e+00
2.146539892909253761e+07 9.999970280486079055e-01 0.000000000000000000e+00
2.179800563282437995e+07 9.999969817489825497e-01 0.000000000000000000e+00
2.213576608281236142e+07 9.999969347214067161e-01 0.000000000000000000e+00
2.247876013643810898e+07 9.999968869541829841e-01 0.000000000000000000e+00
2.282706888847468048e+07 9.999968384354187556e-01 0.000000000000000000e+00
2.318077469025994465e+07 9.999967891530210373e-01 0.000000000000000000e+00
2.353996116916708648e+07 9.999967390946937762e-01 0.000000000000000000e+00
2.390471324837678671e+07 9.999966882479345287e-01 0.000000000000000000e+00
2.427511716695579141e+07 9.999966366000307971e-01 0.000000000000000000e+00
2.465126050024658069e+07 9.999965841380554776e-01 0.000000000000000000e+00
2.503323218057302758e+07 9.999965308488645288e-01 0.000000000000000000e+00
2.542112251826666296e+07 9.999964767190928638e-01 0.000000000000000000e+00
2.581502322301920131e+07 9.999964217351496876e-01 0.000000000000000000e+00
2.621502742556547374e+07 9.999963658832158320e-01 0.000000000000000000e+00
2.662122969970256090e+07 9.999963091492395373e-01 0.000000000000000000e+00
2.703372608465004340e+07 9.999962515189320111e-01 0.000000000000000000e+00
2.745261410775677487e+07 9.999961929777652081e-01 0.000000000000000000e+00
2.787799280755945295e+07 9.999961335109653904e-01 0.000000000000000000e+00
2.830996275719850883e+07 9.999960731035114625e-01 0.000000000000000000e+00
2.874862608819680288e+07 9.999960117401294202e-01 0.000000000000000000e+00
2.919408651460680366e+07 9.999959494052892417e-01 0.000000000000000000e+00
2.964644935753189772e+07 9.999958860832004470e-01 0.000000000000000000e+00
3.010582157002766803e+07 9.999958217578078790e-01 0.000000000000000000e+00
3.057231176238903776e+07 9.999957564127883725e-01 0.000000000000000000e+00
3.104603022782918811e+07 9.999956900315454256e-01 0.000000000000000000e+00
3.152708896855644137e+07 9.999956225972063129e-01 0.000000000000000000e+00
3.201560172225513682e+07 9.999955540926173114e-01 0.000000000000000000e+00
3.251168398897688091e+07 9.999954845003402593e-01 0.000000000000000000e+00
3.301545305844844505e+07 9.999954138026480033e-01 0.000000000000000000e+00
3.352702803780281544e+07 9.999953419815202915e-01 0.000000000000000000e+00
3.404652987973993272e+07 9.999952690186404425e-01 0.000000000000000000e+00
3.457408141112377495e+07 9.999951948953909042e-01 0.000000000000000000e+00
3.510980736202257872e+07 9.999951195928502568e-01 0.000000000000000000e+00
3.565383439519898593e+07 9.999950430917882160e-01 0.000000000000000000e+00
3.620629113605720550e+07 9.999949653726634136e-01 0.000000000000000000e+00
3.676730820305417478e+07 9.999948864156187334e-01 0.000000000000000000e+00
3.733701823858191818e+07 9.999948062004785365e-01 0.000000000000000000e+00
3.791555594032848626e+07 9.999947247067457745e-01 0.000000000000000000e+00
3.850305809312484413e+07 9.999946419135984366e-01 0.000000000000000000e+00
3.909966360128491372e+07 9.999945577998864410e-01 0.000000000000000000e+00
3.970551352144742757e+07 9.999944723441297478e-01 0.000000000000000000e+00
4.032075109592594206e+07 9.999943855245159163e-01 0.000000000000000000e+00
4.094552178657598794e+07 9.999942973188974404e-01 0.000000000000000000e+00
4.157997330918689817e+07 9.999942077047904165e-01 0.000000000000000000e+00
4.222425566840653867e+07 9.999941166593731001e-01 0.000000000000000000e+00
4.287852119320724159e+07 9.999940241594849066e-01 0.000000000000000000e+00
4.354292457290121913e+07 9.999939301816251902e-01 0.000000000000000000e+00
4.421762289371407777e+07 9.999938347019542428e-01 0.000000000000000000e+00
4.490277567592503130e+07 9.999937376962917401e-01 0.000000000000000000e+00
4.559854491158261150e+07 9.999936391401199609e-01 0.000000000000000000e+00
4.630509510280475020e+07 9.999935390085834541e-01 0.000000000000000000e+00
4.702259330067235976e+07 9.999934372764917034e-01 0.000000000000000000e+00
4.775120914472556859e+07 9.999933339183216807e-01 0.000000000000000000e+00
4.849111490307190269e+07 9.999932289082223980e-01 0.000000000000000000e+00
4.924248551311602443e+07 9.999931222200180159e-01 0.000000000000000000e+00
5.000549862292049825e+07 9.999930138272148383e-01 0.000000000000000000e+00
5.078033463320748508e+07 9.999929037030061973e-01 0.000000000000000000e+00
5.156717674001127481e+07 9.999927918202807797e-01 0.000000000000000000e+00
5.236621097799165547e+07 9.999926781516309537e-01 0.000000000000000000e+00
5.317762626441849768e+07 9.999925626693633163e-01 0.000000000000000000e+00
5.400161444383779913e+07 9.999924453455092399e-01 0.000000000000000000e+00
5.483837033342991769e+07 9.999923261518383066e-01 0.000000000000000000e+00
5.568809176907058060e+07 9.999922050598725187e-01 0.000000000000000000e+00
5.655097965210559964e+07 9.999920820409031741e-01 0.000000000000000000e+00
5.742723799685039371e+07 9.999919570660084078e-01 0.000000000000000000e+00
5.831707397882549465e+07 9.999918301060729542e-01 0.000000000000000000e+00
5.922069798373948038e+07 9.999917011318123494e-01 0.000000000000000000e+00
