# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: b46cf885c4c5bbc3
# fingerprint: {"QED_corrections":false,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":false,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":false,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 1.000000000134535272e+00 0.000000000000000000e+00
1.194445382843508385e+07 1.000000000151054724e+00 0.000000000000000000e+00
1.229434740548801981e+07 1.000000000169555481e+00 0.000000000000000000e+00
1.265449055251050368e+07 1.000000000190288008e+00 0.000000000000000000e+00
1.302518351418111660e+07 1.000000000213534079e+00 0.000000000000000000e+00
1.340673533036361635e+07 1.000000000239608333e+00 0.000000000000000000e+00
1.379946409374797717e+07 1.000000000268865374e+00 0.000000000000000000e+00
1.420369721503815055e+07 1.000000000301700442e+00 0.000000000000000000e+00
1.461977169590851478e+07 1.000000000338558293e+00 0.000000000000000000e+00
1.504803440995584987e+07 1.000000000379935639e+00 0.000000000000000000e+00
1.548884239188134670e+07 1.000000000426388258e+00 0.000000000000000000e+00
1.594256313514404185e+07 1.000000000478539430e+00 0.000000000000000000e+00
1.640957489833306894e+07 1.000000000537088374e+00 0.000000000000000000e+00
1.689026702051510662e+07 1.000000000602816685e+00 0.000000000000000000e+00
1.738504024581887946e+07 1.000000000676602552e+00 0.000000000000000000e+00
1.789430705752837285e+07 1.000000000759430741e+00 0.000000000000000000e+00
1.841849202196240798e+07 1.000000000852405702e+00 0.000000000000000000e+00
1.895803214242760837e+07 1.000000000956768442e+00 0.000000000000000000e+00
1.951337722354025394e+07 1.000000001073910294e+00 0.000000000000000000e+00
2.008499024621973559e+07 1.000000001205394229e+00 0.000000000000000000e+00
2.067334775366751477e+07 1.000000001352974177e+00 0.000000000000000000e+00
2.127894024865204096e+07 1.000000001518620785e+00 0.000000000000000000e+00
2.190227260243212804e+07 1.000000001704544283e+00 0.000000000000000000e+00
2.254386447565865889e+07 1.000000001913226910e+00 0.000000000000000000e+00
2.320425075160592049e+07 1.000000002147455547e+00 0.000000000000000000e+00
2.388398198209420219e+07 1.000000002410356581e+00 0.000000000000000000e+00
2.458362484647430480e+07 1.000000002705442093e+00 0.000000000000000000e+00
2.530376262405800447e+07 1.000000003036651819e+00 0.000000000000000000e+00
2.604499568038682267e+07 1.000000003408407778e+00 0.000000000000000000e+00
2.680794196774603799e+07 1.000000003825675332e+00 0.000000000000000000e+00
2.759323754033992812e+07 1.000000004294026690e+00 0.000000000000000000e+00
2.840153708455819264e+07 1.000000004819714849e+00 0.000000000000000000e+00
2.923351446477630734e+07 1.000000005409760639e+00 0.000000000000000000e+00
3.008986328514331579e+07 1.000000006072041536e+00 0.000000000000000000e+00
3.097129746782724559e+07 1.000000006815401576e+00 0.000000000000000000e+00
3.187855184819832072e+07 1.000000007649766598e+00 0.000000000000000000e+00
3.281238278744807094e+07 1.000000008586277689e+00 0.000000000000000000e+00
3.377356880315344781e+07 1.000000009637440401e+00 0.000000000000000000e+00
3.476291121831235290e+07 1.000000010817289953e+00 0.000000000000000000e+00
3.578123482939223200e+07 1.000000012141580630e+00 0.000000000000000000e+00
3.682938859394711256e+07 1.000000013627995843e+00 0.000000000000000000e+00
3.790824633837836981e+07 1.000000015296382827e+00 0.000000000000000000e+00
3.901870748642701656e+07 1.000000017169019983e+00 0.000000000000000000e+00
4.016169780900728703e+07 1.000000019270911977e+00 0.000000000000000000e+00
4.133817019600404799e+07 1.000000021630124802e+00 0.000000000000000000e+00
4.254910545068005472e+07 1.000000024278160815e+00 0.000000000000000000e+00
4.379551310735325515e+07 1.000000027250378620e+00 0.000000000000000000e+00
4.507843227302657813e+07 1.000000030586466693e+00 0.000000000000000000e+00
4.639893249367284775e+07 1.000000034330969845e+00 0.000000000000000000e+00
4.775811464589476585e+07 1.000000038533888302e+00 0.000000000000000000e+00
4.915711185470607877e+07 1.000000043251343840e+00 0.000000000000000000e+00
5.059709043819620460e+07 1.000000048546326070e+00 0.000000000000000000e+00
5.207925087986870110e+07 1.000000054489539769e+00 0.000000000000000000e+00
5.360482882946188748e+07 1.000000061160343234e+00 0.000000000000000000e+00
5.517509613308683038e+07 1.000000068647810103e+00 0.000000000000000000e+00
5.679136189354267716e+07 1.000000077051919289e+00 0.000000000000000000e+00
5.845497356169053912e+07 1.000000086484889694e+00 0.000000000000000000e+00
6.016731805979915708e+07 1.000000097072679228e+00 0.000000000000000000e+00
