# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: c24e5c7a9917484b
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":-0.01,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":false,"sampling_nTOp_per_decade":150,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983978228043080e-01 0.000000000000000000e+00
1.178433031761291809e+07 9.999983729922320430e-01 0.000000000000000000e+00
1.196692870656324737e+07 9.999983477768555895e-01 0.000000000000000000e+00
1.215235646050493419e+07 9.999983221707293701e-01 0.000000000000000000e+00
1.234065742049430311e+07 9.999982961678142157e-01 0.000000000000000000e+00
1.253187610690555163e+07 9.999982697619760330e-01 0.000000000000000000e+00
1.272605772995679639e+07 9.999982429469853606e-01 0.000000000000000000e+00
1.292324820039921999e+07 9.999982157165144825e-01 0.000000000000000000e+00
1.312349414037183113e+07 9.999981880641376497e-01 0.000000000000000000e+00
1.332684289442444220e+07 9.999981599833274171e-01 0.000000000000000000e+00
1.353334254071142524e+07 9.999981314674550870e-01 0.000000000000000000e+00
1.374304190235893987e+07 9.999981025097894882e-01 0.000000000000000000e+00
1.395599055900826678e+07 9.999980731034942005e-01 0.000000000000000000e+00
1.417223885853803717e+07 9.999980432416264442e-01 0.000000000000000000e+00
1.439183792896807566e+07 9.999980129171371912e-01 0.000000000000000000e+00
1.461483969054769725e+07 9.999979821228678345e-01 0.000000000000000000e+00
1.484129686803135276e+07 9.999979508515498550e-01 0.000000000000000000e+00
1.507126300314432755e+07 9.999979190958034891e-01 0.000000000000000000e+00
1.530479246724189445e+07 9.999978868481360639e-01 0.000000000000000000e+00
1.554194047416432761e+07 9.999978541009401090e-01 0.000000000000000000e+00
1.578276309329124913e+07 9.999978208464924689e-01 0.000000000000000000e+00
1.602731726279822551e+07 9.999977870769533039e-01 0.000000000000000000e+00
1.627566080311877280e+07 9.999977527843636471e-01 0.000000000000000000e+00
1.652785243061496504e+07 9.999977179606436284e-01 0.000000000000000000e+00
1.678395177145985141e+07 9.999976825975926964e-01 0.000000000000000000e+00
1.704401937573499978e+07 9.999976466868860658e-01 0.000000000000000000e+00
1.730811673174647242e+07 9.999976102200741623e-01 0.000000000000000000e+00
1.757630628056262806e+07 9.999975731885814012e-01 0.000000000000000000e+00
1.784865143077719212e+07 9.999975355837028568e-01 0.000000000000000000e+00
1.812521657350106537e+07 9.999974973966042624e-01 0.000000000000000000e+00
1.840606709758647159e+07 9.999974586183196790e-01 0.000000000000000000e+00
1.869126940508694202e+07 9.999974192397502737e-01 0.000000000000000000e+00
1.898089092695691064e+07 9.999973792516612114e-01 0.000000000000000000e+00
1.927500013899453729e+07 9.999973386446812107e-01 0.000000000000000000e+00
1.957366657803158462e+07 9.999972974093008782e-01 0.000000000000000000e+00
1.987696085837414861e+07 9.999972555358702664e-01 0.000000000000000000e+00
2.018495468849814311e+07 9.999972130145969862e-01 0.000000000000000000e+00
2.049772088800346479e+07 9.999971698355453187e-01 0.000000000000000000e+00
2.081533340483090654e+07 9.999971259886338837e-01 0.000000000000000000e+00
2.113786733274578676e+07 9.999970814636344185e-01 0.000000000000000000e+00
2.146539892909253761e+07 9.999970362501688914e-01 0.000000000000000000e+00
2.179800563282437995e+07 9.999969903377092795e-01 0.000000000000000000e+00
2.213576608281236142e+07 9.999969437155754592e-01 0.000000000000000000e+00
2.247876013643810898e+07 9.999968963729330973e-01 0.000000000000000000e+00
2.282706888847468048e+07 9.999968482987922069e-01 0.000000000000000000e+00
2.318077469025994465e+07 9.999967994820065931e-01 0.000000000000000000e+00
2.353996116916708648e+07 9.999967499112708547e-01 0.000000000000000000e+00
2.390471324837678671e+07 9.999966995751199406e-01 0.000000000000000000e+00
2.427511716695579141e+07 9.999966484619277063e-01 0.000000000000000000e+00
2.465126050024658069e+07 9.999965965599052486e-01 0.000000000000000000e+00
2.503323218057302758e+07 9.999965438570997955e-01 0.000000000000000000e+00
2.542112251826666296e+07 9.999964903413940398e-01 0.000000000000000000e+00
2.581502322301920131e+07 9.999964360005036967e-01 0.000000000000000000e+00
2.621502742556547374e+07 9.999963808219781702e-01 0.000000000000000000e+00
2.662122969970256090e+07 9.999963247931982213e-01 0.000000000000000000e+00
2.703372608465004340e+07 9.999962679013761901e-01 0.000000000000000000e+00
2.745261410775677487e+07 9.999962101335548859e-01 0.000000000000000000e+00
2.787799280755945295e+07 9.999961514766062542e-01 0.000000000000000000e+00
2.830996275719850883e+07 9.999960919172325990e-01 0.000000000000000000e+00
2.874862608819680288e+07 9.999960314419641394e-01 0.000000000000000000e+00
2.919408651460680366e+07 9.999959700371606752e-01 0.000000000000000000e+00
2.964644935753189772e+07 9.999959076890108101e-01 0.000000000000000000e+00
3.010582157002766803e+07 9.999958443835319510e-01 0.000000000000000000e+00
3.057231176238903776e+07 9.999957801065705310e-01 0.000000000000000000e+00
3.104603022782918811e+07 9.999957148438028964e-01 0.000000000000000000e+00
3.152708896855644137e+07 9.999956485807363071e-01 0.000000000000000000e+00
3.201560172225513682e+07 9.999955813027093798e-01 0.000000000000000000e+00
3.251168398897688091e+07 9.999955129948934207e-01 0.000000000000000000e+00
3.301545305844844505e+07 9.999954436422946458e-01 0.000000000000000000e+00
3.352702803780281544e+07 9.999953732297546249e-01 0.000000000000000000e+00
3.404652987973993272e+07 9.999953017419539458e-01 0.000000000000000000e+00
3.457408141112377495e+07 9.999952291634137680e-01 0.000000000000000000e+00
3.510980736202257872e+07 9.999951554784993757e-01 0.000000000000000000e+00
3.565383439519898593e+07 9.999950806714223983e-01 0.000000000000000000e+00
3.620629113605720550e+07 9.999950047262455843e-01 0.000000000000000000e+00
3.676730820305417478e+07 9.999949276268866871e-01 0.000000000000000000e+00
3.733701823858191818e+07 9.999948493571227948e-01 0.000000000000000000e+00
3.791555594032848626e+07 9.999947699005961033e-01 0.000000000000000000e+00
3.850305809312484413e+07 9.999946892408189125e-01 0.000000000000000000e+00
3.909966360128491372e+07 9.999946073611807318e-01 0.000000000000000000e+00
3.970551352144742757e+07 9.999945242449550520e-01 0.000000000000000000e+00
4.032075109592594206e+07 9.999944398753073393e-01 0.000000000000000000e+00
4.094552178657598794e+07 9.999943542353026960e-01 0.000000000000000000e+00
4.157997330918689817e+07 9.999942673079164068e-01 0.000000000000000000e+00
4.222425566840653867e+07 9.999941790760435989e-01 0.000000000000000000e+00
4.287852119320724159e+07 9.999940895225096771e-01 0.000000000000000000e+00
4.354292457290121913e+07 9.999939986300832029e-01 0.000000000000000000e+00
4.421762289371407777e+07 9.999939063814893281e-01 0.000000000000000000e+00
4.490277567592503130e+07 9.999938127594230064e-01 0.000000000000000000e+00
4.559854491158261150e+07 9.999937177465657578e-01 0.000000000000000000e+00
4.630509510280475020e+07 9.999936213256006567e-01 0.000000000000000000e+00
4.702259330067235976e+07 9.999935234792329819e-01 0.000000000000000000e+00
4.775120914472556859e+07 9.999934241902072030e-01 0.000000000000000000e+00
4.849111490307190269e+07 9.999933234413299621e-01 0.000000000000000000e+00
4.924248551311602443e+07 9.999932212154930555e-01 0.000000000000000000e+00
5.000549862292049825e+07 9.999931174956966373e-01 0.000000000000000000e+00
5.078033463320748508e+07 9.999930122650771969e-01 0.000000000000000000e+00
5.156717674001127481e+07 9.999929055069354256e-01 0.000000000000000000e+00
5.236621097799165547e+07 9.999927972047676361e-01 0.000000000000000000e+00
5.317762626441849768e+07 9.999926873422986251e-01 0.000000000000000000e+00
5.400161444383779913e+07 9.999925759035173112e-01 0.000000000000000000e+00
5.483837033342991769e+07 9.999924628727147047e-01 0.000000000000000000e+00
5.568809176907058060e+07 9.999923482345265402e-01 0.000000000000000000e+00
5.655097965210559964e+07 9.999922319739751320e-01 0.000000000000000000e+00
5.742723799685039371e+07 9.999921140765191119e-01 0.000000000000000000e+00
5.831707397882549465e+07 9.999919945281022793e-01 0.000000000000000000e+00
5.922069798373948038e+07 9.999918733152095562e-01 0.000000000000000000e+00
6.013832365723089874e+07 9.999917504249246081e-01 0.000000000000000000e+00
6.107016795538090169e+07 9.999916258449929041e-01 0.000000000000000000e+00
6.201645119600865245e+07 9.999914995638885529e-01 0.000000000000000000e+00
6.297739711076147109e+07 9.999913715708854678e-01 0.000000000000000000e+00
6.395323289801218361e+07 9.999912418561358596e-01 0.000000000000000000e+00
6.494418927657606453e+07 9.999911104107506166e-01 0.000000000000000000e+00
6.595050054026017338e+07 9.999909772268882335e-01 0.000000000000000000e+00
6.697240461325791478e+07 9.999908422978490696e-01 0.000000000000000000e+00
6.801014310640202463e+07 9.999907056181750464e-01 0.000000000000000000e+00
6.906396137428861856e+07 9.999905671837582277e-01 0.000000000000000000e+00
7.013410857328766584e+07 9.999904269919551725e-01 0.000000000000000000e+00
7.122083772045093775e+07 9.999902850417097255e-01 0.000000000000000000e+00
7.232440575333356857e+07 9.999901413336853562e-01 0.000000000000000000e+00
7.344507359074223042e+07 9.999899958704032699e-01 0.000000000000000000e+00
7.458310619442476332e+07 9.999898486563950639e-01 0.000000000000000000e+00
7.573877263171552122e+07 9.999896996983593800e-01 0.000000000000000000e+00
7.691234613915163279e+07 9.999895490053357650e-01 0.000000000000000000e+00
7.810410418707470596e+07 9.999893965888849712e-01 0.000000000000000000e+00
7.931432854523386061e+07 9.999892424632843557e-01 0.000000000000000000e+00
8.054330534940499067e+07 9.999890866457351590e-01 0.000000000000000000e+00
8.179132516904246807e+07 9.999889291565846605e-01 0.000000000000000000e+00
8.305868307597909868e+07 9.999887700195624340e-01 0.000000000000000000e+00
8.434567871419046819e+07 9.999886092620327016e-01 0.000000000000000000e+00
8.565261637064042687e+07 9.999884469152631183e-01 0.000000000000000000e+00
8.697980504722426832e+07 9.999882830147126533e-01 0.000000000000000000e+00
8.832755853382664919e+07 9.999881176003367900e-01 0.000000000000000000e+00
8.969619548251155019e+07 9.999879507169145976e-01 0.000000000000000000e+00
9.108603948286184669e+07 9.999877824143973415e-01 0.000000000000000000e+00
9.249741913848623633e+07 9.999876127482787425e-01 0.000000000000000000e+00
9.393066814471167326e+07 9.999874417799909931e-01 0.000000000000000000e+00
9.538612536747957766e+07 9.999872695773279752e-01 0.000000000000000000e+00
9.686413492346459627e+07 9.999870962148926790e-01 0.000000000000000000e+00
9.836504626143486798e+07 9.999869217745789296e-01 0.000000000000000000e+00
9.988921424487280846e+07 9.999867463460804240e-01 0.000000000000000000e+00
1.014369992358764559e+08 9.999865700274364055e-01 0.000000000000000000e+00
1.030087671803597659e+08 9.999863929256118666e-01 0.000000000000000000e+00
1.046048896945751756e+08 9.999862151571152769e-01 0.000000000000000000e+00
1.062257441529747695e+08 9.999860368486573892e-01 0.000000000000000000e+00
1.078717137774338573e+08 9.999858581378540112e-01 0.000000000000000000e+00
1.095431877278568894e+08 9.999856791739729633e-01 0.000000000000000000e+00
1.112405611941873878e+08 9.999855001187314407e-01 0.000000000000000000e+00
1.129642354898433983e+08 9.999853211471442238e-01 0.000000000000000000e+00
1.147146181466008723e+08 9.999851424484276219e-01 0.000000000000000000e+00
1.164921230109472573e+08 9.999849642269634797e-01 0.000000000000000000e+00
1.182971703419280052e+08 9.999847867033235804e-01 0.000000000000000000e+00
1.201301869105092436e+08 9.999846101153633260e-01 0.000000000000000000e+00
1.219916061004801840e+08 9.999844347193839189e-01 0.000000000000000000e+00
1.238818680109188110e+08 9.999842607913727033e-01 0.000000000000000000e+00
1.258014195602454841e+08 9.999840886283218877e-01 0.000000000000000000e+00
1.277507145918886960e+08 9.999839185496346428e-01 0.000000000000000000e+00
1.297302139815881997e+08 9.999837508986196832e-01 0.000000000000000000e+00
1.317403857463608384e+08 9.999835860440872137e-01 0.000000000000000000e+00
1.337817051551546305e+08 9.999834243820427959e-01 0.000000000000000000e+00
1.358546548412176967e+08 9.999832663374961239e-01 0.000000000000000000e+00
1.379597249162081480e+08 9.999831123663828203e-01 0.000000000000000000e+00
1.400974130860720873e+08 9.999829629576125756e-01 0.000000000000000000e+00
1.422682247687174082e+08 9.999828186352495152e-01 0.000000000000000000e+00
1.444726732135106027e+08 9.999826799608330097e-01 0.000000000000000000e+00
1.467112796226254404e+08 9.999825475358481430e-01 0.000000000000000000e+00
1.489845732742717564e+08 9.999824220043567191e-01 0.000000000000000000e+00
1.512930916478338540e+08 9.999823040557971332e-01 0.000000000000000000e+00
1.536373805509477854e+08 9.999821944279654318e-01 0.000000000000000000e+00
1.560179942485477626e+08 9.999820939101877748e-01 0.000000000000000000e+00
1.584354955939120650e+08 9.999820033466980673e-01 0.000000000000000000e+00
1.608904561617396772e+08 9.999819236402326394e-01 0.000000000000000000e+00
1.633834563832888305e+08 9.999818557558585175e-01 0.000000000000000000e+00
1.659150856836094260e+08 9.999818007250433904e-01 0.000000000000000000e+00
1.684859426209020317e+08 9.999817596499939176e-01 0.000000000000000000e+00
1.710966350280363262e+08 9.999817337082668178e-01 0.000000000000000000e+00
1.737477801562620401e+08 9.999817241576818283e-01 0.000000000000000000e+00
1.764400048211470246e+08 9.999817323415475245e-01 0.000000000000000000e+00
1.791739455507765412e+08 9.999817596942218723e-01 0.000000000000000000e+00
1.819502487362487614e+08 9.999818077470353783e-01 0.000000000000000000e+00
1.847695707845024765e+08 9.999818781345883867e-01 0.000000000000000000e+00
1.876325782735125422e+08 9.999819726014572696e-01 0.000000000000000000e+00
1.905399481098903120e+08 9.999820930093287208e-01 0.000000000000000000e+00
1.934923676889261007e+08 9.999822413445939029e-01 0.000000000000000000e+00
1.964905350571113229e+08 9.999824197264283177e-01 0.000000000000000000e+00
1.995351590771790445e+08 9.999826304153924816e-01 0.000000000000000000e+00
2.026269595957019329e+08 9.999828758225748349e-01 0.000000000000000000e+00
2.057666676132869124e+08 9.999831585193400540e-01 0.000000000000000000e+00
2.089550254574079216e+08 9.999834812476834367e-01 0.000000000000000000e+00
2.121927869579117596e+08 9.999838469312584133e-01 0.000000000000000000e+00
2.154807176252569854e+08 9.999842586871088290e-01 0.000000000000000000e+00
2.188195948314920366e+08 9.999847198381531799e-01 0.000000000000000000e+00
2.222102079940649271e+08 9.999852339264692080e-01 0.000000000000000000e+00
2.256533587624525726e+08 9.999858047274293726e-01 0.000000000000000000e+00
2.291498612077109218e+08 9.999864362647410410e-01 0.000000000000000000e+00
2.327005420149325728e+08 9.999871328264524628e-01 0.000000000000000000e+00
2.363062406787165999e+08 9.999878989819825925e-01 0.000000000000000000e+00
2.399678097016378045e+08 9.999887396002429263e-01 0.000000000000000000e+00
2.436861147958159745e+08 9.999896598689204108e-01 0.000000000000000000e+00
2.474620350875932574e+08 9.999906653149983615e-01 0.000000000000000000e+00
2.512964633253887594e+08 9.999917618265928843e-01 8.069177677284767952e-29
2.551903060907726884e+08 9.999929556761910643e-01 2.093056261507473232e-28
2.591444840128114223e+08 9.999942535453817394e-01 5.353803889811664928e-28
2.631599319857335687e+08 9.999956625511796648e-01 1.350720648661678878e-27
2.672375993899689615e+08 9.999971902740436569e-01 3.361865369654574197e-27
2.713784503166126013e+08 9.999988447877040665e-01 8.256492194312668375e-27
2.755834637953664660e+08 1.000000634690914492e+00 2.001237890732743543e-26
2.798536340260137916e+08 1.000002569141267728e+00 4.788238774133509514e-26
2.841899706134794354e+08 1.000004657891206072e+00 1.131127454637979980e-25
2.885934988065328598e+08 1.000006911326390524e+00 2.638696023011233637e-25
2.930652597401899099e+08 1.000009340506585520e+00 6.079829176291943520e-25
2.976063106818702817e+08 1.000011957209198332e+00 1.383880017648352921e-24
3.022177252813694477e+08 1.000014773975768767e+00 3.112362308045710891e-24
3.069005938247038126e+08 1.000017804161517310e+00 6.917431610087631346e-24
3.116560234918893576e+08 1.000021061988257465e+00 1.519636723159291749e-23
3.164851386187142134e+08 1.000024562600865030e+00 3.300280364566338040e-23
3.213890809625677466e+08 1.000028322127579195e+00 7.086843463941543387e-23
3.263690099723885655e+08 1.000032357744584433e+00 1.504940891753938632e-22
3.314261030627954006e+08 1.000036687745087693e+00 3.160990297265351601e-22
3.365615558924655318e+08 1.000041331613441997e+00 6.568034263170930396e-22
3.417765826468266249e+08 1.000046310104045988e+00 1.350288286619190781e-21
3.470724163251295090e+08 1.000051645326822003e+00 2.747044419772032586e-21
3.524503090319680572e+08 1.000057360838623843e+00 5.531222801310258611e-21
3.579115322733171582e+08 1.000063481741725546e+00 1.102452991469539541e-20
