# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: d1db5afd72a6651d
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007152e+06 9.999998335891300272e-01 0.000000000000000000e+00
1.194423774848161964e+06 9.999998287204107106e-01 0.000000000000000000e+00
1.229390259017469129e+06 9.999998237103024934e-01 0.000000000000000000e+00
1.265380379052794306e+06 9.999998185547805951e-01 0.000000000000000000e+00
1.302424101661148015e+06 9.999998132496926706e-01 0.000000000000000000e+00
1.340552270818068646e+06 9.999998077907501504e-01 0.000000000000000000e+00
1.379796633449450601e+06 9.999998021735236886e-01 0.000000000000000000e+00
1.420189865865226369e+06 9.999997963934348366e-01 0.000000000000000000e+00
1.461765600966865197e+06 9.999997904457493814e-01 0.000000000000000000e+00
1.504558456251363736e+06 9.999997843255706842e-01 0.000000000000000000e+00
1.548604062635073205e+06 9.999997780278321313e-01 0.000000000000000000e+00
1.593939094121308997e+06 9.999997715472920268e-01 0.000000000000000000e+00
1.640601298336490057e+06 9.999997648785251547e-01 0.000000000000000000e+00
1.688629527960198000e+06 9.999997580159185606e-01 0.000000000000000000e+00
1.738063773075376172e+06 9.999997509536655560e-01 0.000000000000000000e+00
1.788945194465545705e+06 9.999997436857606115e-01 0.000000000000000000e+00
1.841316157886786154e+06 9.999997362059943606e-01 0.000000000000000000e+00
1.895220269343055319e+06 9.999997285079503806e-01 0.000000000000000000e+00
1.950702411394152790e+06 9.999997205850016391e-01 0.000000000000000000e+00
2.007808780526589602e+06 9.999997124303076079e-01 0.000000000000000000e+00
2.066586925618517678e+06 9.999997040368123757e-01 0.000000000000000000e+00
2.127085787530675530e+06 9.999996953972417613e-01 0.000000000000000000e+00
2.189355739856346976e+06 9.999996865041046457e-01 0.000000000000000000e+00
2.253448630864310078e+06 9.999996773496889757e-01 0.000000000000000000e+00
2.319417826669610105e+06 9.999996679260630961e-01 0.000000000000000000e+00
2.387318255668149795e+06 9.999996582250751942e-01 0.000000000000000000e+00
2.457206454272137024e+06 9.999996482383526342e-01 0.000000000000000000e+00
2.529140613984378055e+06 9.999996379573012906e-01 0.000000000000000000e+00
2.603180629850666504e+06 9.999996273731052154e-01 0.000000000000000000e+00
2.679388150330644567e+06 9.999996164767249729e-01 0.000000000000000000e+00
2.757826628628573846e+06 9.999996052588961959e-01 0.000000000000000000e+00
2.838561375526837073e+06 9.999995937101274768e-01 0.000000000000000000e+00
2.921659613766088616e+06 9.999995818206948162e-01 0.000000000000000000e+00
3.007190534017433412e+06 9.999995695806398466e-01 0.000000000000000000e+00
3.095225352493126877e+06 9.999995569797609507e-01 0.000000000000000000e+00
3.185837370243811514e+06 9.999995440076078212e-01 0.000000000000000000e+00
3.279102034191722516e+06 9.999995306534716910e-01 0.000000000000000000e+00
3.375096999950573780e+06 9.999995169063755629e-01 0.000000000000000000e+00
3.473902196484477259e+06 9.999995027550615534e-01 0.000000000000000000e+00
3.575599892659796868e+06 9.999994881879780140e-01 0.000000000000000000e+00
3.680274765745237935e+06 9.999994731932645431e-01 0.000000000000000000e+00
3.788013971917252522e+06 9.999994577587354438e-01 0.000000000000000000e+00
3.898907218829544261e+06 9.999994418718632927e-01 0.000000000000000000e+00
4.013046840306964237e+06 9.999994255197592885e-01 0.000000000000000000e+00
4.130527873226046562e+06 9.999994086891551559e-01 0.000000000000000000e+00
4.251448136646280065e+06 9.999993913663842715e-01 0.000000000000000000e+00
4.375908313257860020e+06 9.999993735373595705e-01 0.000000000000000000e+00
4.504012033213795163e+06 9.999993551875562270e-01 0.000000000000000000e+00
4.635865960416263901e+06 9.999993363019900050e-01 0.000000000000000000e+00
4.771579881328906864e+06 9.999993168651991615e-01 0.000000000000000000e+00
4.911266796389074065e+06 9.999992968612254618e-01 0.000000000000000000e+00
5.055043014096228406e+06 9.999992762735963048e-01 0.000000000000000000e+00
5.203028247854683548e+06 9.999992550853060713e-01 0.000000000000000000e+00
5.355345715651390143e+06 9.999992332788031346e-01 0.000000000000000000e+00
5.512122242651852779e+06 9.999992108359708753e-01 0.000000000000000000e+00
5.673488366799422540e+06 9.999991877381163574e-01 0.000000000000000000e+00
5.839578447506044991e+06 9.999991639659547848e-01 0.000000000000000000e+00
6.010530777524835430e+06 9.999991394995980665e-01 0.000000000000000000e+00
6.186487698097817600e+06 9.999991143185421594e-01 0.000000000000000000e+00
6.367595717474482954e+06 9.999990884016561887e-01 0.000000000000000000e+00
6.554005632899941877e+06 9.999990617271709015e-01 0.000000000000000000e+00
6.745872656174374744e+06 9.999990342726684522e-01 0.000000000000000000e+00
6.943356542888090014e+06 9.999990060150711901e-01 0.000000000000000000e+00
7.146621725439900532e+06 9.999989769306305565e-01 0.000000000000000000e+00
7.355837449949711561e+06 9.999989469949153165e-01 0.000000000000000000e+00
7.571177917179075070e+06 9.999989161827991246e-01 0.000000000000000000e+00
7.792822427577140741e+06 9.999988844684470912e-01 0.000000000000000000e+00
8.020955530572948977e+06 9.999988518253006831e-01 0.000000000000000000e+00
8.255767178238056600e+06 9.999988182260609593e-01 0.000000000000000000e+00
8.497452883447702974e+06 9.999987836426704746e-01 0.000000000000000000e+00
8.746213882672000676e+06 9.999987480462931844e-01 0.000000000000000000e+00
9.002257303532974795e+06 9.999987114072919070e-01 0.000000000000000000e+00
9.265796337266651914e+06 9.999986736952041211e-01 0.000000000000000000e+00
9.537050416233910248e+06 9.999986348787140988e-01 0.000000000000000000e+00
9.816245396628113464e+06 9.999985949256269269e-01 0.000000000000000000e+00
1.010361374653128162e+07 9.999985538028354215e-01 0.000000000000000000e+00
1.039939473947557062e+07 9.999985114762894867e-01 0.000000000000000000e+00
1.070383465367138945e+07 9.999984679109639174e-01 0.000000000000000000e+00
1.101718697706771642e+07 9.999984230708222066e-01 0.000000000000000000e+00
1.133971261841546744e+07 9.999983769187826832e-01 0.000000000000000000e+00
1.167168012450993806e+07 9.999983294166846504e-01 0.000000000000000000e+00
1.201336590379273519e+07 9.999982805252513041e-01 0.000000000000000000e+00
1.236505445649960823e+07 9.999982302040572035e-01 0.000000000000000000e+00
1.272703861154604144e+07 9.999981784114928551e-01 0.000000000000000000e+00
1.309961977034736983e+07 9.999981251047317388e-01 0.000000000000000000e+00
1.348310815777668729e+07 9.999980702396970011e-01 0.000000000000000000e+00
1.387782308046972565e+07 9.999980137710313688e-01 0.000000000000000000e+00
1.428409319269130938e+07 9.999979556520619539e-01 0.000000000000000000e+00
1.470225676998497546e+07 9.999978958347728319e-01 0.000000000000000000e+00
1.513266199083390087e+07 9.999978342697699585e-01 0.000000000000000000e+00
1.557566722656711750e+07 9.999977709062530806e-01 0.000000000000000000e+00
1.603164133975265734e+07 9.999977056919817642e-01 0.000000000000000000e+00
1.650096399132637493e+07 9.999976385732434192e-01 0.000000000000000000e+00
1.698402595671162382e+07 9.999975694948204374e-01 0.000000000000000000e+00
1.748122945119322836e+07 9.999974983999549982e-01 0.000000000000000000e+00
1.799298846481704339e+07 9.999974252303159838e-01 0.000000000000000000e+00
1.851972910709329695e+07 9.999973499259611209e-01 0.000000000000000000e+00
1.906188996179104224e+07 9.999972724253016754e-01 0.000000000000000000e+00
1.961992245211946219e+07 9.999971926650667031e-01 0.000000000000000000e+00
2.019429121659941226e+07 9.999971105802650806e-01 0.000000000000000000e+00
2.078547449593874440e+07 9.999970261041494224e-01 0.000000000000000000e+00
2.139396453123306111e+07 9.999969391681819975e-01 0.000000000000000000e+00
2.202026797382412851e+07 9.999968497019993130e-01 0.000000000000000000e+00
2.266490630715640634e+07 9.999967576333792518e-01 0.000000000000000000e+00
2.332841628098354116e+07 9.999966628882117625e-01 0.000000000000000000e+00
2.401135035828592256e+07 9.999965653904692164e-01 0.000000000000000000e+00
2.471427717527209967e+07 9.999964650621824269e-01 0.000000000000000000e+00
2.543778201484620571e+07 9.999963618234180007e-01 0.000000000000000000e+00
2.618246729393604398e+07 9.999962555922609075e-01 0.000000000000000000e+00
2.694895306508802250e+07 9.999961462848010463e-01 0.000000000000000000e+00
2.773787753274573386e+07 9.999960338151244743e-01 0.000000000000000000e+00
2.854989758464243636e+07 9.999959180953107429e-01 0.000000000000000000e+00
2.938568933875045553e+07 9.999957990354385595e-01 0.000000000000000000e+00
3.024594870624187589e+07 9.999956765435954464e-01 0.000000000000000000e+00
3.113139197092977539e+07 9.999955505259008337e-01 0.000000000000000000e+00
3.204275638567303866e+07 9.999954208865352578e-01 0.000000000000000000e+00
3.298080078624019027e+07 9.999952875277846598e-01 0.000000000000000000e+00
3.394630622314398736e+07 9.999951503500944527e-01 0.000000000000000000e+00
3.494007661197337508e+07 9.999950092521422418e-01 0.000000000000000000e+00
3.596293940276323259e+07 9.999948641309264197e-01 0.000000000000000000e+00
3.701574626895964146e+07 9.999947148818741915e-01 0.000000000000000000e+00
3.809937381655522436e+07 9.999945613989724702e-01 0.000000000000000000e+00
3.921472431398352981e+07 9.999944035749249727e-01 0.000000000000000000e+00
4.036272644338091463e+07 9.999942413013381826e-01 0.000000000000000000e+00
4.154433607384214550e+07 9.999940744689389538e-01 0.000000000000000000e+00
4.276053705731222034e+07 9.999939029678299729e-01 0.000000000000000000e+00
4.401234204777763784e+07 9.999937266877885200e-01 0.000000000000000000e+00
4.530079334444013983e+07 9.999935455186097499e-01 0.000000000000000000e+00
4.662696375957339257e+07 9.999933593505067053e-01 0.000000000000000000e+00
4.799195751178593934e+07 9.999931680745673956e-01 0.000000000000000000e+00
4.939691114543503523e+07 9.999929715832843735e-01 0.000000000000000000e+00
5.084299447695536911e+07 9.999927697711562535e-01 0.000000000000000000e+00
5.233141156889118254e+07 9.999925625353794922e-01 0.000000000000000000e+00
5.386340173244398832e+07 9.999923497766368685e-01 0.000000000000000000e+00
5.544024055936867744e+07 9.999921313999945438e-01 0.000000000000000000e+00
5.706324098407810181e+07 9.999919073159256877e-01 0.000000000000000000e+00
5.873375437684158981e+07 9.999916774414709941e-01 0.000000000000000000e+00
6.045317166898543388e+07 9.999914417015571821e-01 0.000000000000000000e+00
6.222292451103405654e+07 9.999912000304933546e-01 0.000000000000000000e+00
6.404448646475479007e+07 9.999909523736626449e-01 0.000000000000000000e+00
6.591937423010069132e+07 9.999906986894416816e-01 0.000000000000000000e+00
6.784914890807065368e+07 9.999904389513680769e-01 0.000000000000000000e+00
6.983541730054014921e+07 9.999901731505914659e-01 0.000000000000000000e+00
7.187983324814344943e+07 9.999899012986444014e-01 0.000000000000000000e+00
7.398409900732341409e+07 9.999896234305656328e-01 0.000000000000000000e+00
7.614996666769285500e+07 9.999893396084305053e-01 0.000000000000000000e+00
7.837923961088877916e+07 9.999890499253277776e-01 0.000000000000000000e+00
8.067377401213566959e+07 9.999887545098476993e-01 0.000000000000000000e+00
8.303548038576523960e+07 9.999884535311355238e-01 0.000000000000000000e+00
8.546632517598097026e+07 9.999881472045887287e-01 0.000000000000000000e+00
8.796833239419335127e+07 9.999878357982717736e-01 0.000000000000000000e+00
9.054358530428627133e+07 9.999875196401385447e-01 0.000000000000000000e+00
9.319422815721915662e+07 9.999871991261647386e-01 0.000000000000000000e+00
9.592246797641080618e+07 9.999868747294946569e-01 0.000000000000000000e+00
9.873057639538833499e+07 9.999865470107390797e-01 0.000000000000000000e+00
