# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: d96e128c295e35f9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.03,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983399777067072e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982914226309694e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982414519873464e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981900250335398e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981370998789476e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980826334562423e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980265814955027e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979688985005666e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979095377239391e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978484511444776e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977855894446321e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977209019883517e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976543367992132e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975858405391049e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975153584872434e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974428345179689e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973682110806505e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972914291813675e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972124283614816e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971311466833157e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970475207140552e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969614855129807e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968729746236962e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967819200683561e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966882523469991e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965919004428772e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964927918315594e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963908525002498e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962860069696591e-01 0.000000000000000000e+00
