# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: e7b24a6c190e80ff
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":false,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983981482334361e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999983512354131410e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999983029500375542e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999982532521639600e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999982021006811328e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999981494532775850e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980952664119238e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999980394952823204e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979820937962005e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999979230145426001e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999978622087603020e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977996263101909e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999977352156435018e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999976689237713989e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999976006962331132e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999975304770634121e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999974582087588493e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999973838322454567e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999973072868425517e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999972285102314284e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999971474384204972e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999970640057130877e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999969781446772510e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999968897861148953e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999967988590365842e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999967052906358900e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999966090062683000e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999965099294342297e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999964079817654783e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999963030830160138e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999961951510601965e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999960841018940005e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999959698496470040e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999958523065997085e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999957313832110728e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999956069881578147e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999954790283845929e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999953474091680672e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999952120341981665e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999950728056771210e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999949296244380337e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999947823900887656e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999946310011808004e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999944753554094179e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999943153498478399e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999941508812193458e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999939818462131313e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999938081418500158e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999936296659032164e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999934463173815180e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999932579970837176e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999930646082320074e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999928660571952843e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999926622543151566e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999924531148415285e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999922385600018560e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999920185182100685e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999917929264401373e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999915617317813865e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999913248931989740e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999910823835257423e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999908341917130850e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999905803253743564e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999903208136554644e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999900557104743903e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999897850981750436e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999895090916472995e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999892278429687309e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999889415466350906e-01 0.000000000000000000e+00
8.508066442678131163e+07 9.999886504454504887e-01 0.000000000000000000e+00
8.757296574435649812e+07 9.999883548371591990e-01 0.000000000000000000e+00
9.013827502325230837e+07 9.999880550819105762e-01 0.000000000000000000e+00
9.277873091435243189e+07 9.999877516106588926e-01 0.000000000000000000e+00
9.549653471688136458e+07 9.999874449346151106e-01 0.000000000000000000e+00
9.829395221358637512e+07 9.999871356558762692e-01 0.000000000000000000e+00
1.011733155596781969e+08 9.999868244793835848e-01 0.000000000000000000e+00
1.041370252271060497e+08 9.999865122263654760e-01 0.000000000000000000e+00
1.071875520057871491e+08 9.999861998494518067e-01 0.000000000000000000e+00
1.103274390634579509e+08 9.999858884496670708e-01 0.000000000000000000e+00
1.135593040658666492e+08 9.999855792955261169e-01 0.000000000000000000e+00
1.168858413590708673e+08 9.999852738444996447e-01 0.000000000000000000e+00
1.203098242156668752e+08 9.999849737671323568e-01 0.000000000000000000e+00
1.238341071468138248e+08 9.999846809741429476e-01 0.000000000000000000e+00
1.274616282819872946e+08 9.999843976468744122e-01 0.000000000000000000e+00
1.311954118184435666e+08 9.999841262715006840e-01 0.000000000000000000e+00
1.350385705424373746e+08 9.999838696774516755e-01 0.000000000000000000e+00
1.389943084242920876e+08 9.999836310805786388e-01 0.000000000000000000e+00
1.430659232894937396e+08 9.999834141316341629e-01 0.000000000000000000e+00
1.472568095680249631e+08 9.999832229707241726e-01 0.000000000000000000e+00
1.515704611242395937e+08 9.999830622884602338e-01 0.000000000000000000e+00
1.560104741696303487e+08 9.999829373946377276e-01 0.000000000000000000e+00
1.605805502609273791e+08 9.999828542953561605e-01 0.000000000000000000e+00
1.652844993860153258e+08 9.999828197796246654e-01 0.000000000000000000e+00
1.701262431402502060e+08 9.999828415166053253e-01 0.000000000000000000e+00
1.751098179958217144e+08 9.999829281648083823e-01 0.000000000000000000e+00
1.802393786668825150e+08 9.999830894946942772e-01 0.000000000000000000e+00
1.855192015732608140e+08 9.999833365263327556e-01 0.000000000000000000e+00
1.909536884056296647e+08 9.999836816839591247e-01 0.000000000000000000e+00
1.965473697951165140e+08 9.999841389695016680e-01 0.000000000000000000e+00
2.023049090904033780e+08 9.999847241573994738e-01 0.000000000000000000e+00
2.082311062454790771e+08 9.999854550133232545e-01 0.000000000000000000e+00
2.143309018212690055e+08 9.999863515397412472e-01 0.000000000000000000e+00
2.206093811044900417e+08 9.999874362515535076e-01 0.000000000000000000e+00
2.270717783471610248e+08 9.999887344856612792e-01 0.000000000000000000e+00
2.337234811302981079e+08 9.999902747483991883e-01 0.000000000000000000e+00
2.405700348554467559e+08 9.999920891055501526e-01 0.000000000000000000e+00
2.476171473677769899e+08 9.999942136203807674e-01 0.000000000000000000e+00
2.548706937146100700e+08 9.999966888454178138e-01 1.973064503572541393e-28
2.623367210433326662e+08 9.999995603747409145e-01 1.140173620922212623e-27
2.700214536427979469e+08 1.000002879464083172e+00 6.280173806023960404e-27
2.779312981323959827e+08 1.000006703728378854e+00 3.301633944804590894e-26
2.860728488031346798e+08 1.000011097924219605e+00 1.658866604695333881e-25
2.944528931151782870e+08 1.000016134831504644e+00 7.975750929419456588e-25
3.030784173564286828e+08 1.000021896244943642e+00 3.674054786339376841e-24
3.119566124668592215e+08 1.000028474092400810e+00 1.623508217943671040e-23
3.210948800334758162e+08 1.000035971695050430e+00 6.889759395787866270e-23
3.305008384608782530e+08 1.000044505194176203e+00 2.811160679394027028e-22
3.401823293225855827e+08 1.000054205168704691e+00 1.104019180925244936e-21
3.501474238984055519e+08 1.000065218473637829e+00 4.177732160169656008e-21
3.604044299033194184e+08 1.000077710337520243e+00 1.524853625133377804e-20
3.709618984134646654e+08 1.000091866766540605e+00 5.373747122196092317e-20
3.818286309950104952e+08 1.000107897318071259e+00 1.830263366696127245e-19
3.930136870418622494e+08 1.000126038325923838e+00 6.030474352643345282e-19
4.045263913283039927e+08 1.000146556586442914e+00 1.923950131731274813e-18
4.163763417829000354e+08 1.000169753780088211e+00 5.948849379061203706e-18
4.285734174901039600e+08 1.000195971623415669e+00 1.784231662348506733e-17
4.411277869262718558e+08 1.000225597994615745e+00 5.195427946851559463e-17
4.540499164369260669e+08 1.000259074241297341e+00 1.469964612956837914e-16
4.673505789623640776e+08 1.000296903940723237e+00 4.044482930216150516e-16
4.810408630188527703e+08 1.000339663447533667e+00 1.083020664231357278e-15
4.951321819429209232e+08 1.000388014636850453e+00 2.824668655355439475e-15
5.096362834064487815e+08 1.000442720692933829e+00 7.181051916859430208e-15
5.245652592104764581e+08 1.000504665376387825e+00 1.780841463921146425e-14
5.399315553659272194e+08 1.000574873261002917e+00 4.311185856376090882e-14
5.557479824696080685e+08 1.000654539579238778e+00 1.019564974004314072e-13
5.720277263841720819e+08 1.000745063050144879e+00 2.357142800903445405e-13
5.887843592309185266e+08 1.000848086219253918e+00 5.331010378029298714e-13
6.060318507046331167e+08 1.000965544242123251e+00 1.180264126705175297e-12
6.237845797198551893e+08 1.001099723608338987e+00 2.559656514408551673e-12
6.420573463983147144e+08 1.001253337653564168e+00 5.441259345304991716e-12
6.608653844075227976e+08 1.001429606656170090e+00 1.134505240708737414e-11
6.802243736607878208e+08 1.001632355019263620e+00 2.321490968641522927e-11
7.001504533892848492e+08 1.001866137136987467e+00 4.664849730309611467e-11
7.206602355970234871e+08 1.002136369892579815e+00 9.210090070987779372e-11
7.417708189099742174e+08 1.002449514367594441e+00 1.787657494901066475e-10
7.634998028308640718e+08 1.002813276509970208e+00 3.412947586751631029e-10
7.858653024115747213e+08 1.003236871912504879e+00 6.412495086598175042e-10
8.088859633553140163e+08 1.003731167034016991e+00 1.186240037787232927e-09
8.325809775611968040e+08 1.004309103075716747e+00 2.161516207865723130e-09
8.569700991241761446e+08 1.004986118879433565e+00 3.881297246599312209e-09
8.820736608036700487e+08 1.005780508441036503e+00 6.870764674878993198e-09
9.079125909745934010e+08 1.006713752886737145e+00 1.199475614267639604e-08
9.345084310749771595e+08 1.007811369599490359e+00 2.065808101991064905e-08
9.618833535646533966e+08 1.009103542461258884e+00 3.511155573141996852e-08
9.900601804100320339e+08 1.010625416493706519e+00 5.890955558110022007e-08
1.019062402110335708e+09 1.012418684164872573e+00 9.759557293809002647e-08
1.048914197281219006e+09 1.014531918673563737e+00 1.596952621193697848e-07
1.079640452812016487e+09 1.017021907002948033e+00 2.581520264555930384e-07
1.111266784613485813e+09 1.019955206141979653e+00 4.123730647503061026e-07
1.143819558973324299e+09 1.023408811283060160e+00 6.510678552073455861e-07
