# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: fc7ffb157018ebb0
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"finite_mass_corrections":false,"format_version":1,"incomplete_decoupling":false,"munuOverTnu":0.0,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"opposite_neutrino_chemical_potential":false,"radiative_corrections":false,"sampling_nTOp_per_decade":80,"spectral_distortions":false,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007152e+06 1.000000000004528600e+00 0.000000000000000000e+00
1.194423774848161964e+06 1.000000000003999245e+00 0.000000000000000000e+00
1.229390259017469129e+06 1.000000000003379075e+00 0.000000000000000000e+00
1.265380379052794306e+06 1.000000000002668754e+00 0.000000000000000000e+00
1.302424101661148015e+06 1.000000000001870282e+00 0.000000000000000000e+00
1.340552270818068646e+06 1.000000000000988543e+00 0.000000000000000000e+00
1.379796633449450601e+06 1.000000000000028644e+00 0.000000000000000000e+00
1.420189865865226369e+06 9.999999999989986899e-01 0.000000000000000000e+00
1.461765600966865197e+06 9.999999999979083398e-01 0.000000000000000000e+00
1.504558456251363736e+06 9.999999999967689179e-01 0.000000000000000000e+00
1.548604062635073205e+06 9.999999999955935248e-01 0.000000000000000000e+00
1.593939094121308997e+06 9.999999999943973705e-01 0.000000000000000000e+00
1.640601298336490057e+06 9.999999999931963313e-01 0.000000000000000000e+00
1.688629527960198000e+06 9.999999999920080596e-01 0.000000000000000000e+00
1.738063773075376172e+06 9.999999999908512072e-01 0.000000000000000000e+00
1.788945194465545705e+06 9.999999999897449809e-01 0.000000000000000000e+00
1.841316157886786154e+06 9.999999999887088098e-01 0.000000000000000000e+00
1.895220269343055319e+06 9.999999999877616785e-01 0.000000000000000000e+00
1.950702411394152790e+06 9.999999999869226830e-01 0.000000000000000000e+00
2.007808780526589602e+06 9.999999999862095867e-01 0.000000000000000000e+00
2.066586925618517678e+06 9.999999999856389321e-01 0.000000000000000000e+00
2.127085787530675530e+06 9.999999999852250410e-01 0.000000000000000000e+00
2.189355739856346976e+06 9.999999999849803478e-01 0.000000000000000000e+00
2.253448630864310078e+06 9.999999999849139565e-01 0.000000000000000000e+00
2.319417826669610105e+06 9.999999999850328614e-01 0.000000000000000000e+00
2.387318255668149795e+06 9.999999999853399490e-01 0.000000000000000000e+00
2.457206454272137024e+06 9.999999999858348865e-01 0.000000000000000000e+00
2.529140613984378055e+06 9.999999999865136768e-01 0.000000000000000000e+00
2.603180629850666504e+06 9.999999999873685486e-01 0.000000000000000000e+00
2.679388150330644567e+06 9.999999999883877333e-01 0.000000000000000000e+00
2.757826628628573846e+06 9.999999999895569092e-01 0.000000000000000000e+00
2.838561375526837073e+06 9.999999999908578685e-01 0.000000000000000000e+00
2.921659613766088616e+06 9.999999999922698501e-01 0.000000000000000000e+00
3.007190534017433412e+06 9.999999999937696504e-01 0.000000000000000000e+00
3.095225352493126877e+06 9.999999999953322893e-01 0.000000000000000000e+00
3.185837370243811514e+06 9.999999999969318987e-01 0.000000000000000000e+00
3.279102034191722516e+06 9.999999999985417221e-01 0.000000000000000000e+00
3.375096999950573780e+06 1.000000000000135447e+00 0.000000000000000000e+00
3.473902196484477259e+06 1.000000000001687983e+00 0.000000000000000000e+00
3.575599892659796868e+06 1.000000000003175016e+00 0.000000000000000000e+00
3.680274765745237935e+06 1.000000000004575451e+00 0.000000000000000000e+00
3.788013971917252522e+06 1.000000000005869971e+00 0.000000000000000000e+00
3.898907218829544261e+06 1.000000000007043477e+00 0.000000000000000000e+00
4.013046840306964237e+06 1.000000000008084422e+00 0.000000000000000000e+00
