# T[K] Gamma_nTOp[1/tau_n] Gamma_pTOn[1/tau_n]
# fingerprint_hash: fe428de457b24b59
# fingerprint: {"QED_corrections":false,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"finite_mass_corrections":true,"format_version":1,"incomplete_decoupling":true,"munuOverTnu":0.02,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp_per_decade":80,"spectral_distortions":true,"y_SZ":0.0,"y_gray":0.0}
1.160451812155007198e+07 9.999983396593944418e-01 0.000000000000000000e+00
1.194445382843508385e+07 9.999982910754622312e-01 0.000000000000000000e+00
1.229434740548801981e+07 9.999982410733443405e-01 0.000000000000000000e+00
1.265449055251050368e+07 9.999981896120628821e-01 0.000000000000000000e+00
1.302518351418111660e+07 9.999981366494682389e-01 0.000000000000000000e+00
1.340673533036361635e+07 9.999980821422113086e-01 0.000000000000000000e+00
1.379946409374797717e+07 9.999980260457151937e-01 0.000000000000000000e+00
1.420369721503815055e+07 9.999979683141477782e-01 0.000000000000000000e+00
1.461977169590851478e+07 9.999979089003963040e-01 0.000000000000000000e+00
1.504803440995584987e+07 9.999978477560399481e-01 0.000000000000000000e+00
1.548884239188134670e+07 9.999977848313257311e-01 0.000000000000000000e+00
1.594256313514404185e+07 9.999977200751429818e-01 0.000000000000000000e+00
1.640957489833307080e+07 9.999976534349968027e-01 0.000000000000000000e+00
1.689026702051510662e+07 9.999975848569840897e-01 0.000000000000000000e+00
1.738504024581887946e+07 9.999975142857665533e-01 0.000000000000000000e+00
1.789430705752837285e+07 9.999974416645469599e-01 0.000000000000000000e+00
1.841849202196240798e+07 9.999973669350413763e-01 0.000000000000000000e+00
1.895803214242760837e+07 9.999972900374546336e-01 0.000000000000000000e+00
1.951337722354025394e+07 9.999972109104566798e-01 0.000000000000000000e+00
2.008499024621973559e+07 9.999971294911574882e-01 0.000000000000000000e+00
2.067334775366751477e+07 9.999970457150860748e-01 0.000000000000000000e+00
2.127894024865204096e+07 9.999969595161691815e-01 0.000000000000000000e+00
2.190227260243212804e+07 9.999968708267156225e-01 0.000000000000000000e+00
2.254386447565865889e+07 9.999967795774000745e-01 0.000000000000000000e+00
2.320425075160592049e+07 9.999966856972533069e-01 0.000000000000000000e+00
2.388398198209420219e+07 9.999965891136554097e-01 0.000000000000000000e+00
2.458362484647430480e+07 9.999964897523341278e-01 0.000000000000000000e+00
2.530376262405800447e+07 9.999963875373685251e-01 0.000000000000000000e+00
2.604499568038682267e+07 9.999962823911995313e-01 0.000000000000000000e+00
2.680794196774604172e+07 9.999961742346469284e-01 0.000000000000000000e+00
2.759323754033992812e+07 9.999960629869334428e-01 0.000000000000000000e+00
2.840153708455819264e+07 9.999959485657201608e-01 0.000000000000000000e+00
2.923351446477630734e+07 9.999958308871487178e-01 0.000000000000000000e+00
3.008986328514331579e+07 9.999957098658974752e-01 0.000000000000000000e+00
3.097129746782724559e+07 9.999955854152484669e-01 0.000000000000000000e+00
3.187855184819832072e+07 9.999954574471703328e-01 0.000000000000000000e+00
3.281238278744807094e+07 9.999953258724164629e-01 0.000000000000000000e+00
3.377356880315344781e+07 9.999951906006420144e-01 0.000000000000000000e+00
3.476291121831235290e+07 9.999950515405411355e-01 0.000000000000000000e+00
3.578123482939223200e+07 9.999949086000083920e-01 0.000000000000000000e+00
3.682938859394711256e+07 9.999947616863263944e-01 0.000000000000000000e+00
3.790824633837836981e+07 9.999946107063810707e-01 0.000000000000000000e+00
3.901870748642701656e+07 9.999944555669145752e-01 0.000000000000000000e+00
4.016169780900728703e+07 9.999942961748103931e-01 0.000000000000000000e+00
4.133817019600404054e+07 9.999941324374248541e-01 0.000000000000000000e+00
4.254910545068005472e+07 9.999939642629629422e-01 0.000000000000000000e+00
4.379551310735325515e+07 9.999937915609082850e-01 0.000000000000000000e+00
4.507843227302657813e+07 9.999936142425120966e-01 0.000000000000000000e+00
4.639893249367284775e+07 9.999934322213491766e-01 0.000000000000000000e+00
4.775811464589476585e+07 9.999932454139472959e-01 0.000000000000000000e+00
4.915711185470598191e+07 9.999930537405011810e-01 0.000000000000000000e+00
5.059709043819620460e+07 9.999928571256804233e-01 0.000000000000000000e+00
5.207925087986870110e+07 9.999926554995408612e-01 0.000000000000000000e+00
5.360482882946188748e+07 9.999924487985555333e-01 0.000000000000000000e+00
5.517509613308683038e+07 9.999922369667758604e-01 0.000000000000000000e+00
5.679136189354267716e+07 9.999920199571410429e-01 0.000000000000000000e+00
5.845497356169053912e+07 9.999917977329532137e-01 0.000000000000000000e+00
6.016731805979927629e+07 9.999915702695367781e-01 0.000000000000000000e+00
6.192982293779598922e+07 9.999913375561055862e-01 0.000000000000000000e+00
6.374395756338880956e+07 9.999910995978632533e-01 0.000000000000000000e+00
6.561123434705124050e+07 9.999908564183612736e-01 0.000000000000000000e+00
6.753321000289034843e+07 9.999906080621507876e-01 0.000000000000000000e+00
6.951148684645150602e+07 9.999903545977590902e-01 0.000000000000000000e+00
7.154771413053803146e+07 9.999900961210307360e-01 0.000000000000000000e+00
7.364358942016379535e+07 9.999898327588793157e-01 0.000000000000000000e+00
7.580086000778134167e+07 9.999895646734942023e-01 0.000000000000000000e+00
7.802132436996677518e+07 9.999892920670632179e-01 0.000000000000000000e+00
8.030683366677752137e+07 9.999890151870663990e-01 0.000000000000000000e+00
8.265929328502891958e+07 9.999887343322136912e-01 0.000000000000000000e+00
