# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 0c6cd1afde2fc026
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"format_version":1,"incomplete_decoupling":false,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.160451812155007198e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.303947249057686701e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.465186585531386919e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.646363939931250364e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.849944743879096583e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.078699291451200470e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.335740436884158105e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.624565953783069178e+07 0.000000000000000000e+00 0.000000000000000000e+00
2.949106132249086350e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.313777261620307341e+07 0.000000000000000000e+00 0.000000000000000000e+00
3.723541726610305905e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.183975534622605145e+07 0.000000000000000000e+00 0.000000000000000000e+00
4.701344193141789734e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.282687969728206843e+07 0.000000000000000000e+00 0.000000000000000000e+00
5.935917694820335507e+07 0.000000000000000000e+00 0.000000000000000000e+00
6.669922411013423651e+07 0.000000000000000000e+00 0.000000000000000000e+00
7.494690333688253164e+07 0.000000000000000000e+00 0.000000000000000000e+00
8.421444769002307951e+07 0.000000000000000000e+00 0.000000000000000000e+00
9.462796838792821765e+07 0.000000000000000000e+00 0.000000000000000000e+00
1.063291709064735919e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.194772832838327438e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.342512228694160879e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.508520310017161071e+08 0.000000000000000000e+00 0.000000000000000000e+00
1.695056087457580566e+08 4.735864166735618338e-07 9.234700725497259504e-44
1.904657909176121950e+08 7.402843642077922799e-07 2.046431393835572831e-39
2.140178002267987728e+08 1.145729731846207150e-06 1.541905748963142709e-35
2.404821285399788618e+08 1.725976137883218847e-06 4.438268981503964092e-32
2.702188980815315247e+08 2.579379043236747537e-06 5.425027964875263924e-29
3.036327619175156951e+08 3.834825357003785900e-06 3.089401687364220463e-26
3.411784104080032706e+08 5.701669638127550620e-06 8.892534354952097561e-24
3.833667585586618781e+08 8.451720286844040391e-06 1.395548345148877528e-21
4.307718984680742621e+08 1.254733543388623895e-05 1.276700707412840962e-19
4.840389114785345197e+08 1.874422733936157486e-05 7.225536812556974045e-18
5.438926463367916346e+08 2.796249084407309023e-05 2.672671805675548699e-16
6.111475828165042400e+08 4.192866697526633331e-05 6.794709926910079497e-15
6.867189150249601603e+08 6.326778631913478003e-05 1.240712028929731707e-13
7.716350052138688564e+08 9.654012668057818493e-05 1.694331823257267728e-12
8.670513775636543036e+08 1.484250930827893497e-04 1.793259089059740823e-11
9.742664423663172722e+08 2.303054329016033836e-04 1.517139092923828202e-10
1.094739164579016685e+09 3.589447975532323166e-04 1.060691949928028861e-09
1.230108917179098845e+09 5.583873280994655977e-04 6.276271150820791298e-09
1.382217789481770754e+09 8.635927251771021189e-04 3.243095665916319707e-08
1.553135653988366127e+09 1.319155803236048445e-03 1.479456406776086606e-07
1.745188332870666742e+09 1.985528437701437020e-03 6.127835148492149046e-07
1.960989247376270294e+09 2.947681977072951365e-03 2.287124433240041192e-06
2.203474980834823608e+09 4.306270667157484702e-03 7.637140863328136125e-06
2.475945239200693130e+09 6.223607479399385564e-03 2.271462669164499919e-05
2.782107752908548355e+09 8.957164324116877532e-03 5.988980528697942200e-05
3.126128731058926582e+09 1.291339298462345839e-02 1.393966639999623456e-04
3.512689554506026745e+09 1.879541876997717700e-02 2.824227961468698937e-04
3.947050479317934036e+09 2.792366191547982629e-02 4.830647106422454704e-04
4.435122217475556374e+09 4.282319455429944161e-02 6.231712672370484088e-04
4.983546368868432999e+09 6.821532593412152345e-02 2.789839624865168193e-04
5.599785799093060493e+09 1.130149032585855973e-01 -1.719468165313043674e-03
6.292226192899732590e+09 1.951216848862656339e-01 -8.131873387737333092e-03
7.070290165210536957e+09 3.484449186724589143e-01 -2.505084508012545702e-02
7.944565482512627602e+09 6.374030693198766695e-01 -6.515163556605343964e-02
8.926949139441949844e+09 1.186713993885635476e+00 -1.536683055517495122e-01
1.003080925112844467e+10 2.237597391949082581e+00 -3.400835059121764536e-01
1.127116696430667305e+10 4.237337994932880214e+00 -7.180801525700695187e-01
1.266490086260851479e+10 8.050369886573982114e+00 -1.465977262172818874e+00
