# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 0cdf34ae64b8f567
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":100.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.131280687539177249e-07 1.923708417841400285e-46
1.783011135732713044e+08 3.725319060414308630e-07 9.382166323187336514e-42
2.005894608715007603e+08 6.144170273621749107e-07 1.412721679403135227e-37
2.256639400975164175e+08 9.662042014279272408e-07 7.470449431181420725e-34
2.538728288070835173e+08 1.483986723940014414e-06 1.556591255665696163e-30
2.856079406335778236e+08 2.270356037868377734e-06 1.415028269006722779e-27
3.213100674705891013e+08 3.445958511920320434e-06 6.155963611164017880e-25
3.614751019489566088e+08 5.221673906128091200e-06 1.386148455022372601e-22
4.066609252477573752e+08 7.891512108175805968e-06 1.739539672662747747e-20
4.574951559090070128e+08 1.199738561153404422e-05 1.298186461346796904e-18
5.146838672849866748e+08 1.815209925328701792e-05 6.111227950756578727e-17
5.790213947010961771e+08 2.756861001402957574e-05 1.913608804021596494e-15
6.514013685530252457e+08 4.215993788982879618e-05 4.185749401202465821e-14
7.328291265848643780e+08 6.477650236684418699e-05 6.671723985191725692e-13
8.244356777512959242e+08 1.006802861054659025e-04 8.061030442445840397e-12
9.274934116180050373e+08 1.571038072340964244e-04 7.639796489112601986e-11
1.043433771499526024e+09 2.464742703410160106e-04 5.855355620426946029e-10
1.173867136809529066e+09 3.845140105488596628e-04 3.734717859578510205e-09
1.320605190783809423e+09 5.934964181732325841e-04 2.035629585920443864e-08
1.485686084257525444e+09 9.000120251388384410e-04 9.693126275089490001e-08
1.671402745014494658e+09 1.334798284193872316e-03 4.129176754405837154e-07
1.880334725917622328e+09 1.918627769975968407e-03 1.589343969885514833e-06
2.115384034182041407e+09 2.668591511909875272e-03 5.510176314686944185e-06
2.379815439449759007e+09 3.570799885205596259e-03 1.716064091254676722e-05
2.677301820533663750e+09 4.578419611506925196e-03 4.795058336581203709e-05
3.011975180684689045e+09 5.564287429864679668e-03 1.203317696228540774e-04
3.388484039969858170e+09 6.299834289752052896e-03 2.723957953791679475e-04
3.812058001925625801e+09 6.332933486666537590e-03 5.580453503366285912e-04
4.288580391299249172e+09 5.112240602268260103e-03 1.037771092498156970e-03
4.824669971796293259e+09 1.765362554393239136e-03 1.756155451846895966e-03
5.427772878871209145e+09 -4.826405506158745751e-03 2.707111037904756483e-03
6.106266044481631279e+09 -1.523823314822603942e-02 3.795618373688695174e-03
6.869573550347902298e+09 -2.908369966090969261e-02 5.014574426353187939e-03
7.728297525831991196e+09 -4.188144485982273069e-02 6.980772270953568281e-03
8.694365408571296692e+09 -3.861187551355842879e-02 1.263524571088068399e-02
9.781195613276195526e+09 1.824969383194416372e-02 3.214381321452105394e-02
1.100388390978551674e+10 2.135577510628849651e-01 9.432611612758470820e-02
1.237941309911894608e+10 7.330221101683740415e-01 2.733914208439393034e-01
1.392688889986894226e+10 1.979639607413164359e+00 7.476465556712286187e-01
1.566780532132795143e+10 4.782231090337144330e+00 1.925233142366691963e+00
1.762634320931091309e+10 1.076016465771045105e+01 4.717750771479550131e+00
1.982970611139097595e+10 2.328171661302731010e+01 1.108194796382342950e+01
2.230849812662348175e+10 4.879838229888135004e+01 2.507592923456812883e+01
2.509714898798648071e+10 1.001645218807147870e+02 5.529697355186096530e+01
2.823439228181358719e+10 2.026846901754968826e+02 1.193074078096863957e+02
3.176380344655600739e+10 4.037372539772547384e+02 2.518209839513110353e+02
3.573440502352600861e+10 7.969416167951688976e+02 5.242925390391064866e+02
4.020134756638687897e+10 1.559315103437428888e+03 1.073262827181828698e+03
4.522667566703415680e+10 3.032528162591559067e+03 2.173497609795198969e+03
5.088018973775251007e+10 5.858434172597274483e+03 4.362122773847428107e+03
5.724041551956611633e+10 1.126915876503516483e+04 8.667022794417183832e+03
6.439569478298348236e+10 2.159303539202123648e+04 1.710364709781468264e+04
7.244541237066476440e+10 4.120997569511472102e+04 3.350278111197062390e+04
8.150137662529786682e+10 7.843440605524760031e+04 6.522413297287184832e+04
9.168937237644023132e+10 1.488919888267950155e+05 1.263418462040635495e+05
1.031509080568829041e+11 2.818165924263203633e+05 2.437540671936993604e+05
1.160451812155009613e+11 5.322442339447496925e+05 4.676847807797406567e+05
