# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 0eccbdd5dbb5dd93
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.213391610911369559e-07 1.923445690102213204e-46
1.783011135732713044e+08 3.722351528471856710e-07 9.377523104746859771e-42
2.005894608715007603e+08 6.105663274393562655e-07 1.412374415717744829e-37
2.256639400975164175e+08 9.618502833498290751e-07 7.475491020618934282e-34
2.538728288070835173e+08 1.490718949709195272e-06 1.557322615296461248e-30
2.856079406335778236e+08 2.272130209209832952e-06 1.415828762839432559e-27
3.213100674705891013e+08 3.453632241011260263e-06 6.152621387181806318e-25
3.614751019489566088e+08 5.228220384666652639e-06 1.385573717157832004e-22
4.066609252477573752e+08 7.915986527904759977e-06 1.739460697912287115e-20
4.574951559090070128e+08 1.195296182332261183e-05 1.297601384558037326e-18
5.146838672849866748e+08 1.807120308282812531e-05 6.108123756678530697e-17
5.790213947010961771e+08 2.747919459093028222e-05 1.913435225969779310e-15
6.514013685530252457e+08 4.207414692213279594e-05 4.182332508800762572e-14
7.328291265848643780e+08 6.478284353751433860e-05 6.673919296500732073e-13
8.244356777512959242e+08 1.005790250330097232e-04 8.062358467840803010e-12
9.274934116180050373e+08 1.569148673812487712e-04 7.638610870062664101e-11
1.043433771499526024e+09 2.465978602050217803e-04 5.858448064721871203e-10
1.173867136809529066e+09 3.847186576419749874e-04 3.733321633483067008e-09
1.320605190783809423e+09 5.932075053477139795e-04 2.034987265647721481e-08
1.485686084257525444e+09 9.013210360008371436e-04 9.697103215269829433e-08
1.671402745014494658e+09 1.333844305580360106e-03 4.130522463462197450e-07
1.880334725917622328e+09 1.919888484403330185e-03 1.589791501911968388e-06
2.115384034182041407e+09 2.668709219741481533e-03 5.509879169894543554e-06
2.379815439449759007e+09 3.571609104642308602e-03 1.716139206185888678e-05
2.677301820533663750e+09 4.581609240782834151e-03 4.795764614325911831e-05
3.011975180684689045e+09 5.560100389820019258e-03 1.203904149420566440e-04
3.388484039969858170e+09 6.277069662032008779e-03 2.723268889324199503e-04
3.812058001925625801e+09 6.319415175978533930e-03 5.580121402725514781e-04
4.288580391299249172e+09 5.107599405814065505e-03 1.037927615487785641e-03
4.824669971796293259e+09 1.732015958993570262e-03 1.753424747132673826e-03
5.427772878871209145e+09 -4.813741218293220159e-03 2.704825857953441909e-03
6.106266044481631279e+09 -1.523738621850325228e-02 3.803058740190089562e-03
6.869573550347902298e+09 -2.910899085596855770e-02 5.037744372221408459e-03
7.728297525831991196e+09 -4.152733724590673692e-02 6.981884983804784867e-03
8.694365408571296692e+09 -3.823134180130027121e-02 1.260083257193141994e-02
9.781195613276195526e+09 1.813733513895104954e-02 3.199115892688689927e-02
1.100388390978551674e+10 2.135335501727505525e-01 9.406533673489686498e-02
1.237941309911894608e+10 7.370493534098068178e-01 2.731435285651913625e-01
1.392688889986894226e+10 1.980527435157273919e+00 7.501097190919872038e-01
1.566780532132795143e+10 4.777267861115181091e+00 1.927777806967124530e+00
1.762634320931091309e+10 1.077705897959034154e+01 4.708525849708218303e+00
1.982970611139097595e+10 2.330178239321100264e+01 1.105889758409123402e+01
2.230849812662348175e+10 4.885919858186865383e+01 2.511294859240335953e+01
2.509714898798648071e+10 1.003120986835588155e+02 5.532010814045145963e+01
2.823439228181358719e+10 2.024819885350127606e+02 1.193074993524048466e+02
3.176380344655600739e+10 4.034494489424587300e+02 2.520141574595023997e+02
3.573440502352600861e+10 7.969487234864466245e+02 5.238679718674451351e+02
4.020134756638687897e+10 1.559268063626728690e+03 1.073673980018346811e+03
4.522667566703415680e+10 3.029754555544700452e+03 2.173777229824034748e+03
5.088018973775251007e+10 5.859106659969592329e+03 4.361330430765987330e+03
5.724041551956611633e+10 1.126869079226185204e+04 8.666747074055569101e+03
6.439569478298348236e+10 2.159261240633071793e+04 1.710582366385705973e+04
7.244541237066476440e+10 4.122137370133995864e+04 3.348349362601374014e+04
8.150137662529786682e+10 7.839910253030685999e+04 6.521776766998508538e+04
9.168937237644023132e+10 1.489016017839005799e+05 1.263168566744273849e+05
1.031509080568829041e+11 2.817639993836722570e+05 2.435942249218663783e+05
1.160451812155009613e+11 5.326696943318420090e+05 4.678269784394229064e+05
