# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: a76b4e267077eae2
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":false,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.176257342801047767e-07 1.879274390938648073e-46
1.783011135732713044e+08 3.742352586163169469e-07 9.176977330611231745e-42
2.005894608715007603e+08 6.065995941347778197e-07 1.383324077576768082e-37
2.256639400975164175e+08 9.494703867007570427e-07 7.319825401978500941e-34
2.538728288070835173e+08 1.483162056697086564e-06 1.527712761784632706e-30
2.856079406335778236e+08 2.272998998234872551e-06 1.391481385301163055e-27
3.213100674705891013e+08 3.437257116359559110e-06 6.053880846012986684e-25
3.614751019489566088e+08 5.187046805665866907e-06 1.365419550090321100e-22
4.066609252477573752e+08 7.846045195898055324e-06 1.716910253998727351e-20
4.574951559090070128e+08 1.188091097335666517e-05 1.283403707905719330e-18
5.146838672849866748e+08 1.798817927388770459e-05 6.048986785554356365e-17
5.790213947010961771e+08 2.734235197881456725e-05 1.896564789086264112e-15
6.514013685530252457e+08 4.167233579945714612e-05 4.155948906141976242e-14
7.328291265848643780e+08 6.427543533395158959e-05 6.636034829135996672e-13
8.244356777512959242e+08 9.968872044134096863e-05 8.037756831611121955e-12
9.274934116180050373e+08 1.559292133622321966e-04 7.622891215702370549e-11
1.043433771499526024e+09 2.442272145699157814e-04 5.852144775618549418e-10
1.173867136809529066e+09 3.807839925164419070e-04 3.735147092147263194e-09
1.320605190783809423e+09 5.878187370506439760e-04 2.037030996166485977e-08
1.485686084257525444e+09 8.912532876949703312e-04 9.703416793636101955e-08
1.671402745014494658e+09 1.318709879905999999e-03 4.134438503218291804e-07
1.880334725917622328e+09 1.894788746792861822e-03 1.591184901637052502e-06
2.115384034182041407e+09 2.628841226663001986e-03 5.521157067934838053e-06
2.379815439449759007e+09 3.507890827661106371e-03 1.722699593580396784e-05
2.677301820533663750e+09 4.474027677498227003e-03 4.825078966118184889e-05
3.011975180684689045e+09 5.388759351720265670e-03 1.216632207467056273e-04
3.388484039969858170e+09 6.022984322922506767e-03 2.768477376121294574e-04
3.812058001925625801e+09 5.893811716672180470e-03 5.711900214556873360e-04
4.288580391299249172e+09 4.391981714528325059e-03 1.074366324392680245e-03
4.824669971796293259e+09 6.058192998749239999e-04 1.845955468253849142e-03
5.427772878871209145e+09 -6.560708574634199763e-03 2.910997633754995768e-03
6.106266044481631279e+09 -1.812922572300001631e-02 4.230818079664033088e-03
6.869573550347902298e+09 -3.348422745069531969e-02 5.907752403072514223e-03
7.728297525831991196e+09 -4.877607776870708511e-02 8.565267531895601888e-03
8.694365408571296692e+09 -4.915834174342759849e-02 1.546542171214090704e-02
9.781195613276195526e+09 -5.593434708435901515e-04 3.743851717990281242e-02
1.100388390978551674e+10 1.865182542013884281e-01 1.028275557410603114e-01
1.237941309911894608e+10 6.921887470375085449e-01 2.876661609309078549e-01
1.392688889986894226e+10 1.914512441648090091e+00 7.694904785656692114e-01
1.566780532132795143e+10 4.661468451763000509e+00 1.961603216865621668e+00
1.762634320931091309e+10 1.058903572162422080e+01 4.754645042891493922e+00
1.982970611139097595e+10 2.302689658969359954e+01 1.112942589094655155e+01
2.230849812662348175e+10 4.846254512550257942e+01 2.521043530102476637e+01
2.509714898798648071e+10 9.981118446064905925e+01 5.547190932421656839e+01
2.823439228181358719e+10 2.014923368853692125e+02 1.192612012062837294e+02
3.176380344655600739e+10 4.022865052354241016e+02 2.521269592602019998e+02
3.573440502352600861e+10 7.946855446794409090e+02 5.238097420429375006e+02
4.020134756638687897e+10 1.556533745441218798e+03 1.072909321900251143e+03
4.522667566703415680e+10 3.025085295655061600e+03 2.174192794429499827e+03
5.088018973775251007e+10 5.854658522806217661e+03 4.361645175964580631e+03
5.724041551956611633e+10 1.126105476040865324e+04 8.658058143076719716e+03
6.439569478298348236e+10 2.156462648144974082e+04 1.709553699171636617e+04
7.244541237066476440e+10 4.118617399500495230e+04 3.347766325507184956e+04
8.150137662529786682e+10 7.840262558420836285e+04 6.522630013847399096e+04
9.168937237644023132e+10 1.488919318855530873e+05 1.263552712446081860e+05
1.031509080568829041e+11 2.818711646473540459e+05 2.436964026599842473e+05
1.160451812155009613e+11 5.324325527206186671e+05 4.678719239405320841e+05
