# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: e87eaa48ded545f7
# fingerprint: {"QED_corrections":false,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":false,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.584893192461110950e+08 2.173099243588541048e-07 1.867970176862054483e-46
1.783011135732713044e+08 3.712964314552976462e-07 9.126988647833844461e-42
2.005894608715007603e+08 6.091349808160104334e-07 1.375750003375007617e-37
2.256639400975164175e+08 9.614660011994959975e-07 7.288005843584565789e-34
2.538728288070835173e+08 1.472161905598885801e-06 1.520326355492392232e-30
2.856079406335778236e+08 2.252981582115777297e-06 1.384805845928844820e-27
3.213100674705891013e+08 3.421128703915971043e-06 6.027883146104097178e-25
3.614751019489566088e+08 5.198314938782033794e-06 1.360235312660105876e-22
4.066609252477573752e+08 7.815991544962117653e-06 1.709569049021957830e-20
4.574951559090070128e+08 1.186450187975866392e-05 1.278949911722536233e-18
5.146838672849866748e+08 1.791962768492918537e-05 6.032843297342240813e-17
5.790213947010961771e+08 2.723914069020964978e-05 1.892989941566602058e-15
6.514013685530252457e+08 4.167146002820923254e-05 4.147867798801721085e-14
7.328291265848643780e+08 6.410709828951624361e-05 6.628429692519353849e-13
8.244356777512959242e+08 9.960960411707456307e-05 8.028561501931853189e-12
9.274934116180050373e+08 1.554958821205132597e-04 7.621731199496470164e-11
1.043433771499526024e+09 2.438607079443815158e-04 5.851902166107265678e-10
1.173867136809529066e+09 3.803716192439779886e-04 3.734503089496366731e-09
1.320605190783809423e+09 5.864068369514189054e-04 2.036683694739483086e-08
1.485686084257525444e+09 8.898356771875779933e-04 9.705526143440694665e-08
1.671402745014494658e+09 1.316540056555648344e-03 4.135842559986141036e-07
1.880334725917622328e+09 1.891009368604345316e-03 1.591762336501399152e-06
2.115384034182041407e+09 2.621342329701044273e-03 5.526634508789422826e-06
2.379815439449759007e+09 3.499238449775598711e-03 1.724095813308344993e-05
2.677301820533663750e+09 4.460734109484655770e-03 4.831270207133830192e-05
3.011975180684689045e+09 5.374529898698333918e-03 1.217980615556538457e-04
3.388484039969858170e+09 5.974594830186652668e-03 2.774720910518520007e-04
3.812058001925625801e+09 5.837019577674011639e-03 5.730224222586540036e-04
4.288580391299249172e+09 4.319656225795607749e-03 1.076941201045265601e-03
4.824669971796293259e+09 5.481249718715403701e-04 1.853019197913530636e-03
5.427772878871209145e+09 -6.738276818201929461e-03 2.929027580674857870e-03
6.106266044481631279e+09 -1.827355365985925198e-02 4.267844279316811672e-03
6.869573550347902298e+09 -3.390841653973498265e-02 5.964649628474796329e-03
7.728297525831991196e+09 -4.926564713515729776e-02 8.729819094408512031e-03
8.694365408571296692e+09 -4.994723085363087650e-02 1.580162330022908540e-02
9.781195613276195526e+09 -2.343334615326903014e-04 3.761404031312387541e-02
1.100388390978551674e+10 1.836050356545257667e-01 1.031492642882300692e-01
1.237941309911894608e+10 6.910457694719061017e-01 2.884380470217769443e-01
1.392688889986894226e+10 1.914492714043048327e+00 7.692935657133213034e-01
1.566780532132795143e+10 4.662248630905337698e+00 1.961978216072674197e+00
1.762634320931091309e+10 1.060118188753897428e+01 4.755399599525226506e+00
1.982970611139097595e+10 2.301206141035121888e+01 1.114377860915363350e+01
2.230849812662348175e+10 4.836652238565203987e+01 2.514913447342626540e+01
2.509714898798648071e+10 9.966331075454999677e+01 5.545339612444066546e+01
2.823439228181358719e+10 2.015652975626157968e+02 1.192497743770135799e+02
3.176380344655600739e+10 4.022318641151760517e+02 2.518586211978845881e+02
3.573440502352600861e+10 7.949135397076645404e+02 5.238530551039019656e+02
4.020134756638687897e+10 1.555603212348422630e+03 1.073986501523809693e+03
4.522667566703415680e+10 3.026742704846953529e+03 2.173543326290897312e+03
5.088018973775251007e+10 5.848461612481636621e+03 4.360193686194212205e+03
5.724041551956611633e+10 1.125535519172562090e+04 8.666030419554916080e+03
6.439569478298348236e+10 2.157191897559421704e+04 1.708685643054330649e+04
7.244541237066476440e+10 4.117860652781713725e+04 3.347898848804413137e+04
8.150137662529786682e+10 7.839060880574236216e+04 6.520245332682262961e+04
9.168937237644023132e+10 1.487947326483229990e+05 1.263300303386574669e+05
1.031509080568829041e+11 2.816425428974670358e+05 2.436635133031656442e+05
1.160451812155009613e+11 5.325791072611679556e+05 4.675684535325168399e+05
