# B10 + d > C11 + n   [B10_d__C11_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.4225 beta=0 gamma=-75.0208  Q=6.4648
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.041981e-35   1.000000e+02
1.037605e-03   1.084742e-35   1.000000e+02
1.056935e-03   1.128366e-35   1.000000e+02
1.076624e-03   1.172950e-35   1.000000e+02
1.096681e-03   1.218611e-35   1.000000e+02
1.117111e-03   1.265482e-35   1.000000e+02
1.137921e-03   1.313719e-35   1.000000e+02
1.159120e-03   1.363497e-35   1.000000e+02
1.180713e-03   1.415013e-35   1.000000e+02
1.202708e-03   1.468490e-35   1.000000e+02
1.225114e-03   1.524178e-35   1.000000e+02
1.247936e-03   1.582355e-35   1.000000e+02
1.271184e-03   1.643334e-35   1.000000e+02
1.294865e-03   1.707461e-35   1.000000e+02
1.318987e-03   1.775124e-35   1.000000e+02
1.343558e-03   1.846753e-35   1.000000e+02
1.368587e-03   1.922832e-35   1.000000e+02
1.394083e-03   2.003898e-35   1.000000e+02
1.420053e-03   2.090555e-35   1.000000e+02
1.446507e-03   2.183477e-35   1.000000e+02
1.473454e-03   2.283425e-35   1.000000e+02
1.500903e-03   2.391252e-35   1.000000e+02
1.528864e-03   2.507923e-35   1.000000e+02
1.557345e-03   2.634530e-35   1.000000e+02
1.586357e-03   2.772310e-35   1.000000e+02
1.615909e-03   2.922669e-35   1.000000e+02
1.646012e-03   3.087213e-35   1.000000e+02
1.676675e-03   3.267776e-35   1.000000e+02
1.707910e-03   3.466461e-35   1.000000e+02
1.739726e-03   3.685688e-35   1.000000e+02
1.772136e-03   3.928244e-35   1.000000e+02
1.805149e-03   4.197357e-35   1.000000e+02
1.838777e-03   4.496768e-35   1.000000e+02
1.873032e-03   4.830831e-35   1.000000e+02
1.907924e-03   5.204629e-35   1.000000e+02
1.943467e-03   5.624111e-35   1.000000e+02
1.979672e-03   6.096266e-35   1.000000e+02
2.016551e-03   6.629327e-35   1.000000e+02
2.054117e-03   7.233031e-35   1.000000e+02
2.092383e-03   7.918922e-35   1.000000e+02
2.131362e-03   8.700746e-35   1.000000e+02
2.171068e-03   9.594917e-35   1.000000e+02
2.211512e-03   1.062111e-34   1.000000e+02
2.252711e-03   1.180300e-34   1.000000e+02
2.294676e-03   1.316916e-34   1.000000e+02
2.337424e-03   1.475424e-34   1.000000e+02
2.380968e-03   1.660040e-34   1.000000e+02
2.425323e-03   1.875912e-34   1.000000e+02
2.470504e-03   2.129358e-34   1.000000e+02
2.516527e-03   2.428156e-34   1.000000e+02
2.563407e-03   2.781929e-34   1.000000e+02
2.611161e-03   3.202629e-34   1.000000e+02
2.659804e-03   3.705169e-34   1.000000e+02
2.709354e-03   4.308241e-34   1.000000e+02
2.759826e-03   5.035380e-34   1.000000e+02
2.811239e-03   5.916356e-34   1.000000e+02
2.863610e-03   6.989016e-34   1.000000e+02
2.916956e-03   8.301700e-34   1.000000e+02
2.971296e-03   9.916467e-34   1.000000e+02
3.026648e-03   1.191346e-33   1.000000e+02
3.083031e-03   1.439864e-33   1.000000e+02
3.140465e-03   1.751386e-33   1.000000e+02
3.198969e-03   2.144848e-33   1.000000e+02
3.258562e-03   2.645713e-33   1.000000e+02
3.319266e-03   3.288502e-33   1.000000e+02
3.381101e-03   4.120404e-33   1.000000e+02
3.444087e-03   5.206494e-33   1.000000e+02
3.508247e-03   6.637310e-33   1.000000e+02
3.573602e-03   8.539991e-33   1.000000e+02
3.640175e-03   1.109478e-32   1.000000e+02
3.707988e-03   1.455972e-32   1.000000e+02
3.777064e-03   1.930805e-32   1.000000e+02
3.847427e-03   2.588521e-32   1.000000e+02
3.919100e-03   3.509703e-32   1.000000e+02
3.992109e-03   4.814730e-32   1.000000e+02
4.066478e-03   6.685194e-32   1.000000e+02
4.142232e-03   9.396066e-32   1.000000e+02
4.219398e-03   1.336842e-31   1.000000e+02
4.298001e-03   1.925431e-31   1.000000e+02
4.378069e-03   2.807383e-31   1.000000e+02
4.459628e-03   4.143940e-31   1.000000e+02
4.542706e-03   6.192631e-31   1.000000e+02
4.627332e-03   9.369124e-31   1.000000e+02
4.713535e-03   1.435148e-30   1.000000e+02
4.801343e-03   2.225771e-30   1.000000e+02
4.890787e-03   3.495122e-30   1.000000e+02
4.981898e-03   5.557176e-30   1.000000e+02
5.074705e-03   8.946680e-30   1.000000e+02
5.169242e-03   1.458297e-29   1.000000e+02
5.265540e-03   2.406285e-29   1.000000e+02
5.363631e-03   4.018885e-29   1.000000e+02
5.463550e-03   6.793002e-29   1.000000e+02
5.565331e-03   1.161866e-28   1.000000e+02
5.669007e-03   2.010615e-28   1.000000e+02
5.774615e-03   3.519822e-28   1.000000e+02
5.882190e-03   6.232637e-28   1.000000e+02
5.991770e-03   1.116150e-27   1.000000e+02
6.103390e-03   2.021486e-27   1.000000e+02
6.217090e-03   3.705084e-27   1.000000e+02
6.332908e-03   6.878218e-27   1.000000e+02
6.450884e-03   1.294422e-26   1.000000e+02
6.571058e-03   2.471545e-26   1.000000e+02
6.693470e-03   4.792097e-26   1.000000e+02
6.818162e-03   9.443179e-26   1.000000e+02
6.945178e-03   1.892856e-25   1.000000e+02
7.074559e-03   3.862439e-25   1.000000e+02
7.206351e-03   8.019266e-25   1.000000e+02
7.340598e-03   1.691470e-24   1.000000e+02
7.477346e-03   3.618803e-24   1.000000e+02
7.616642e-03   7.840628e-24   1.000000e+02
7.758532e-03   1.717656e-23   1.000000e+02
7.903066e-03   3.798702e-23   1.000000e+02
8.050292e-03   8.468240e-23   1.000000e+02
8.200261e-03   1.907785e-22   1.000000e+02
8.353023e-03   4.381965e-22   1.000000e+02
8.508632e-03   1.035771e-21   1.000000e+02
8.667139e-03   2.543117e-21   1.000000e+02
8.828599e-03   6.546797e-21   1.000000e+02
8.993067e-03   1.783625e-20   1.000000e+02
9.160598e-03   5.154602e-20   1.000000e+02
9.331251e-03   1.534220e-19   1.000000e+02
9.505083e-03   4.525334e-19   1.000000e+02
9.682153e-03   1.272779e-18   1.000000e+02
9.862522e-03   3.284459e-18   1.000000e+02
1.004625e-02   7.484115e-18   1.000000e+02
1.023340e-02   1.485351e-17   1.000000e+02
1.042404e-02   2.656656e-17   1.000000e+02
1.061823e-02   4.455022e-17   1.000000e+02
1.081604e-02   7.287242e-17   1.000000e+02
1.101753e-02   1.209661e-16   1.000000e+02
1.122277e-02   2.096731e-16   1.000000e+02
1.143184e-02   3.773580e-16   1.000000e+02
1.164481e-02   6.966079e-16   1.000000e+02
1.186174e-02   1.302985e-15   1.000000e+02
1.208271e-02   2.439820e-15   1.000000e+02
1.230780e-02   4.546841e-15   1.000000e+02
1.253708e-02   8.457808e-15   1.000000e+02
1.277063e-02   1.575967e-14   1.000000e+02
1.300854e-02   2.952044e-14   1.000000e+02
1.325087e-02   5.573680e-14   1.000000e+02
1.349772e-02   1.060152e-13   1.000000e+02
1.374917e-02   2.028854e-13   1.000000e+02
1.400531e-02   3.901577e-13   1.000000e+02
1.426621e-02   7.531642e-13   1.000000e+02
1.453198e-02   1.459294e-12   1.000000e+02
1.480269e-02   2.838147e-12   1.000000e+02
1.507845e-02   5.541159e-12   1.000000e+02
1.535935e-02   1.085981e-11   1.000000e+02
1.564548e-02   2.135941e-11   1.000000e+02
1.593694e-02   4.214847e-11   1.000000e+02
1.623382e-02   8.342030e-11   1.000000e+02
1.653624e-02   1.655268e-10   1.000000e+02
1.684430e-02   3.291180e-10   1.000000e+02
1.715809e-02   6.553921e-10   1.000000e+02
1.747773e-02   1.306463e-09   1.000000e+02
1.780332e-02   2.605668e-09   1.000000e+02
1.813498e-02   5.196963e-09   1.000000e+02
1.847281e-02   1.036259e-08   1.000000e+02
1.881694e-02   2.065764e-08   1.000000e+02
1.916748e-02   4.117174e-08   1.000000e+02
1.952456e-02   8.204221e-08   1.000000e+02
1.988828e-02   1.634588e-07   1.000000e+02
2.025878e-02   3.256011e-07   1.000000e+02
2.063618e-02   6.477949e-07   1.000000e+02
2.102061e-02   1.285251e-06   1.000000e+02
2.141220e-02   2.538975e-06   1.000000e+02
2.181109e-02   4.986211e-06   1.000000e+02
2.221741e-02   9.719547e-06   1.000000e+02
2.263130e-02   1.877613e-05   1.000000e+02
2.305289e-02   3.588990e-05   1.000000e+02
2.348235e-02   6.777445e-05   1.000000e+02
2.391980e-02   1.262434e-04   1.000000e+02
2.436540e-02   2.315913e-04   1.000000e+02
2.481930e-02   4.177610e-04   1.000000e+02
2.528166e-02   7.399498e-04   1.000000e+02
2.575263e-02   1.287439e-03   1.000000e+02
2.623238e-02   2.204402e-03   1.000000e+02
2.672106e-02   3.721336e-03   1.000000e+02
2.721885e-02   6.205190e-03   1.000000e+02
2.772591e-02   1.023915e-02   1.000000e+02
2.824241e-02   1.675058e-02   1.000000e+02
2.876854e-02   2.721807e-02   1.000000e+02
