# B10 + p > Be7 + a   [B10pTOBe7a]   ref=NACRE II
# detailed balance: alpha=0.7538 beta=0 gamma=-13.284  Q=1.1447
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+00
1.018629e-03 7.112831e-37 9.864909e-01
1.037605e-03 6.199646e-38 9.742003e-01
1.056935e-03 6.589066e-39 9.630609e-01
1.076624e-03 8.496968e-40 9.530108e-01
1.096681e-03 1.322934e-40 9.439931e-01
1.117111e-03 2.474552e-41 9.359551e-01
1.137921e-03 5.533378e-42 9.288480e-01
1.159120e-03 1.471872e-42 9.226268e-01
1.180713e-03 4.634320e-43 9.172495e-01
1.202708e-03 1.718658e-43 9.126772e-01
1.225114e-03 7.470170e-44 9.088738e-01
1.247936e-03 3.786693e-44 9.058052e-01
1.271184e-03 2.227558e-44 9.034397e-01
1.294865e-03 1.513170e-44 9.017476e-01
1.318987e-03 1.181100e-44 9.007009e-01
1.343558e-03 1.054089e-44 9.002729e-01
1.368587e-03 1.070309e-44 9.004385e-01
1.394083e-03 1.230365e-44 9.011737e-01
1.420053e-03 1.593315e-44 9.024556e-01
1.446507e-03 2.312933e-44 9.042621e-01
1.473454e-03 3.745149e-44 9.065718e-01
1.500903e-03 6.730856e-44 9.093642e-01
1.528864e-03 1.336033e-43 9.126189e-01
1.557345e-03 2.914477e-43 9.163162e-01
1.586357e-03 6.952663e-43 9.204365e-01
1.615909e-03 1.804843e-42 9.249604e-01
1.646012e-03 5.073133e-42 9.298685e-01
1.676675e-03 1.536428e-41 9.351417e-01
1.707910e-03 4.988818e-41 9.407602e-01
1.739726e-03 1.728159e-40 9.467046e-01
1.772136e-03 6.355078e-40 9.529547e-01
1.805149e-03 2.468651e-39 9.594903e-01
1.838777e-03 1.007978e-38 9.662906e-01
1.873032e-03 4.304726e-38 9.733343e-01
1.907924e-03 1.913346e-37 9.805996e-01
1.943467e-03 8.807368e-37 9.880639e-01
1.979672e-03 4.177859e-36 9.957042e-01
