# B11 + He3 > N13 + n   [B11He3TON13n]   ref=TALYS2
# detailed balance: alpha=8.0538 beta=0 gamma=-118.161  Q=10.1823
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.994797e-36 1.000000e+02
1.037605e-03 9.990054e-36 1.000000e+02
1.056935e-03 9.985756e-36 1.000000e+02
1.076624e-03 9.981887e-36 1.000000e+02
1.096681e-03 9.978433e-36 1.000000e+02
1.117111e-03 9.975378e-36 1.000000e+02
1.137921e-03 9.972708e-36 1.000000e+02
1.159120e-03 9.970408e-36 1.000000e+02
1.180713e-03 9.968463e-36 1.000000e+02
1.202708e-03 9.966858e-36 1.000000e+02
1.225114e-03 9.965579e-36 1.000000e+02
1.247936e-03 9.964610e-36 1.000000e+02
1.271184e-03 9.963938e-36 1.000000e+02
1.294865e-03 9.963547e-36 1.000000e+02
1.318987e-03 9.963423e-36 1.000000e+02
1.343558e-03 9.963552e-36 1.000000e+02
1.368587e-03 9.963919e-36 1.000000e+02
1.394083e-03 9.964509e-36 1.000000e+02
1.420053e-03 9.965308e-36 1.000000e+02
1.446507e-03 9.966301e-36 1.000000e+02
1.473454e-03 9.967474e-36 1.000000e+02
1.500903e-03 9.968813e-36 1.000000e+02
1.528864e-03 9.970302e-36 1.000000e+02
1.557345e-03 9.971928e-36 1.000000e+02
1.586357e-03 9.973676e-36 1.000000e+02
1.615909e-03 9.975532e-36 1.000000e+02
1.646012e-03 9.977480e-36 1.000000e+02
1.676675e-03 9.979507e-36 1.000000e+02
1.707910e-03 9.981598e-36 1.000000e+02
1.739726e-03 9.983738e-36 1.000000e+02
1.772136e-03 9.985913e-36 1.000000e+02
1.805149e-03 9.988108e-36 1.000000e+02
1.838777e-03 9.990309e-36 1.000000e+02
1.873032e-03 9.992501e-36 1.000000e+02
1.907924e-03 9.994670e-36 1.000000e+02
1.943467e-03 9.996800e-36 1.000000e+02
1.979672e-03 9.998878e-36 1.000000e+02
2.016551e-03 1.000089e-35 1.000000e+02
2.054117e-03 1.000282e-35 1.000000e+02
2.092383e-03 1.000465e-35 1.000000e+02
2.131362e-03 1.000637e-35 1.000000e+02
2.171068e-03 1.000796e-35 1.000000e+02
2.211512e-03 1.000942e-35 1.000000e+02
2.252711e-03 1.001072e-35 1.000000e+02
2.294676e-03 1.001185e-35 1.000000e+02
2.337424e-03 1.001279e-35 1.000000e+02
2.380968e-03 1.001353e-35 1.000000e+02
2.425323e-03 1.001406e-35 1.000000e+02
2.470504e-03 1.001437e-35 1.000000e+02
2.516527e-03 1.001443e-35 1.000000e+02
2.563407e-03 1.001423e-35 1.000000e+02
2.611161e-03 1.001376e-35 1.000000e+02
2.659804e-03 1.001300e-35 1.000000e+02
2.709354e-03 1.001194e-35 1.000000e+02
2.759826e-03 1.001056e-35 1.000000e+02
2.811239e-03 1.000885e-35 1.000000e+02
2.863610e-03 1.000680e-35 1.000000e+02
2.916956e-03 1.000439e-35 1.000000e+02
2.971296e-03 1.000160e-35 1.000000e+02
3.026648e-03 9.998433e-36 1.000000e+02
