# B11 + n > B12 + g   [B11_n__B12_g]   ref=CGXSV12
# detailed balance: alpha=2.3385e+10 beta=1.5 gamma=-39.1109  Q=3.3703
# T9                 rate                error
1.000000e-03 2.000000e+03 1.277300e+00
1.018629e-03 2.000495e+03 1.277438e+00
1.037605e-03 2.002269e+03 1.277566e+00
1.056935e-03 2.005283e+03 1.277683e+00
1.076624e-03 2.009502e+03 1.277790e+00
1.096681e-03 2.014894e+03 1.277887e+00
1.117111e-03 2.021425e+03 1.277974e+00
1.137921e-03 2.029065e+03 1.278052e+00
1.159120e-03 2.037785e+03 1.278121e+00
1.180713e-03 2.047558e+03 1.278181e+00
1.202708e-03 2.058355e+03 1.278233e+00
1.225114e-03 2.070150e+03 1.278276e+00
1.247936e-03 2.082917e+03 1.278311e+00
1.271184e-03 2.096631e+03 1.278339e+00
1.294865e-03 2.111265e+03 1.278360e+00
1.318987e-03 2.126794e+03 1.278373e+00
1.343558e-03 2.143193e+03 1.278379e+00
1.368587e-03 2.160436e+03 1.278379e+00
1.394083e-03 2.178497e+03 1.278373e+00
1.420053e-03 2.197348e+03 1.278361e+00
1.446507e-03 2.216963e+03 1.278343e+00
1.473454e-03 2.237314e+03 1.278319e+00
1.500903e-03 2.258370e+03 1.278291e+00
1.528864e-03 2.280103e+03 1.278258e+00
1.557345e-03 2.302480e+03 1.278220e+00
1.586357e-03 2.325469e+03 1.278177e+00
1.615909e-03 2.349035e+03 1.278131e+00
1.646012e-03 2.373144e+03 1.278081e+00
1.676675e-03 2.397758e+03 1.278028e+00
1.707910e-03 2.422838e+03 1.277971e+00
1.739726e-03 2.448343e+03 1.277912e+00
1.772136e-03 2.474231e+03 1.277850e+00
1.805149e-03 2.500457e+03 1.277786e+00
1.838777e-03 2.526974e+03 1.277720e+00
1.873032e-03 2.553733e+03 1.277652e+00
1.907924e-03 2.580684e+03 1.277582e+00
1.943467e-03 2.607774e+03 1.277511e+00
1.979672e-03 2.634946e+03 1.277440e+00
2.016551e-03 2.662143e+03 1.277368e+00
2.054117e-03 2.689306e+03 1.277295e+00
2.092383e-03 2.716371e+03 1.277223e+00
2.131362e-03 2.743275e+03 1.277150e+00
2.171068e-03 2.769951e+03 1.277078e+00
2.211512e-03 2.796330e+03 1.277007e+00
2.252711e-03 2.822340e+03 1.276938e+00
2.294676e-03 2.847909e+03 1.276869e+00
2.337424e-03 2.872961e+03 1.276802e+00
2.380968e-03 2.897421e+03 1.276737e+00
2.425323e-03 2.921208e+03 1.276674e+00
2.470504e-03 2.944244e+03 1.276614e+00
2.516527e-03 2.966447e+03 1.276556e+00
2.563407e-03 2.987734e+03 1.276502e+00
2.611161e-03 3.008022e+03 1.276450e+00
2.659804e-03 3.027226e+03 1.276403e+00
2.709354e-03 3.045262e+03 1.276359e+00
2.759826e-03 3.062045e+03 1.276319e+00
2.811239e-03 3.077491e+03 1.276284e+00
2.863610e-03 3.091515e+03 1.276254e+00
2.916956e-03 3.104033e+03 1.276228e+00
2.971296e-03 3.114963e+03 1.276208e+00
3.026648e-03 3.124228e+03 1.276194e+00
3.083031e-03 3.131855e+03 1.276185e+00
3.140465e-03 3.137982e+03 1.276181e+00
3.198969e-03 3.142754e+03 1.276181e+00
3.258562e-03 3.146320e+03 1.276186e+00
3.319266e-03 3.148832e+03 1.276195e+00
3.381101e-03 3.150442e+03 1.276207e+00
3.444087e-03 3.151305e+03 1.276222e+00
3.508247e-03 3.151574e+03 1.276240e+00
3.573602e-03 3.151407e+03 1.276259e+00
3.640175e-03 3.150957e+03 1.276281e+00
3.707988e-03 3.150380e+03 1.276303e+00
3.777064e-03 3.149832e+03 1.276327e+00
3.847427e-03 3.149469e+03 1.276351e+00
3.919100e-03 3.149444e+03 1.276374e+00
3.992109e-03 3.149914e+03 1.276398e+00
4.066478e-03 3.151008e+03 1.276420e+00
4.142232e-03 3.152711e+03 1.276441e+00
4.219398e-03 3.154960e+03 1.276462e+00
4.298001e-03 3.157691e+03 1.276481e+00
4.378069e-03 3.160839e+03 1.276500e+00
4.459628e-03 3.164341e+03 1.276517e+00
4.542706e-03 3.168132e+03 1.276534e+00
4.627332e-03 3.172149e+03 1.276549e+00
4.713535e-03 3.176326e+03 1.276563e+00
4.801343e-03 3.180599e+03 1.276576e+00
4.890787e-03 3.184903e+03 1.276588e+00
4.981898e-03 3.189171e+03 1.276598e+00
5.074705e-03 3.193346e+03 1.276607e+00
5.169242e-03 3.197427e+03 1.276616e+00
5.265540e-03 3.201439e+03 1.276624e+00
5.363631e-03 3.205406e+03 1.276632e+00
5.463550e-03 3.209353e+03 1.276640e+00
5.565331e-03 3.213306e+03 1.276648e+00
5.669007e-03 3.217290e+03 1.276658e+00
5.774615e-03 3.221330e+03 1.276670e+00
5.882190e-03 3.225451e+03 1.276683e+00
5.991770e-03 3.229680e+03 1.276699e+00
6.103390e-03 3.234039e+03 1.276717e+00
6.217090e-03 3.238526e+03 1.276738e+00
6.332908e-03 3.243136e+03 1.276760e+00
6.450884e-03 3.247861e+03 1.276784e+00
6.571058e-03 3.252697e+03 1.276810e+00
6.693470e-03 3.257635e+03 1.276836e+00
6.818162e-03 3.262669e+03 1.276862e+00
6.945178e-03 3.267792e+03 1.276889e+00
7.074559e-03 3.272998e+03 1.276915e+00
7.206351e-03 3.278287e+03 1.276941e+00
7.340598e-03 3.283663e+03 1.276966e+00
7.477346e-03 3.289131e+03 1.276993e+00
7.616642e-03 3.294694e+03 1.277020e+00
7.758532e-03 3.300359e+03 1.277048e+00
7.903066e-03 3.306129e+03 1.277079e+00
8.050292e-03 3.312009e+03 1.277111e+00
8.200261e-03 3.318003e+03 1.277146e+00
8.353023e-03 3.324112e+03 1.277181e+00
8.508632e-03 3.330337e+03 1.277215e+00
8.667139e-03 3.336680e+03 1.277247e+00
8.828599e-03 3.343141e+03 1.277276e+00
8.993067e-03 3.349723e+03 1.277299e+00
9.160598e-03 3.356425e+03 1.277317e+00
9.331251e-03 3.363252e+03 1.277331e+00
9.505083e-03 3.370205e+03 1.277344e+00
9.682153e-03 3.377287e+03 1.277359e+00
9.862522e-03 3.384501e+03 1.277380e+00
1.004625e-02 3.391850e+03 1.277408e+00
1.023340e-02 3.399336e+03 1.277445e+00
1.042404e-02 3.406961e+03 1.277488e+00
1.061823e-02 3.414729e+03 1.277531e+00
1.081604e-02 3.422641e+03 1.277570e+00
1.101753e-02 3.430701e+03 1.277602e+00
1.122277e-02 3.438911e+03 1.277625e+00
1.143184e-02 3.447274e+03 1.277641e+00
1.164481e-02 3.455793e+03 1.277658e+00
1.186174e-02 3.464470e+03 1.277681e+00
1.208271e-02 3.473308e+03 1.277714e+00
1.230780e-02 3.482311e+03 1.277759e+00
1.253708e-02 3.491482e+03 1.277810e+00
1.277063e-02 3.500824e+03 1.277860e+00
1.300854e-02 3.510342e+03 1.277901e+00
1.325087e-02 3.520037e+03 1.277931e+00
1.349772e-02 3.529912e+03 1.277952e+00
1.374917e-02 3.539970e+03 1.277973e+00
1.400531e-02 3.550212e+03 1.278001e+00
1.426621e-02 3.560642e+03 1.278040e+00
1.453198e-02 3.571267e+03 1.278090e+00
1.480269e-02 3.582098e+03 1.278151e+00
1.507845e-02 3.593144e+03 1.278220e+00
1.535935e-02 3.604405e+03 1.278289e+00
1.564548e-02 3.615861e+03 1.278329e+00
1.593694e-02 3.627491e+03 1.278313e+00
1.623382e-02 3.639279e+03 1.278218e+00
1.653624e-02 3.651252e+03 1.278053e+00
1.684430e-02 3.663457e+03 1.277848e+00
1.715809e-02 3.675942e+03 1.277630e+00
1.747773e-02 3.688756e+03 1.277426e+00
1.780332e-02 3.701947e+03 1.277265e+00
1.813498e-02 3.715565e+03 1.277173e+00
1.847281e-02 3.729564e+03 1.277157e+00
1.881694e-02 3.743776e+03 1.277200e+00
1.916748e-02 3.758025e+03 1.277280e+00
1.952456e-02 3.772130e+03 1.277379e+00
1.988828e-02 3.785910e+03 1.277474e+00
2.025878e-02 3.799214e+03 1.277549e+00
2.063618e-02 3.812246e+03 1.277598e+00
2.102061e-02 3.825430e+03 1.277625e+00
2.141220e-02 3.839198e+03 1.277633e+00
2.181109e-02 3.853986e+03 1.277626e+00
2.221741e-02 3.870242e+03 1.277609e+00
2.263130e-02 3.888418e+03 1.277585e+00
2.305289e-02 3.908979e+03 1.277558e+00
2.348235e-02 3.932402e+03 1.277532e+00
2.391980e-02 3.959182e+03 1.277510e+00
2.436540e-02 3.989833e+03 1.277497e+00
2.481930e-02 4.024892e+03 1.277496e+00
2.528166e-02 4.064886e+03 1.277511e+00
2.575263e-02 4.109781e+03 1.277541e+00
2.623238e-02 4.159099e+03 1.277585e+00
2.672106e-02 4.212333e+03 1.277637e+00
2.721885e-02 4.268960e+03 1.277697e+00
2.772591e-02 4.328427e+03 1.277760e+00
2.824241e-02 4.390152e+03 1.277824e+00
2.876854e-02 4.453520e+03 1.277885e+00
2.930447e-02 4.517877e+03 1.277941e+00
2.985038e-02 4.582530e+03 1.277989e+00
3.040646e-02 4.646803e+03 1.278025e+00
3.097291e-02 4.710508e+03 1.278050e+00
3.154990e-02 4.773737e+03 1.278062e+00
3.213764e-02 4.836596e+03 1.278063e+00
3.273634e-02 4.899196e+03 1.278053e+00
3.334618e-02 4.961655e+03 1.278032e+00
3.396739e-02 5.024101e+03 1.278000e+00
3.460016e-02 5.086666e+03 1.277958e+00
3.524473e-02 5.149491e+03 1.277906e+00
3.590130e-02 5.212726e+03 1.277844e+00
3.657011e-02 5.276526e+03 1.277772e+00
3.725137e-02 5.341054e+03 1.277692e+00
3.794533e-02 5.406481e+03 1.277602e+00
3.865221e-02 5.472988e+03 1.277504e+00
3.937226e-02 5.540762e+03 1.277398e+00
4.010573e-02 5.609999e+03 1.277283e+00
4.085286e-02 5.680866e+03 1.277162e+00
4.161391e-02 5.753430e+03 1.277038e+00
4.238913e-02 5.827745e+03 1.276917e+00
4.317880e-02 5.903863e+03 1.276803e+00
4.398317e-02 5.981844e+03 1.276700e+00
4.480254e-02 6.061744e+03 1.276614e+00
4.563716e-02 6.143625e+03 1.276549e+00
4.648734e-02 6.227550e+03 1.276510e+00
4.735335e-02 6.313583e+03 1.276502e+00
4.823549e-02 6.401793e+03 1.276529e+00
4.913407e-02 6.492248e+03 1.276596e+00
5.004939e-02 6.585023e+03 1.276707e+00
5.098176e-02 6.680424e+03 1.276864e+00
5.193150e-02 6.779584e+03 1.277055e+00
5.289893e-02 6.883876e+03 1.277264e+00
5.388438e-02 6.994757e+03 1.277476e+00
5.488820e-02 7.113781e+03 1.277677e+00
5.591071e-02 7.242614e+03 1.277851e+00
5.695227e-02 7.383050e+03 1.277983e+00
5.801323e-02 7.537036e+03 1.278058e+00
5.909396e-02 7.706699e+03 1.278062e+00
6.019482e-02 7.894374e+03 1.277978e+00
6.131619e-02 8.101959e+03 1.277804e+00
6.245845e-02 8.329867e+03 1.277558e+00
6.362198e-02 8.578307e+03 1.277264e+00
6.480720e-02 8.847498e+03 1.276948e+00
6.601449e-02 9.137649e+03 1.276631e+00
6.724427e-02 9.448945e+03 1.276339e+00
6.849697e-02 9.781533e+03 1.276094e+00
6.977300e-02 1.013550e+04 1.275921e+00
7.107280e-02 1.051036e+04 1.275840e+00
7.239681e-02 1.090210e+04 1.275842e+00
7.374549e-02 1.130449e+04 1.275910e+00
7.511929e-02 1.171031e+04 1.276023e+00
7.651869e-02 1.211132e+04 1.276164e+00
7.794416e-02 1.249822e+04 1.276313e+00
7.939618e-02 1.286077e+04 1.276451e+00
8.087525e-02 1.318852e+04 1.276560e+00
8.238187e-02 1.347985e+04 1.276640e+00
8.391656e-02 1.374113e+04 1.276702e+00
8.547985e-02 1.397988e+04 1.276759e+00
8.707225e-02 1.420442e+04 1.276824e+00
8.869432e-02 1.442374e+04 1.276909e+00
9.034660e-02 1.464742e+04 1.277028e+00
9.202967e-02 1.488179e+04 1.277177e+00
9.374409e-02 1.512505e+04 1.277320e+00
9.549045e-02 1.537411e+04 1.277418e+00
9.726934e-02 1.562568e+04 1.277431e+00
9.908137e-02 1.587625e+04 1.277317e+00
1.009272e-01 1.612218e+04 1.277039e+00
1.028073e-01 1.636191e+04 1.276618e+00
1.047225e-01 1.659614e+04 1.276129e+00
1.066734e-01 1.682574e+04 1.275652e+00
1.086606e-01 1.705163e+04 1.275267e+00
1.106848e-01 1.727479e+04 1.275050e+00
1.127468e-01 1.749530e+04 1.275017e+00
1.148472e-01 1.771171e+04 1.275083e+00
1.169866e-01 1.792235e+04 1.275156e+00
1.191660e-01 1.812553e+04 1.275145e+00
1.213859e-01 1.831940e+04 1.274968e+00
1.236472e-01 1.850094e+04 1.274690e+00
1.259506e-01 1.866620e+04 1.274484e+00
1.282970e-01 1.881115e+04 1.274524e+00
1.306870e-01 1.893177e+04 1.274983e+00
1.331216e-01 1.903031e+04 1.275858e+00
1.356015e-01 1.912033e+04 1.276842e+00
1.381276e-01 1.921680e+04 1.277594e+00
1.407008e-01 1.933485e+04 1.277775e+00
1.433219e-01 1.947370e+04 1.277282e+00
1.459919e-01 1.960248e+04 1.276449e+00
1.487115e-01 1.968625e+04 1.275653e+00
1.514819e-01 1.969151e+04 1.275257e+00
1.543038e-01 1.962088e+04 1.275333e+00
1.571784e-01 1.951023e+04 1.275687e+00
1.601064e-01 1.939625e+04 1.276114e+00
1.630891e-01 1.930667e+04 1.276455e+00
1.661273e-01 1.923945e+04 1.276705e+00
1.692220e-01 1.918604e+04 1.276895e+00
1.723745e-01 1.913808e+04 1.277057e+00
1.755856e-01 1.908726e+04 1.277221e+00
1.788566e-01 1.902540e+04 1.277418e+00
1.821885e-01 1.894508e+04 1.277677e+00
1.855825e-01 1.884719e+04 1.277987e+00
1.890397e-01 1.873805e+04 1.278311e+00
1.925614e-01 1.862395e+04 1.278612e+00
1.961486e-01 1.851104e+04 1.278853e+00
1.998026e-01 1.840534e+04 1.278996e+00
2.035248e-01 1.831145e+04 1.279013e+00
2.073162e-01 1.822800e+04 1.278913e+00
2.111783e-01 1.815193e+04 1.278718e+00
2.151123e-01 1.808024e+04 1.278450e+00
2.191197e-01 1.800998e+04 1.278129e+00
2.232016e-01 1.793825e+04 1.277776e+00
2.273597e-01 1.786220e+04 1.277415e+00
2.315951e-01 1.777902e+04 1.277064e+00
2.359095e-01 1.768597e+04 1.276747e+00
2.403043e-01 1.758037e+04 1.276484e+00
2.447809e-01 1.745966e+04 1.276295e+00
2.493409e-01 1.732136e+04 1.276204e+00
2.539859e-01 1.716377e+04 1.276225e+00
2.587174e-01 1.698919e+04 1.276345e+00
2.635371e-01 1.680138e+04 1.276537e+00
2.684465e-01 1.660397e+04 1.276775e+00
2.734474e-01 1.640046e+04 1.277033e+00
2.785414e-01 1.619422e+04 1.277284e+00
2.837304e-01 1.598845e+04 1.277503e+00
2.890160e-01 1.578622e+04 1.277663e+00
2.944000e-01 1.559041e+04 1.277738e+00
2.998844e-01 1.540378e+04 1.277702e+00
3.054710e-01 1.522820e+04 1.277538e+00
3.111616e-01 1.506231e+04 1.277267e+00
3.169582e-01 1.490396e+04 1.276923e+00
3.228628e-01 1.475111e+04 1.276539e+00
3.288774e-01 1.460179e+04 1.276147e+00
3.350041e-01 1.445413e+04 1.275780e+00
3.412449e-01 1.430631e+04 1.275471e+00
3.476019e-01 1.415659e+04 1.275252e+00
3.540774e-01 1.400332e+04 1.275153e+00
3.606735e-01 1.384496e+04 1.275174e+00
3.673925e-01 1.368006e+04 1.275287e+00
3.742366e-01 1.350727e+04 1.275470e+00
3.812083e-01 1.332533e+04 1.275695e+00
3.883098e-01 1.313309e+04 1.275937e+00
3.955436e-01 1.292950e+04 1.276172e+00
4.029122e-01 1.271372e+04 1.276374e+00
4.104181e-01 1.248786e+04 1.276538e+00
4.180637e-01 1.225758e+04 1.276687e+00
4.258518e-01 1.202846e+04 1.276844e+00
4.337850e-01 1.180565e+04 1.277034e+00
4.418660e-01 1.159395e+04 1.277279e+00
4.500975e-01 1.139780e+04 1.277604e+00
4.584824e-01 1.121976e+04 1.278019e+00
4.670234e-01 1.105618e+04 1.278479e+00
4.757236e-01 1.090221e+04 1.278925e+00
4.845859e-01 1.075327e+04 1.279298e+00
4.936132e-01 1.060503e+04 1.279540e+00
5.028087e-01 1.045340e+04 1.279593e+00
5.121755e-01 1.029615e+04 1.279434e+00
5.217169e-01 1.013376e+04 1.279102e+00
5.314359e-01 9.966995e+03 1.278641e+00
5.413360e-01 9.796563e+03 1.278093e+00
5.514206e-01 9.623164e+03 1.277505e+00
5.616930e-01 9.447465e+03 1.276918e+00
5.721568e-01 9.270102e+03 1.276377e+00
5.828155e-01 9.091679e+03 1.275925e+00
5.936727e-01 8.912770e+03 1.275606e+00
6.047322e-01 8.733929e+03 1.275463e+00
6.159978e-01 8.556240e+03 1.275501e+00
6.274732e-01 8.381367e+03 1.275682e+00
6.391624e-01 8.210884e+03 1.275967e+00
6.510694e-01 8.046233e+03 1.276314e+00
6.631981e-01 7.888734e+03 1.276682e+00
6.755528e-01 7.739601e+03 1.277031e+00
6.881377e-01 7.599951e+03 1.277321e+00
7.009570e-01 7.470824e+03 1.277510e+00
7.140151e-01 7.352358e+03 1.277573e+00
7.273165e-01 7.242051e+03 1.277533e+00
7.408657e-01 7.137035e+03 1.277426e+00
7.546673e-01 7.034609e+03 1.277285e+00
7.687260e-01 6.932225e+03 1.277144e+00
7.830465e-01 6.827480e+03 1.277037e+00
7.976339e-01 6.718121e+03 1.276998e+00
8.124930e-01 6.602543e+03 1.277053e+00
8.276289e-01 6.482371e+03 1.277186e+00
8.430468e-01 6.360361e+03 1.277362e+00
8.587519e-01 6.239091e+03 1.277544e+00
8.747496e-01 6.120950e+03 1.277699e+00
8.910453e-01 6.008150e+03 1.277790e+00
9.076446e-01 5.902622e+03 1.277783e+00
9.245531e-01 5.803013e+03 1.277677e+00
9.417766e-01 5.704603e+03 1.277503e+00
9.593209e-01 5.602807e+03 1.277298e+00
9.771921e-01 5.493378e+03 1.277096e+00
9.953962e-01 5.372443e+03 1.276931e+00
1.013939e+00 5.237123e+03 1.276836e+00
1.032828e+00 5.089579e+03 1.276814e+00
1.052069e+00 4.934232e+03 1.276853e+00
1.071668e+00 4.775160e+03 1.276942e+00
1.091632e+00 4.616035e+03 1.277070e+00
1.111968e+00 4.460105e+03 1.277225e+00
1.132683e+00 4.310205e+03 1.277396e+00
1.153783e+00 4.168787e+03 1.277571e+00
1.175277e+00 4.037964e+03 1.277738e+00
1.197171e+00 3.919569e+03 1.277888e+00
1.219473e+00 3.815217e+03 1.278007e+00
1.242191e+00 3.726383e+03 1.278085e+00
1.265332e+00 3.654264e+03 1.278111e+00
1.288904e+00 3.597624e+03 1.278086e+00
1.312915e+00 3.553850e+03 1.278017e+00
1.337373e+00 3.520549e+03 1.277914e+00
1.362287e+00 3.495508e+03 1.277784e+00
1.387665e+00 3.476636e+03 1.277637e+00
1.413516e+00 3.461927e+03 1.277479e+00
1.439848e+00 3.449425e+03 1.277319e+00
1.466671e+00 3.437212e+03 1.277166e+00
1.493993e+00 3.423398e+03 1.277027e+00
1.521825e+00 3.406317e+03 1.276912e+00
1.550175e+00 3.385859e+03 1.276824e+00
1.579053e+00 3.362636e+03 1.276767e+00
1.608469e+00 3.337254e+03 1.276746e+00
1.638434e+00 3.310307e+03 1.276763e+00
1.668956e+00 3.282377e+03 1.276823e+00
1.700047e+00 3.254027e+03 1.276930e+00
1.731717e+00 3.225802e+03 1.277087e+00
1.763977e+00 3.198216e+03 1.277297e+00
1.796838e+00 3.171362e+03 1.277555e+00
1.830312e+00 3.144853e+03 1.277841e+00
1.864409e+00 3.118286e+03 1.278136e+00
1.899141e+00 3.091271e+03 1.278421e+00
1.934520e+00 3.063433e+03 1.278676e+00
1.970558e+00 3.034411e+03 1.278883e+00
2.007267e+00 3.003860e+03 1.279021e+00
2.044661e+00 2.971534e+03 1.279080e+00
2.082751e+00 2.937376e+03 1.279067e+00
2.121550e+00 2.901365e+03 1.278993e+00
2.161073e+00 2.863487e+03 1.278869e+00
2.201331e+00 2.823735e+03 1.278704e+00
2.242340e+00 2.782112e+03 1.278509e+00
2.284112e+00 2.738628e+03 1.278294e+00
2.326663e+00 2.693304e+03 1.278070e+00
2.370006e+00 2.646169e+03 1.277846e+00
2.414157e+00 2.597262e+03 1.277634e+00
2.459130e+00 2.546629e+03 1.277444e+00
2.504942e+00 2.494327e+03 1.277285e+00
2.551606e+00 2.440575e+03 1.277165e+00
2.599140e+00 2.386019e+03 1.277083e+00
2.647559e+00 2.331338e+03 1.277033e+00
2.696881e+00 2.277155e+03 1.277014e+00
2.747121e+00 2.224039e+03 1.277021e+00
2.798297e+00 2.172507e+03 1.277050e+00
2.850426e+00 2.123025e+03 1.277098e+00
2.903527e+00 2.076017e+03 1.277162e+00
2.957617e+00 2.031865e+03 1.277237e+00
3.012714e+00 1.990916e+03 1.277320e+00
3.068838e+00 1.953091e+03 1.277410e+00
3.126007e+00 1.917520e+03 1.277515e+00
3.184242e+00 1.883296e+03 1.277642e+00
3.243561e+00 1.849577e+03 1.277797e+00
3.303985e+00 1.815578e+03 1.277988e+00
3.365535e+00 1.780574e+03 1.278223e+00
3.428231e+00 1.743899e+03 1.278509e+00
3.492096e+00 1.704953e+03 1.278853e+00
3.557150e+00 1.663402e+03 1.279259e+00
3.623416e+00 1.620058e+03 1.279699e+00
3.690917e+00 1.576055e+03 1.280141e+00
3.759675e+00 1.532424e+03 1.280548e+00
3.829714e+00 1.490089e+03 1.280885e+00
3.901058e+00 1.449876e+03 1.281116e+00
3.973730e+00 1.412518e+03 1.281208e+00
4.047757e+00 1.378615e+03 1.281127e+00
4.123163e+00 1.348017e+03 1.280877e+00
4.199973e+00 1.320122e+03 1.280488e+00
4.278214e+00 1.294373e+03 1.279989e+00
4.357913e+00 1.270258e+03 1.279410e+00
4.439097e+00 1.247301e+03 1.278780e+00
4.521792e+00 1.225062e+03 1.278129e+00
4.606029e+00 1.203129e+03 1.277487e+00
4.691835e+00 1.181119e+03 1.276883e+00
4.779239e+00 1.158679e+03 1.276346e+00
4.868271e+00 1.135483e+03 1.275906e+00
4.958962e+00 1.111236e+03 1.275592e+00
5.051342e+00 1.085693e+03 1.275432e+00
5.145444e+00 1.058941e+03 1.275424e+00
5.241298e+00 1.031323e+03 1.275541e+00
5.338938e+00 1.003169e+03 1.275756e+00
5.438397e+00 9.747849e+02 1.276041e+00
5.539709e+00 9.464469e+02 1.276369e+00
5.642908e+00 9.184064e+02 1.276711e+00
5.748030e+00 8.908875e+02 1.277040e+00
5.855110e+00 8.640889e+02 1.277329e+00
5.964185e+00 8.381846e+02 1.277548e+00
6.075292e+00 8.133141e+02 1.277674e+00
6.188468e+00 7.894643e+02 1.277709e+00
6.303753e+00 7.665390e+02 1.277677e+00
6.421186e+00 7.444487e+02 1.277600e+00
6.540806e+00 7.231116e+02 1.277499e+00
6.662655e+00 7.024526e+02 1.277399e+00
6.786773e+00 6.824035e+02 1.277320e+00
6.913204e+00 6.629017e+02 1.277286e+00
7.041990e+00 6.438902e+02 1.277319e+00
7.173175e+00 6.253011e+02 1.277422e+00
7.306804e+00 6.070492e+02 1.277568e+00
7.442922e+00 5.890563e+02 1.277726e+00
7.581576e+00 5.712534e+02 1.277867e+00
7.722814e+00 5.535806e+02 1.277961e+00
7.866682e+00 5.359866e+02 1.277977e+00
8.013230e+00 5.184287e+02 1.277887e+00
8.162509e+00 5.008888e+02 1.277674e+00
8.314568e+00 4.834041e+02 1.277371e+00
8.469460e+00 4.660194e+02 1.277018e+00
8.627237e+00 4.487764e+02 1.276654e+00
8.787954e+00 4.317143e+02 1.276321e+00
8.951665e+00 4.148690e+02 1.276058e+00
9.118425e+00 3.982736e+02 1.275905e+00
9.288292e+00 3.819583e+02 1.275902e+00
9.461324e+00 3.659504e+02 1.276090e+00
9.637579e+00 3.502741e+02 1.276509e+00
9.817117e+00 3.349510e+02 1.277198e+00
1.000000e+01 3.200000e+02 1.278200e+00
