# B11 + p > C12 + g   [B11pTOC12g]   ref=NACRE II
# detailed balance: alpha=7.0192e+10 beta=1.5 gamma=-185.172  Q=15.9569
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+00
1.018629e-03 8.509879e-35 1.011404e+00
1.037605e-03 5.998672e-34 1.021919e+00
1.056935e-03 3.523738e-33 1.031546e+00
1.076624e-03 1.735310e-32 1.040293e+00
1.096681e-03 7.207485e-32 1.048167e+00
1.117111e-03 2.539991e-31 1.055183e+00
1.137921e-03 7.640652e-31 1.061355e+00
1.159120e-03 1.973726e-30 1.066703e+00
1.180713e-03 4.404636e-30 1.071247e+00
1.202708e-03 8.542951e-30 1.075012e+00
1.225114e-03 1.448735e-29 1.078023e+00
1.247936e-03 2.161033e-29 1.080309e+00
1.271184e-03 2.852553e-29 1.081898e+00
1.294865e-03 3.352078e-29 1.082823e+00
1.318987e-03 3.527856e-29 1.083116e+00
1.343558e-03 3.345278e-29 1.082811e+00
1.368587e-03 2.875323e-29 1.081944e+00
1.394083e-03 2.253629e-29 1.080549e+00
1.420053e-03 1.620420e-29 1.078663e+00
1.446507e-03 1.075303e-29 1.076323e+00
1.473454e-03 6.625220e-30 1.073566e+00
1.500903e-03 3.812802e-30 1.070429e+00
1.528864e-03 2.061917e-30 1.066950e+00
1.557345e-03 1.054118e-30 1.063165e+00
1.586357e-03 5.125148e-31 1.059113e+00
1.615909e-03 2.384139e-31 1.054829e+00
1.646012e-03 1.067512e-31 1.050350e+00
1.676675e-03 4.628480e-32 1.045711e+00
1.707910e-03 1.954955e-32 1.040949e+00
1.739726e-03 8.092374e-33 1.036098e+00
1.772136e-03 3.302665e-33 1.031192e+00
1.805149e-03 1.336936e-33 1.026265e+00
1.838777e-03 5.400359e-34 1.021350e+00
1.873032e-03 2.189822e-34 1.016480e+00
1.907924e-03 8.967630e-35 1.011685e+00
1.943467e-03 3.731104e-35 1.006998e+00
1.979672e-03 1.586704e-35 1.002448e+00
2.016551e-03 6.938446e-36 9.980662e-01
2.054117e-03 3.138659e-36 9.938819e-01
2.092383e-03 1.477577e-36 9.899243e-01
2.131362e-03 7.282634e-37 9.862222e-01
2.171068e-03 3.780659e-37 9.828040e-01
2.211512e-03 2.079675e-37 9.796980e-01
2.252711e-03 1.219497e-37 9.769325e-01
2.294676e-03 7.668874e-38 9.745356e-01
2.337424e-03 5.203031e-38 9.725355e-01
2.380968e-03 3.831452e-38 9.709608e-01
2.425323e-03 3.080781e-38 9.698401e-01
2.470504e-03 2.721179e-38 9.692029e-01
2.516527e-03 2.656199e-38 9.690788e-01
2.563407e-03 2.882567e-38 9.694986e-01
2.611161e-03 3.498823e-38 9.704939e-01
2.659804e-03 4.778556e-38 9.720973e-01
2.709354e-03 7.387741e-38 9.743429e-01
2.759826e-03 1.300695e-37 9.772661e-01
2.811239e-03 2.623590e-37 9.809042e-01
2.863610e-03 6.099326e-37 9.852965e-01
2.916956e-03 1.644150e-36 9.904845e-01
2.971296e-03 5.169907e-36 9.965122e-01
3.026648e-03 1.906717e-35 1.003423e+00
3.083031e-03 8.183378e-35 1.011187e+00
3.140465e-03 3.998334e-34 1.019689e+00
3.198969e-03 2.174150e-33 1.028810e+00
3.258562e-03 1.286258e-32 1.038425e+00
3.319266e-03 8.093907e-32 1.048406e+00
3.381101e-03 5.295954e-31 1.058621e+00
3.444087e-03 3.522491e-30 1.068930e+00
3.508247e-03 2.328302e-29 1.079190e+00
3.573602e-03 1.495121e-28 1.089252e+00
3.640175e-03 9.118526e-28 1.098961e+00
3.707988e-03 5.163552e-27 1.108157e+00
3.777064e-03 2.654067e-26 1.116677e+00
3.847427e-03 1.210538e-25 1.124352e+00
3.919100e-03 4.789743e-25 1.131014e+00
3.992109e-03 1.607227e-24 1.136491e+00
4.066478e-03 4.494043e-24 1.140650e+00
4.142232e-03 1.058065e-23 1.143559e+00
4.219398e-03 2.139922e-23 1.145363e+00
4.298001e-03 3.793088e-23 1.146211e+00
4.378069e-03 6.011688e-23 1.146255e+00
4.459628e-03 8.691759e-23 1.145648e+00
4.542706e-03 1.169569e-22 1.144546e+00
4.627332e-03 1.494341e-22 1.143103e+00
4.713535e-03 1.849604e-22 1.141473e+00
4.801343e-03 2.262622e-22 1.139812e+00
4.890787e-03 2.790927e-22 1.138271e+00
4.981898e-03 3.541500e-22 1.137004e+00
5.074705e-03 4.705513e-22 1.136142e+00
5.169242e-03 6.549794e-22 1.135682e+00
5.265540e-03 9.483286e-22 1.135557e+00
5.363631e-03 1.418063e-21 1.135702e+00
5.463550e-03 2.174362e-21 1.136051e+00
5.565331e-03 3.394401e-21 1.136540e+00
5.669007e-03 5.356534e-21 1.137102e+00
5.774615e-03 8.483767e-21 1.137673e+00
5.882190e-03 1.338975e-20 1.138187e+00
5.991770e-03 2.090883e-20 1.138578e+00
6.103390e-03 3.211487e-20 1.138793e+00
6.217090e-03 4.854036e-20 1.138846e+00
6.332908e-03 7.237381e-20 1.138771e+00
6.450884e-03 1.067096e-19 1.138603e+00
6.571058e-03 1.559661e-19 1.138374e+00
6.693470e-03 2.265290e-19 1.138118e+00
6.818162e-03 3.277522e-19 1.137871e+00
6.945178e-03 4.735410e-19 1.137666e+00
7.074559e-03 6.848210e-19 1.137536e+00
7.206351e-03 9.919530e-19 1.137486e+00
7.340598e-03 1.438083e-18 1.137502e+00
7.477346e-03 2.085077e-18 1.137569e+00
7.616642e-03 3.021149e-18 1.137671e+00
7.758532e-03 4.371198e-18 1.137794e+00
7.903066e-03 6.310641e-18 1.137921e+00
8.050292e-03 9.083653e-18 1.138038e+00
8.200261e-03 1.303151e-17 1.138136e+00
8.353023e-03 1.863630e-17 1.138220e+00
8.508632e-03 2.657414e-17 1.138293e+00
8.667139e-03 3.779181e-17 1.138361e+00
8.828599e-03 5.361413e-17 1.138427e+00
8.993067e-03 7.589413e-17 1.138497e+00
9.160598e-03 1.072194e-16 1.138573e+00
9.331251e-03 1.511805e-16 1.138649e+00
9.505083e-03 2.127531e-16 1.138717e+00
9.682153e-03 2.988238e-16 1.138770e+00
9.862522e-03 4.189041e-16 1.138799e+00
1.004625e-02 5.861047e-16 1.138796e+00
1.023340e-02 8.184283e-16 1.138766e+00
1.042404e-02 1.140463e-15 1.138741e+00
1.061823e-02 1.585707e-15 1.138752e+00
1.081604e-02 2.199646e-15 1.138834e+00
1.101753e-02 3.043806e-15 1.139021e+00
1.122277e-02 4.201445e-15 1.139324e+00
1.143184e-02 5.786235e-15 1.139693e+00
1.164481e-02 7.952965e-15 1.140063e+00
1.186174e-02 1.091233e-14 1.140369e+00
1.208271e-02 1.495133e-14 1.140548e+00
1.230780e-02 2.045726e-14 1.140583e+00
1.253708e-02 2.794679e-14 1.140520e+00
1.277063e-02 3.810972e-14 1.140407e+00
1.300854e-02 5.186339e-14 1.140297e+00
1.325087e-02 7.042579e-14 1.140230e+00
1.349772e-02 9.542232e-14 1.140222e+00
1.374917e-02 1.290135e-13 1.140277e+00
1.400531e-02 1.740633e-13 1.140403e+00
1.426621e-02 2.343639e-13 1.140607e+00
1.453198e-02 3.149443e-13 1.140894e+00
1.480269e-02 4.224626e-13 1.141271e+00
1.507845e-02 5.657270e-13 1.141743e+00
1.535935e-02 7.563419e-13 1.142295e+00
1.564548e-02 1.009506e-12 1.142867e+00
1.593694e-02 1.345122e-12 1.143398e+00
1.623382e-02 1.789208e-12 1.143831e+00
1.653624e-02 2.375758e-12 1.144155e+00
1.684430e-02 3.149105e-12 1.144378e+00
1.715809e-02 4.166939e-12 1.144511e+00
1.747773e-02 5.504196e-12 1.144563e+00
1.780332e-02 7.258030e-12 1.144542e+00
1.813498e-02 9.554178e-12 1.144460e+00
1.847281e-02 1.255513e-11 1.144331e+00
1.881694e-02 1.647059e-11 1.144178e+00
1.916748e-02 2.157066e-11 1.144025e+00
1.952456e-02 2.820272e-11 1.143895e+00
1.988828e-02 3.681274e-11 1.143812e+00
2.025878e-02 4.797242e-11 1.143798e+00
2.063618e-02 6.241333e-11 1.143853e+00
2.102061e-02 8.107012e-11 1.143966e+00
2.141220e-02 1.051351e-10 1.144127e+00
2.181109e-02 1.361267e-10 1.144323e+00
2.221741e-02 1.759759e-10 1.144544e+00
2.263130e-02 2.271346e-10 1.144779e+00
2.305289e-02 2.927109e-10 1.145016e+00
2.348235e-02 3.766392e-10 1.145244e+00
2.391980e-02 4.838923e-10 1.145452e+00
2.436540e-02 6.207461e-10 1.145628e+00
2.481930e-02 7.951098e-10 1.145762e+00
2.528166e-02 1.016935e-09 1.145842e+00
2.575263e-02 1.298726e-09 1.145873e+00
2.623238e-02 1.656166e-09 1.145867e+00
2.672106e-02 2.108902e-09 1.145838e+00
2.721885e-02 2.681511e-09 1.145800e+00
2.772591e-02 3.404687e-09 1.145767e+00
2.824241e-02 4.316717e-09 1.145752e+00
2.876854e-02 5.465286e-09 1.145770e+00
2.930447e-02 6.909702e-09 1.145833e+00
2.985038e-02 8.723626e-09 1.145955e+00
3.040646e-02 1.099842e-08 1.146149e+00
3.097291e-02 1.384731e-08 1.146413e+00
3.154990e-02 1.741042e-08 1.146740e+00
3.213764e-02 2.186094e-08 1.147120e+00
3.273634e-02 2.741269e-08 1.147545e+00
3.334618e-02 3.432926e-08 1.148007e+00
3.396739e-02 4.293529e-08 1.148497e+00
3.460016e-02 5.363010e-08 1.149006e+00
3.524473e-02 6.690433e-08 1.149526e+00
3.590130e-02 8.336011e-08 1.150048e+00
3.657011e-02 1.037356e-07 1.150564e+00
3.725137e-02 1.289348e-07 1.151065e+00
3.794533e-02 1.600634e-07 1.151543e+00
3.865221e-02 1.984726e-07 1.151988e+00
3.937226e-02 2.458121e-07 1.152393e+00
4.010573e-02 3.040933e-07 1.152747e+00
4.085286e-02 3.757665e-07 1.153049e+00
4.161391e-02 4.638119e-07 1.153304e+00
4.238913e-02 5.718517e-07 1.153524e+00
4.317880e-02 7.042834e-07 1.153718e+00
4.398317e-02 8.664408e-07 1.153895e+00
4.480254e-02 1.064787e-06 1.154067e+00
4.563716e-02 1.307146e-06 1.154242e+00
4.648734e-02 1.602977e-06 1.154431e+00
4.735335e-02 1.963712e-06 1.154643e+00
4.823549e-02 2.403148e-06 1.154889e+00
4.913407e-02 2.937921e-06 1.155178e+00
5.004939e-02 3.588076e-06 1.155520e+00
5.098176e-02 4.377784e-06 1.155921e+00
5.193150e-02 5.336327e-06 1.156375e+00
5.289893e-02 6.499100e-06 1.156871e+00
5.388438e-02 7.908862e-06 1.157400e+00
5.488820e-02 9.617279e-06 1.157950e+00
5.591071e-02 1.168679e-05 1.158513e+00
5.695227e-02 1.419286e-05 1.159079e+00
5.801323e-02 1.722679e-05 1.159636e+00
5.909396e-02 2.089899e-05 1.160176e+00
6.019482e-02 2.534314e-05 1.160687e+00
6.131619e-02 3.072276e-05 1.161165e+00
6.245845e-02 3.724184e-05 1.161613e+00
6.362198e-02 4.515306e-05 1.162034e+00
6.480720e-02 5.477000e-05 1.162436e+00
6.601449e-02 6.648324e-05 1.162821e+00
6.724427e-02 8.078110e-05 1.163197e+00
6.849697e-02 9.827653e-05 1.163566e+00
