# B12 + He3 > C14 + p   [B12_He3__C14_p]   ref=TALYS2
# detailed balance: alpha=12.343 beta=0 gamma=-208.78  Q=17.9913
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995071e-36 1.000000e+02
1.037605e-03 9.990577e-36 1.000000e+02
1.056935e-03 9.986505e-36 1.000000e+02
1.076624e-03 9.982840e-36 1.000000e+02
1.096681e-03 9.979567e-36 1.000000e+02
1.117111e-03 9.976673e-36 1.000000e+02
1.137921e-03 9.974144e-36 1.000000e+02
1.159120e-03 9.971964e-36 1.000000e+02
1.180713e-03 9.970121e-36 1.000000e+02
1.202708e-03 9.968601e-36 1.000000e+02
1.225114e-03 9.967388e-36 1.000000e+02
1.247936e-03 9.966471e-36 1.000000e+02
1.271184e-03 9.965834e-36 1.000000e+02
1.294865e-03 9.965463e-36 1.000000e+02
1.318987e-03 9.965346e-36 1.000000e+02
1.343558e-03 9.965468e-36 1.000000e+02
1.368587e-03 9.965815e-36 1.000000e+02
1.394083e-03 9.966374e-36 1.000000e+02
1.420053e-03 9.967131e-36 1.000000e+02
1.446507e-03 9.968073e-36 1.000000e+02
1.473454e-03 9.969184e-36 1.000000e+02
1.500903e-03 9.970453e-36 1.000000e+02
1.528864e-03 9.971864e-36 1.000000e+02
1.557345e-03 9.973405e-36 1.000000e+02
1.586357e-03 9.975061e-36 1.000000e+02
1.615909e-03 9.976819e-36 1.000000e+02
1.646012e-03 9.978665e-36 1.000000e+02
1.676675e-03 9.980585e-36 1.000000e+02
1.707910e-03 9.982566e-36 1.000000e+02
1.739726e-03 9.984594e-36 1.000000e+02
1.772136e-03 9.986654e-36 1.000000e+02
1.805149e-03 9.988734e-36 1.000000e+02
1.838777e-03 9.990819e-36 1.000000e+02
1.873032e-03 9.992896e-36 1.000000e+02
1.907924e-03 9.994950e-36 1.000000e+02
1.943467e-03 9.996969e-36 1.000000e+02
1.979672e-03 9.998937e-36 1.000000e+02
2.016551e-03 1.000084e-35 1.000000e+02
2.054117e-03 1.000267e-35 1.000000e+02
2.092383e-03 1.000440e-35 1.000000e+02
2.131362e-03 1.000603e-35 1.000000e+02
2.171068e-03 1.000754e-35 1.000000e+02
2.211512e-03 1.000892e-35 1.000000e+02
2.252711e-03 1.001015e-35 1.000000e+02
