# B12 + d > C13 + n   [B12_d__C13_n]   ref=TALYS2
# detailed balance: alpha=5.6383 beta=0 gamma=-177.645  Q=15.3083
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.038971e-35 1.000000e+02
1.037605e-03 1.078195e-35 1.000000e+02
1.056935e-03 1.117715e-35 1.000000e+02
1.076624e-03 1.157592e-35 1.000000e+02
1.096681e-03 1.197899e-35 1.000000e+02
1.117111e-03 1.238726e-35 1.000000e+02
1.137921e-03 1.280179e-35 1.000000e+02
1.159120e-03 1.322381e-35 1.000000e+02
1.180713e-03 1.365473e-35 1.000000e+02
1.202708e-03 1.409614e-35 1.000000e+02
1.225114e-03 1.454984e-35 1.000000e+02
1.247936e-03 1.501782e-35 1.000000e+02
1.271184e-03 1.550230e-35 1.000000e+02
1.294865e-03 1.600576e-35 1.000000e+02
1.318987e-03 1.653093e-35 1.000000e+02
1.343558e-03 1.708085e-35 1.000000e+02
1.368587e-03 1.765885e-35 1.000000e+02
1.394083e-03 1.826865e-35 1.000000e+02
1.420053e-03 1.891436e-35 1.000000e+02
1.446507e-03 1.960054e-35 1.000000e+02
1.473454e-03 2.033226e-35 1.000000e+02
1.500903e-03 2.111516e-35 1.000000e+02
1.528864e-03 2.195556e-35 1.000000e+02
1.557345e-03 2.286052e-35 1.000000e+02
1.586357e-03 2.383795e-35 1.000000e+02
1.615909e-03 2.489679e-35 1.000000e+02
1.646012e-03 2.604709e-35 1.000000e+02
1.676675e-03 2.730026e-35 1.000000e+02
1.707910e-03 2.866923e-35 1.000000e+02
1.739726e-03 3.016872e-35 1.000000e+02
1.772136e-03 3.181555e-35 1.000000e+02
1.805149e-03 3.362899e-35 1.000000e+02
1.838777e-03 3.563117e-35 1.000000e+02
1.873032e-03 3.784759e-35 1.000000e+02
1.907924e-03 4.030773e-35 1.000000e+02
1.943467e-03 4.304577e-35 1.000000e+02
1.979672e-03 4.610147e-35 1.000000e+02
2.016551e-03 4.952119e-35 1.000000e+02
2.054117e-03 5.335924e-35 1.000000e+02
2.092383e-03 5.767935e-35 1.000000e+02
2.131362e-03 6.255664e-35 1.000000e+02
2.171068e-03 6.807988e-35 1.000000e+02
2.211512e-03 7.435437e-35 1.000000e+02
