# B12 + p > Be9 + a   [B12_p__Be9_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.29172 beta=0 gamma=-79.9011  Q=6.8854
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.061580e-35   1.000000e+02
1.037605e-03   1.127695e-35   1.000000e+02
1.056935e-03   1.198852e-35   1.000000e+02
1.076624e-03   1.275628e-35   1.000000e+02
1.096681e-03   1.358678e-35   1.000000e+02
1.117111e-03   1.448744e-35   1.000000e+02
1.137921e-03   1.546676e-35   1.000000e+02
1.159120e-03   1.653441e-35   1.000000e+02
1.180713e-03   1.770146e-35   1.000000e+02
1.202708e-03   1.898059e-35   1.000000e+02
1.225114e-03   2.038637e-35   1.000000e+02
1.247936e-03   2.193557e-35   1.000000e+02
1.271184e-03   2.364755e-35   1.000000e+02
1.294865e-03   2.554470e-35   1.000000e+02
1.318987e-03   2.765299e-35   1.000000e+02
1.343558e-03   3.000264e-35   1.000000e+02
1.368587e-03   3.262889e-35   1.000000e+02
1.394083e-03   3.557293e-35   1.000000e+02
1.420053e-03   3.888310e-35   1.000000e+02
1.446507e-03   4.261627e-35   1.000000e+02
1.473454e-03   4.683952e-35   1.000000e+02
1.500903e-03   5.163227e-35   1.000000e+02
1.528864e-03   5.708883e-35   1.000000e+02
1.557345e-03   6.332154e-35   1.000000e+02
1.586357e-03   7.046468e-35   1.000000e+02
1.615909e-03   7.867931e-35   1.000000e+02
1.646012e-03   8.815924e-35   1.000000e+02
1.676675e-03   9.913858e-35   1.000000e+02
1.707910e-03   1.119011e-34   1.000000e+02
1.739726e-03   1.267922e-34   1.000000e+02
1.772136e-03   1.442334e-34   1.000000e+02
1.805149e-03   1.647419e-34   1.000000e+02
1.838777e-03   1.889541e-34   1.000000e+02
1.873032e-03   2.176566e-34   1.000000e+02
1.907924e-03   2.518257e-34   1.000000e+02
1.943467e-03   2.926781e-34   1.000000e+02
1.979672e-03   3.417368e-34   1.000000e+02
2.016551e-03   4.009163e-34   1.000000e+02
2.054117e-03   4.726346e-34   1.000000e+02
2.092383e-03   5.599593e-34   1.000000e+02
2.131362e-03   6.668004e-34   1.000000e+02
2.171068e-03   7.981655e-34   1.000000e+02
2.211512e-03   9.604993e-34   1.000000e+02
2.252711e-03   1.162137e-33   1.000000e+02
2.294676e-03   1.413916e-33   1.000000e+02
2.337424e-03   1.729993e-33   1.000000e+02
2.380968e-03   2.128970e-33   1.000000e+02
2.425323e-03   2.635410e-33   1.000000e+02
2.470504e-03   3.281933e-33   1.000000e+02
2.516527e-03   4.112095e-33   1.000000e+02
2.563407e-03   5.184395e-33   1.000000e+02
2.611161e-03   6.577845e-33   1.000000e+02
2.659804e-03   8.399805e-33   1.000000e+02
2.709354e-03   1.079702e-32   1.000000e+02
2.759826e-03   1.397132e-32   1.000000e+02
2.811239e-03   1.820198e-32   1.000000e+02
2.863610e-03   2.387795e-32   1.000000e+02
2.916956e-03   3.154437e-32   1.000000e+02
2.971296e-03   4.197034e-32   1.000000e+02
3.026648e-03   5.624913e-32   1.000000e+02
3.083031e-03   7.597886e-32   1.000000e+02
3.140465e-03   1.035451e-31   1.000000e+02
3.198969e-03   1.425251e-31   1.000000e+02
3.258562e-03   1.983557e-31   1.000000e+02
3.319266e-03   2.794183e-31   1.000000e+02
3.381101e-03   3.988298e-31   1.000000e+02
3.444087e-03   5.774428e-31   1.000000e+02
3.508247e-03   8.489549e-31   1.000000e+02
3.573602e-03   1.268762e-30   1.000000e+02
3.640175e-03   1.929575e-30   1.000000e+02
3.707988e-03   2.989472e-30   1.000000e+02
3.777064e-03   4.723292e-30   1.000000e+02
3.847427e-03   7.618652e-30   1.000000e+02
3.919100e-03   1.255915e-29   1.000000e+02
3.992109e-03   2.118152e-29   1.000000e+02
4.066478e-03   3.657026e-29   1.000000e+02
4.142232e-03   6.450495e-29   1.000000e+02
4.219398e-03   1.158992e-28   1.000000e+02
4.298001e-03   2.115037e-28   1.000000e+02
4.378069e-03   3.908716e-28   1.000000e+02
4.459628e-03   7.293849e-28   1.000000e+02
4.542706e-03   1.370295e-27   1.000000e+02
4.627332e-03   2.584245e-27   1.000000e+02
4.713535e-03   4.878025e-27   1.000000e+02
4.801343e-03   9.189102e-27   1.000000e+02
4.890787e-03   1.722459e-26   1.000000e+02
4.981898e-03   3.203312e-26   1.000000e+02
5.074705e-03   5.896153e-26   1.000000e+02
5.169242e-03   1.075432e-25   1.000000e+02
5.265540e-03   1.949255e-25   1.000000e+02
5.363631e-03   3.520923e-25   1.000000e+02
5.463550e-03   6.355897e-25   1.000000e+02
5.565331e-03   1.149899e-24   1.000000e+02
5.669007e-03   2.090913e-24   1.000000e+02
5.774615e-03   3.832088e-24   1.000000e+02
5.882190e-03   7.098861e-24   1.000000e+02
5.991770e-03   1.332987e-23   1.000000e+02
