# B12 + t > Be11 + a   [B12tTOBe11a]   ref=TALYS2
# detailed balance: alpha=2.2333 beta=0 gamma=-66.375  Q=5.7198
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.031387e-35 1.000000e+02
1.037605e-03 1.062262e-35 1.000000e+02
1.056935e-03 1.092636e-35 1.000000e+02
1.076624e-03 1.122533e-35 1.000000e+02
1.096681e-03 1.151990e-35 1.000000e+02
1.117111e-03 1.181054e-35 1.000000e+02
1.137921e-03 1.209785e-35 1.000000e+02
1.159120e-03 1.238254e-35 1.000000e+02
1.180713e-03 1.266545e-35 1.000000e+02
1.202708e-03 1.294751e-35 1.000000e+02
1.225114e-03 1.322978e-35 1.000000e+02
1.247936e-03 1.351343e-35 1.000000e+02
1.271184e-03 1.379974e-35 1.000000e+02
1.294865e-03 1.409012e-35 1.000000e+02
1.318987e-03 1.438608e-35 1.000000e+02
1.343558e-03 1.468926e-35 1.000000e+02
1.368587e-03 1.500146e-35 1.000000e+02
1.394083e-03 1.532458e-35 1.000000e+02
1.420053e-03 1.566070e-35 1.000000e+02
1.446507e-03 1.601205e-35 1.000000e+02
1.473454e-03 1.638105e-35 1.000000e+02
1.500903e-03 1.677033e-35 1.000000e+02
1.528864e-03 1.718274e-35 1.000000e+02
1.557345e-03 1.762138e-35 1.000000e+02
1.586357e-03 1.808963e-35 1.000000e+02
1.615909e-03 1.859122e-35 1.000000e+02
1.646012e-03 1.913023e-35 1.000000e+02
1.676675e-03 1.971118e-35 1.000000e+02
1.707910e-03 2.033905e-35 1.000000e+02
1.739726e-03 2.101942e-35 1.000000e+02
1.772136e-03 2.175845e-35 1.000000e+02
1.805149e-03 2.256310e-35 1.000000e+02
1.838777e-03 2.344114e-35 1.000000e+02
1.873032e-03 2.440135e-35 1.000000e+02
1.907924e-03 2.545363e-35 1.000000e+02
1.943467e-03 2.660923e-35 1.000000e+02
1.979672e-03 2.788094e-35 1.000000e+02
2.016551e-03 2.928336e-35 1.000000e+02
2.054117e-03 3.083321e-35 1.000000e+02
2.092383e-03 3.254967e-35 1.000000e+02
2.131362e-03 3.445484e-35 1.000000e+02
2.171068e-03 3.657428e-35 1.000000e+02
2.211512e-03 3.893757e-35 1.000000e+02
2.252711e-03 4.157913e-35 1.000000e+02
2.294676e-03 4.453907e-35 1.000000e+02
2.337424e-03 4.786434e-35 1.000000e+02
2.380968e-03 5.161001e-35 1.000000e+02
2.425323e-03 5.584092e-35 1.000000e+02
2.470504e-03 6.063366e-35 1.000000e+02
2.516527e-03 6.607900e-35 1.000000e+02
2.563407e-03 7.228488e-35 1.000000e+02
2.611161e-03 7.938009e-35 1.000000e+02
2.659804e-03 8.751887e-35 1.000000e+02
2.709354e-03 9.688658e-35 1.000000e+02
2.759826e-03 1.077068e-34 1.000000e+02
2.811239e-03 1.202503e-34 1.000000e+02
2.863610e-03 1.348462e-34 1.000000e+02
